,FBtr0075546_FBgn0036499,FBtr0306611_FBgn0037773,FBtr0300257_FBgn0037773,FBtr0082215_FBgn0037773,FBtr0347153_FBgn0033140,ENSCINT00000012342_ENSCING00000005974
FBtr0075546_FBgn0036499,1.0,0.38,0.38,0.38,1e-18,1e-18
FBtr0306611_FBgn0037773,0.38,1.0,0.9,0.9,0.3,0.25
FBtr0300257_FBgn0037773,0.38,0.9,1.0,0.9,0.3,0.25
FBtr0082215_FBgn0037773,0.38,0.9,0.9,1.0,0.3,0.25
FBtr0347153_FBgn0033140,1e-18,0.3,0.3,0.3,1.0,0.29
ENSCINT00000012342_ENSCING00000005974,1e-18,0.25,0.25,0.25,0.29,1.0
