scleropages_formosus ENSSFOG00015002818
paramormyrops_kingsleyae ENSPKIG00000007996
takifugu_rubripes ENSTRUG00000006431
tetraodon_nigroviridis ENSTNIG00000008033
mola_mola ENSMMOG00000015978
oryzias_latipes_asm223467v1 ENSORLG00000012372
oryzias_latipes_asm223471v1 ENSORLG00020004984
oryzias_latipes_asm223469v1 ENSORLG00015010846
oryzias_melastigma ENSOMEG00000013276
fundulus_heteroclitus ENSFHEG00000012853
cyprinodon_variegatus ENSCVAG00000001130
xiphophorus_maculatus ENSXMAG00000011354
xiphophorus_couchianus ENSXCOG00000019273
poecilia_formosa ENSPFOG00000013861
poecilia_mexicana ENSPMEG00000006242
poecilia_latipinna ENSPLAG00000004079
poecilia_reticulata ENSPREG00000011326
gambusia_affinis ENSGAFG00000014311
kryptolebias_marmoratus ENSKMAG00000007816
anabas_testudineus ENSATEG00000021242
labrus_bergylta ENSLBEG00000012595
mastacembelus_armatus ENSMAMG00000002514
monopterus_albus ENSMALG00000022492
seriola_dumerili ENSSDUG00000011941
seriola_lalandi_dorsalis ENSSLDG00000023776
scophthalmus_maximus ENSSMAG00000011365
pundamilia_nyererei ENSPNYG00000023055
maylandia_zebra ENSMZEG00005017730
astatotilapia_calliptera ENSACLG00000024378
haplochromis_burtoni ENSHBUG00000015787
neolamprologus_brichardi ENSNBRG00000021709
oreochromis_niloticus ENSONIG00000012948
amphilophus_citrinellus ENSACIG00000012325
maylandia_zebra ENSMZEG00005016127
haplochromis_burtoni ENSHBUG00000004715
astatotilapia_calliptera ENSACLG00000020557
pundamilia_nyererei ENSPNYG00000003932
neolamprologus_brichardi ENSNBRG00000003077
oreochromis_niloticus ENSONIG00000006460
amphilophus_citrinellus ENSACIG00000007317
gasterosteus_aculeatus ENSGACG00000010125
periophthalmus_magnuspinnatus ENSPMGG00000004344
cynoglossus_semilaevis ENSCSEG00000019868
amphiprion_ocellaris ENSAOCG00000018086
amphiprion_ocellaris ENSAOCG00000008737
amphiprion_percula ENSAPEG00000006480
acanthochromis_polyacanthus ENSAPOG00000013494
stegastes_partitus ENSSPAG00000003950
hippocampus_comes ENSHCOG00000017577
gadus_morhua ENSGMOG00000015812
esox_lucius ENSELUG00000000726
astyanax_mexicanus ENSAMXG00000043868
astyanax_mexicanus ENSAMXG00000031812
pygocentrus_nattereri ENSPNAG00000010839
ictalurus_punctatus ENSIPUG00000000053
danio_rerio ENSDARG00000101481
lepisosteus_oculatus ENSLOCG00000007648
