,ENSLACT00000000796_ENSLACG00000000707,ENSLACT00000005001_ENSLACG00000004408,ENSLACT00000004115_ENSLACG00000003627
ENSLACT00000000796_ENSLACG00000000707,1.0,0.81,0.94
ENSLACT00000005001_ENSLACG00000004408,0.81,1.0,0.82
ENSLACT00000004115_ENSLACG00000003627,0.94,0.82,1.0
