paramormyrops_kingsleyae ENSPKIG00000015139
scleropages_formosus ENSSFOG00015012089
scleropages_formosus ENSSFOG00015023669
xiphophorus_maculatus ENSXMAG00000018417
xiphophorus_couchianus ENSXCOG00000009597
gambusia_affinis ENSGAFG00000018610
poecilia_formosa ENSPFOG00000020182
poecilia_mexicana ENSPMEG00000021547
poecilia_latipinna ENSPLAG00000023073
poecilia_reticulata ENSPREG00000016858
fundulus_heteroclitus ENSFHEG00000016120
cyprinodon_variegatus ENSCVAG00000003601
kryptolebias_marmoratus ENSKMAG00000009015
oryzias_latipes_asm223467v1 ENSORLG00000000076
oryzias_latipes_asm223471v1 ENSORLG00020004889
oryzias_latipes_asm223469v1 ENSORLG00015007200
mola_mola ENSMMOG00000016914
takifugu_rubripes ENSTRUG00000012157
cynoglossus_semilaevis ENSCSEG00000005935
amphiprion_ocellaris ENSAOCG00000005450
amphiprion_percula ENSAPEG00000000208
acanthochromis_polyacanthus ENSAPOG00000002525
stegastes_partitus ENSSPAG00000021401
maylandia_zebra ENSMZEG00005016515
astatotilapia_calliptera ENSACLG00000005594
pundamilia_nyererei ENSPNYG00000001524
haplochromis_burtoni ENSHBUG00000019090
neolamprologus_brichardi ENSNBRG00000015442
oreochromis_niloticus ENSONIG00000020645
amphilophus_citrinellus ENSACIG00000012636
mastacembelus_armatus ENSMAMG00000017911
monopterus_albus ENSMALG00000019842
anabas_testudineus ENSATEG00000022839
seriola_dumerili ENSSDUG00000019932
seriola_lalandi_dorsalis ENSSLDG00000024295
scophthalmus_maximus ENSSMAG00000002391
hippocampus_comes ENSHCOG00000006286
labrus_bergylta ENSLBEG00000012438
periophthalmus_magnuspinnatus ENSPMGG00000019699
gasterosteus_aculeatus ENSGACG00000015729
gadus_morhua ENSGMOG00000007875
esox_lucius ENSELUG00000016150
pygocentrus_nattereri ENSPNAG00000021863
astyanax_mexicanus ENSAMXG00000025761
ictalurus_punctatus ENSIPUG00000011258
tetraodon_nigroviridis ENSTNIG00000003880
takifugu_rubripes ENSTRUG00000019685
mola_mola ENSMMOG00000000504
gasterosteus_aculeatus ENSGACG00000003258
labrus_bergylta ENSLBEG00000008439
oryzias_latipes_asm223471v1 ENSORLG00020018685
oryzias_latipes_asm223467v1 ENSORLG00000012472
oryzias_latipes_asm223469v1 ENSORLG00015009684
oryzias_melastigma ENSOMEG00000012915
kryptolebias_marmoratus ENSKMAG00000007249
periophthalmus_magnuspinnatus ENSPMGG00000017742
seriola_lalandi_dorsalis ENSSLDG00000014166
seriola_dumerili ENSSDUG00000003003
scophthalmus_maximus ENSSMAG00000015849
anabas_testudineus ENSATEG00000009345
mastacembelus_armatus ENSMAMG00000015087
monopterus_albus ENSMALG00000005901
cynoglossus_semilaevis ENSCSEG00000013879
astatotilapia_calliptera ENSACLG00000020579
maylandia_zebra ENSMZEG00005010004
haplochromis_burtoni ENSHBUG00000009815
pundamilia_nyererei ENSPNYG00000022271
neolamprologus_brichardi ENSNBRG00000008827
oreochromis_niloticus ENSONIG00000011061
amphilophus_citrinellus ENSACIG00000012263
amphiprion_ocellaris ENSAOCG00000014818
amphiprion_percula ENSAPEG00000000344
acanthochromis_polyacanthus ENSAPOG00000011924
stegastes_partitus ENSSPAG00000007500
xiphophorus_maculatus ENSXMAG00000015227
gambusia_affinis ENSGAFG00000021891
poecilia_formosa ENSPFOG00000020197
poecilia_mexicana ENSPMEG00000006411
poecilia_latipinna ENSPLAG00000009829
poecilia_reticulata ENSPREG00000001101
cyprinodon_variegatus ENSCVAG00000009258
fundulus_heteroclitus ENSFHEG00000012342
hippocampus_comes ENSHCOG00000015639
gadus_morhua ENSGMOG00000004242
esox_lucius ENSELUG00000010993
pygocentrus_nattereri ENSPNAG00000006535
astyanax_mexicanus ENSAMXG00000024907
ictalurus_punctatus ENSIPUG00000008581
danio_rerio ENSDARG00000062401
lepisosteus_oculatus ENSLOCG00000003678
lepisosteus_oculatus ENSLOCG00000000544
gallus_gallus ENSGALG00000000999
coturnix_japonica ENSCJPG00005012203
numida_meleagris ENSNMEG00000012646
anser_brachyrhynchus ENSABRG00000008378
melopsittacus_undulatus ENSMUNG00000000703
cyanistes_caeruleus ENSCCEG00000008193
ficedula_albicollis ENSFALG00000014292
taeniopygia_guttata ENSTGUG00000004796
lonchura_striata_domestica ENSLSDG00000015913
serinus_canaria ENSSCAG00000006380
zonotrichia_albicollis ENSZALG00000013351
junco_hyemalis ENSJHYG00000003153
manacus_vitellinus ENSMVIG00005012624
lepidothrix_coronata ENSLCOG00000015528
calidris_pygmaea ENSCPGG00000008407
parus_major ENSPMJG00000014044
calidris_pugnax ENSCPUG00000010398
apteryx_haastii ENSAHAG00000008497
apteryx_rowi ENSARWG00000017723
apteryx_owenii ENSAOWG00000018774
dromaius_novaehollandiae ENSDNVG00000013979
nothoprocta_perdicaria ENSNPEG00000007470
gopherus_agassizii ENSGAGG00000022571
chelonoidis_abingdonii ENSCABG00000021177
chrysemys_picta_bellii ENSCPBG00000026947
pelodiscus_sinensis ENSPSIG00000004303
crocodylus_porosus ENSCPRG00005015259
anolis_carolinensis ENSACAG00000026479
pogona_vitticeps ENSPVIG00000010220
notechis_scutatus ENSNSUG00000017272
salvator_merianae ENSSMRG00000002112
phascolarctos_cinereus ENSPCIG00000007127
sarcophilus_harrisii ENSSHAG00000007162
ursus_americanus ENSUAMG00000016827
ailuropoda_melanoleuca ENSAMEG00000017202
neovison_vison ENSNVIG00000014526
mustela_putorius_furo ENSMPUG00000004675
canis_lupus_familiaris ENSCAFG00000008559
canis_lupus_dingo ENSCAFG00020009237
vulpes_vulpes ENSVVUG00000023697
panthera_pardus ENSPPRG00000015444
felis_catus ENSFCAG00000024689
pteropus_vampyrus ENSPVAG00000004612
