labrus_bergylta ENSLBEG00000010782
gasterosteus_aculeatus ENSGACG00000006332
amphiprion_percula ENSAPEG00000002869
amphiprion_ocellaris ENSAOCG00000008311
acanthochromis_polyacanthus ENSAPOG00000022475
stegastes_partitus ENSSPAG00000005340
poecilia_formosa ENSPFOG00000015320
poecilia_latipinna ENSPLAG00000018977
poecilia_mexicana ENSPMEG00000013678
poecilia_reticulata ENSPREG00000021019
xiphophorus_maculatus ENSXMAG00000005236
gambusia_affinis ENSGAFG00000002634
cyprinodon_variegatus ENSCVAG00000000877
fundulus_heteroclitus ENSFHEG00000018087
seriola_lalandi_dorsalis ENSSLDG00000013370
seriola_lalandi_dorsalis ENSSLDG00000006036
seriola_dumerili ENSSDUG00000009500
scophthalmus_maximus ENSSMAG00000000917
mastacembelus_armatus ENSMAMG00000003312
monopterus_albus ENSMALG00000004769
anabas_testudineus ENSATEG00000012220
takifugu_rubripes ENSTRUG00000006751
tetraodon_nigroviridis ENSTNIG00000005163
mola_mola ENSMMOG00000014892
cynoglossus_semilaevis ENSCSEG00000016969
oryzias_latipes_asm223471v1 ENSORLG00020015148
oryzias_latipes_asm223469v1 ENSORLG00015012880
oryzias_latipes_asm223467v1 ENSORLG00000024718
oryzias_melastigma ENSOMEG00000003464
kryptolebias_marmoratus ENSKMAG00000005938
maylandia_zebra ENSMZEG00005015855
astatotilapia_calliptera ENSACLG00000019391
haplochromis_burtoni ENSHBUG00000022092
pundamilia_nyererei ENSPNYG00000011494
neolamprologus_brichardi ENSNBRG00000011470
oreochromis_niloticus ENSONIG00000011349
amphilophus_citrinellus ENSACIG00000007189
periophthalmus_magnuspinnatus ENSPMGG00000019515
esox_lucius ENSELUG00000017858
scleropages_formosus ENSSFOG00015021209
paramormyrops_kingsleyae ENSPKIG00000018953
pygocentrus_nattereri ENSPNAG00000017338
astyanax_mexicanus ENSAMXG00000014338
ictalurus_punctatus ENSIPUG00000001627
gadus_morhua ENSGMOG00000001800
