numida_meleagris ENSNMEG00000014520
coturnix_japonica ENSCJPG00005009622
anser_brachyrhynchus ENSABRG00000000487
calidris_pygmaea ENSCPGG00000012103
calidris_pugnax ENSCPUG00000015391
serinus_canaria ENSSCAG00000010030
junco_hyemalis ENSJHYG00000009809
lonchura_striata_domestica ENSLSDG00000009742
lepidothrix_coronata ENSLCOG00000000082
manacus_vitellinus ENSMVIG00005012626
parus_major ENSPMJG00000001933
cyanistes_caeruleus ENSCCEG00000001161
notechis_scutatus ENSNSUG00000009671
spermophilus_dauricus ENSSDAG00000018064
cricetulus_griseus_crigri-picr ENSCGRG00015020517
panthera_tigris_altaica ENSPTIG00000008817
panthera_pardus ENSPPRG00000020057
vulpes_vulpes ENSVVUG00000012365
rhinopithecus_roxellana ENSRROG00000010539
piliocolobus_tephrosceles ENSPTEG00000019756
nomascus_leucogenys ENSNLEG00000033001
prolemur_simus ENSPSMG00000024534
