latimeria_chalumnae ENSLACG00000008585
xenopus_tropicalis ENSXETG00000019232
scleropages_formosus ENSSFOG00015004426
paramormyrops_kingsleyae ENSPKIG00000006771
gasterosteus_aculeatus ENSGACG00000011167
labrus_bergylta ENSLBEG00000026072
takifugu_rubripes ENSTRUG00000005563
tetraodon_nigroviridis ENSTNIG00000016229
mola_mola ENSMMOG00000014391
amphiprion_percula ENSAPEG00000010295
amphiprion_ocellaris ENSAOCG00000005244
acanthochromis_polyacanthus ENSAPOG00000003101
stegastes_partitus ENSSPAG00000017285
poecilia_formosa ENSPFOG00000024665
poecilia_mexicana ENSPMEG00000020460
poecilia_latipinna ENSPLAG00000017818
xiphophorus_couchianus ENSXCOG00000009544
fundulus_heteroclitus ENSFHEG00000013758
kryptolebias_marmoratus ENSKMAG00000019592
oryzias_latipes_asm223471v1 ENSORLG00020009995
oryzias_latipes_asm223469v1 ENSORLG00015014749
oryzias_latipes_asm223467v1 ENSORLG00000004422
oryzias_melastigma ENSOMEG00000003734
maylandia_zebra ENSMZEG00005008230
pundamilia_nyererei ENSPNYG00000017466
astatotilapia_calliptera ENSACLG00000005137
haplochromis_burtoni ENSHBUG00000016176
neolamprologus_brichardi ENSNBRG00000019805
oreochromis_niloticus ENSONIG00000013168
amphilophus_citrinellus ENSACIG00000008529
seriola_dumerili ENSSDUG00000010988
scophthalmus_maximus ENSSMAG00000004267
monopterus_albus ENSMALG00000016779
mastacembelus_armatus ENSMAMG00000018641
anabas_testudineus ENSATEG00000023024
cynoglossus_semilaevis ENSCSEG00000012887
periophthalmus_magnuspinnatus ENSPMGG00000003973
hippocampus_comes ENSHCOG00000020564
gadus_morhua ENSGMOG00000016185
esox_lucius ENSELUG00000022112
pygocentrus_nattereri ENSPNAG00000014617
astyanax_mexicanus ENSAMXG00000004017
ictalurus_punctatus ENSIPUG00000017396
danio_rerio ENSDARG00000045626
lepisosteus_oculatus ENSLOCG00000005850
gallus_gallus ENSGALG00000003979
coturnix_japonica ENSCJPG00005011648
numida_meleagris ENSNMEG00000015717
anser_brachyrhynchus ENSABRG00000011717
anas_platyrhynchos_platyrhynchos ENSAPLG00000016169
junco_hyemalis ENSJHYG00000006849
zonotrichia_albicollis ENSZALG00000015853
serinus_canaria ENSSCAG00000007485
taeniopygia_guttata ENSTGUG00000006190
lonchura_striata_domestica ENSLSDG00000013276
parus_major ENSPMJG00000019076
cyanistes_caeruleus ENSCCEG00000006935
