ENSSFOP00015032622	ENSSFOG00015020606	Scleropages_formosus	ENSSFOT00015032986
ENSPKIP00000002036	ENSPKIG00000019934	Paramormyrops_kingsleyae	ENSPKIT00000025973
ENSSFOP00015035052	ENSSFOG00015022327	Scleropages_formosus
ENSPKIP00000012611	ENSPKIG00000000349	Paramormyrops_kingsleyae
ENSCHAP00000002668	ENSCHAG00000001805	Clupea_harengus
ENSDCDP00000025311	ENSDCDG00000018967	Denticeps_clupeoides
ENSAMXP00000037236	ENSAMXG00000042843	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005056029	ENSAMXG00005024904	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000006752	ENSPNAG00000002380	Pygocentrus_nattereri
ENSDARP00000003828	ENSDARG00000017882	Danio_rerio
ENSAOCP00000011521	ENSAOCG00000015836	Amphiprion_ocellaris
ENSAOCP00000011517	ENSAOCG00000015821	Amphiprion_ocellaris
ENSAPEP00000027789	ENSAPEG00000019734	Amphiprion_percula
ENSAPOP00000023277	ENSAPOG00000004990	Acanthochromis_polyacanthus
ENSSPAP00000006895	ENSSPAG00000005277	Stegastes_partitus
ENSPRNP00000025453	ENSPRNG00000012903	Parambassis_ranga
ENSACLP00000017077	ENSACLG00000011629	Astatotilapia_calliptera
ENSMZEP00005008049	ENSMZEG00005006120	Maylandia_zebra
ENSHBUP00000024628	ENSHBUG00000006133	Haplochromis_burtoni
ENSPNYP00000031847	ENSPNYG00000024029	Pundamilia_nyererei
ENSNBRP00000017360	ENSNBRG00000013386	Neolamprologus_brichardi
ENSONIP00000011086	ENSONIG00000008816	Oreochromis_niloticus
ENSACIP00000025529	ENSACIG00000019747	Amphilophus_citrinellus
ENSGAFP00000010321	ENSGAFG00000007008	Gambusia_affinis
ENSXMAP00000010921	ENSXMAG00000010887	Xiphophorus_maculatus
ENSPMEP00000002951	ENSPMEG00000004097	Poecilia_mexicana
ENSPLAP00000023597	ENSPLAG00000009162	Poecilia_latipinna
ENSPFOP00000016485	ENSPFOG00000016387	Poecilia_formosa
ENSPREP00000010433	ENSPREG00000007116	Poecilia_reticulata
ENSFHEP00000001435	ENSFHEG00000002190	Fundulus_heteroclitus
ENSCVAP00000020735	ENSCVAG00000002329	Cyprinodon_variegatus
ENSKMAP00000020772	ENSKMAG00000015434	Kryptolebias_marmoratus
ENSKMAP00000020741	ENSKMAG00000015400	Kryptolebias_marmoratus
ENSORLP00000044718	ENSORLG00000017092	Oryzias_latipes_ASM223467v1
ENSORLP00015016119	ENSORLG00015017098	Oryzias_latipes_ASM223469v1
ENSORLP00020000131	ENSORLG00020022554	Oryzias_latipes_ASM223471v1
ENSOMEP00000001949	ENSOMEG00000002880	Oryzias_melastigma
ENSTNIP00000007103	ENSTNIG00000004461	Tetraodon_nigroviridis
ENSTRUP00000046002	ENSTRUG00000017946	Takifugu_rubripes
ENSMMOP00000003637	ENSMMOG00000002909	Mola_mola
ENSLCRP00005030711	ENSLCRG00005012175	Larimichthys_crocea
ENSLBEP00000005827	ENSLBEG00000004496	Labrus_bergylta
