ENSACAP00000001540	ENSACAG00000001412	Anolis_carolinensis
ENSPVIP00000029805	ENSPVIG00000021959	Pogona_vitticeps
ENSNSUP00000003366	ENSNSUG00000002722	Notechis_scutatus
ENSSMRP00000026261	ENSSMRG00000020286	Salvator_merianae
ENSSPUP00000004484	ENSSPUG00000003462	Sphenodon_punctatus
ENSCPGP00000001723	ENSCPGG00000001306	Calidris_pygmaea
ENSCPUP00000011537	ENSCPUG00000008188	Calidris_pugnax
ENSMUNP00000014287	ENSMUNG00000011108	Melopsittacus_undulatus
ENSMVIP00005026246	ENSMVIG00005018297	Manacus_vitellinus
ENSLCOP00000022829	ENSLCOG00000016042	Lepidothrix_coronata
ENSJHYP00000011202	ENSJHYG00000008782	Junco_hyemalis
ENSZALP00000023165	ENSZALG00000017930	Zonotrichia_albicollis
ENSSCAP00000003121	ENSSCAG00000002660	Serinus_canaria
ENSTGUP00000010619	ENSTGUG00000010267	Taeniopygia_guttata
ENSLSDP00000000303	ENSLSDG00000000219	Lonchura_striata_domestica
ENSFALP00000004292	ENSFALG00000004122	Ficedula_albicollis
ENSPMJP00000024787	ENSPMJG00000018184	Parus_major
ENSCCEP00000026494	ENSCCEG00000023252	Cyanistes_caeruleus
ENSAPLP00000014659	ENSAPLG00000014773	Anas_platyrhynchos_platyrhynchos
ENSABRP00000015346	ENSABRG00000013455	Anser_brachyrhynchus
ENSGALP00000013618	ENSGALG00000008370	Gallus_gallus
ENSCJPP00005018831	ENSCJPG00005015247	Coturnix_japonica
ENSMGAP00000008083	ENSMGAG00000007874	Meleagris_gallopavo
ENSNMEP00000025204	ENSNMEG00000021334	Numida_meleagris
ENSAOWP00000000419	ENSAOWG00000000258	Apteryx_owenii
ENSAHAP00000023712	ENSAHAG00000016508	Apteryx_haastii
ENSARWP00000006950	ENSARWG00000004599	Apteryx_rowi
ENSDNVP00000022281	ENSDNVG00000015516	Dromaius_novaehollandiae
ENSNPEP00000011143	ENSNPEG00000008351	Nothoprocta_perdicaria
ENSCPRP00005011677	ENSCPRG00005008325	Crocodylus_porosus
ENSGAGP00000005053	ENSGAGG00000004121	Gopherus_agassizii
ENSCABP00000016366	ENSCABG00000012129	Chelonoidis_abingdonii
ENSCPBP00000015845	ENSCPBG00000011705	Chrysemys_picta_bellii
ENSPSIP00000008946	ENSPSIG00000008170	Pelodiscus_sinensis
ENSVURP00010011198	ENSVURG00010008653	Vombatus_ursinus
ENSPCIP00000025375	ENSPCIG00000019074	Phascolarctos_cinereus
ENSMEUP00000008391	ENSMEUG00000009182	Notamacropus_eugenii
ENSMODP00000018999	ENSMODG00000015207	Monodelphis_domestica
ENSSHAP00000019609	ENSSHAG00000016647	Sarcophilus_harrisii
ENSUMAP00000029815	ENSUMAG00000021580	Ursus_maritimus
ENSUAMP00000008003	ENSUAMG00000006853	Ursus_americanus
ENSAMEP00000006496	ENSAMEG00000006116	Ailuropoda_melanoleuca
ENSMPUP00000000242	ENSMPUG00000000245	Mustela_putorius_furo
ENSMPUP00000000244	ENSMPUG00000000247	Mustela_putorius_furo
ENSNVIP00000010641	ENSNVIG00000008449	Neovison_vison
ENSCAFP00000018072	ENSCAFG00000012217	Canis_lupus_familiaris
ENSCAFP00020004169	ENSCAFG00020003375	Canis_lupus_dingo
ENSVVUP00000025725	ENSVVUG00000018884	Vulpes_vulpes
ENSPTIP00000014384	ENSPTIG00000013824	Panthera_tigris_altaica
ENSPPRP00000025519	ENSPPRG00000015806	Panthera_pardus
ENSFCAP00000035480	ENSFCAG00000006099	Felis_catus
ENSECAP00000045768	ENSECAG00000010581	Equus_caballus
ENSEASP00005002607	ENSEASG00005002035	Equus_asinus_asinus
ENSPVAP00000003093	ENSPVAG00000003275	Pteropus_vampyrus
ENSMLUP00000004482	ENSMLUG00000004915	Myotis_lucifugus
ENSOARP00000018320	ENSOARG00000017068	Ovis_aries
ENSCHIP00000032807	ENSCHIG00000026628	Capra_hircus
ENSBIXP00000011970	ENSBIXG00000017123	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005046939	ENSBIXG00005031564	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000066588	ENSBTAG00000014933	Bos_taurus
ENSBMUP00000022583	ENSBMUG00000016996	Bos_mutus
ENSBBBP00000019467	ENSBBBG00000002490	Bison_bison_bison
ENSTTRP00000008273	ENSTTRG00000008726	Tursiops_truncatus
ENSSSCP00000050030	ENSSSCG00000016104	Sus_scrofa_strain_reference
ENSSARP00000010765	ENSSARG00000011904	Sorex_araneus
ENSEEUP00000007332	ENSEEUG00000008012	Erinaceus_europaeus
ENSVPAP00000006215	ENSVPAG00000006692	Vicugna_pacos
ENSUPAP00010018413	ENSUPAG00010014606	Urocitellus_parryii
ENSSTOP00000031940	ENSSTOG00000002930	Ictidomys_tridecemlineatus
ENSSDAP00000025764	ENSSDAG00000023372	Spermophilus_dauricus
ENSMMMP00000013913	ENSMMMG00000012358	Marmota_marmota_marmota
ENSCLAP00000019493	ENSCLAG00000013378	Chinchilla_lanigera
ENSODEP00000009897	ENSODEG00000007402	Octodon_degus
ENSCPOP00000024057	ENSCPOG00000007002	Cavia_porcellus
ENSCAPP00000015310	ENSCAPG00000015457	Cavia_aperea
ENSHGLP00000006727	ENSHGLG00000004915	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100019829	ENSHGLG00100014618	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000017436	ENSFDAG00000006002	Fukomys_damarensis
ENSCCNP00000002178	ENSCCNG00000002380	Castor_canadensis
ENSDORP00000001722	ENSDORG00000001835	Dipodomys_ordii
ENSNGAP00000000601	ENSNGAG00000000459	Nannospalax_galili
ENSNGAP00000018909	ENSNGAG00000018903	Nannospalax_galili
ENSMSIP00000009285	ENSMSIG00000008206	Mus_spicilegus
MGP_SPRETEiJ_P0018825	MGP_SPRETEiJ_G0014978	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000027186	ENSMUSG00000026028	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0017817	MGP_CAROLIEiJ_G0014171	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0073136	MGP_PahariEiJ_G0027409	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000015035	ENSRNOG00000010881	Rattus_norvegicus
ENSMUGP00000018526	ENSMUGG00000015682	Meriones_unguiculatus
ENSPEMP00000018235	ENSPEMG00000016894	Peromyscus_maniculatus_bairdii
ENSMOCP00000023414	ENSMOCG00000020133	Microtus_ochrogaster
ENSCGRP00001016882	ENSCGRG00001017078	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000024310	ENSCGRG00000017622	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015038552	ENSCGRG00015028819	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000001660	ENSMAUG00000001208	Mesocricetus_auratus
ENSJJAP00000018644	ENSJJAG00000019852	Jaculus_jaculus
ENSOCUP00000000139	ENSOCUG00000000156	Oryctolagus_cuniculus
ENSOPRP00000014069	ENSOPRG00000015395	Ochotona_princeps
ENSTBEP00000015331	ENSTBEG00000017609	Tupaia_belangeri
ENSPPAP00000025617	ENSPPAG00000035936	Pan_paniscus
ENSPTRP00000087291	ENSPTRG00000012804	Pan_troglodytes
ENSGGOP00000002966	ENSGGOG00000003014	Gorilla_gorilla
ENSP00000328875	ENSG00000115993	Homo_sapiens
ENSPPYP00000023844	ENSPPYG00000013073	Pongo_abelii
ENSNLEP00000008488	ENSNLEG00000006960	Nomascus_leucogenys
ENSRROP00000030695	ENSRROG00000039077	Rhinopithecus_roxellana
ENSRBIP00000007808	ENSRBIG00000027774	Rhinopithecus_bieti
ENSPTEP00000029551	ENSPTEG00000028939	Piliocolobus_tephrosceles
ENSCANP00000012694	ENSCANG00000029671	Colobus_angolensis_palliatus
ENSTGEP00000036610	ENSTGEG00000029127	Theropithecus_gelada
ENSPANP00000003619	ENSPANG00000006048	Papio_anubis
ENSMMUP00000042256	ENSMMUG00000023812	Macaca_mulatta
ENSMFAP00000040109	ENSMFAG00000046205	Macaca_fascicularis
ENSMNEP00000026025	ENSMNEG00000036459	Macaca_nemestrina
ENSCATP00000024850	ENSCATG00000035925	Cercocebus_atys
ENSMLEP00000017130	ENSMLEG00000032765	Mandrillus_leucophaeus
ENSCSAP00000006978	ENSCSAG00000010758	Chlorocebus_sabaeus
ENSSBOP00000021749	ENSSBOG00000027410	Saimiri_boliviensis_boliviensis
ENSCCAP00000005762	ENSCCAG00000020610	Cebus_capucinus_imitator
ENSCJAP00000047576	ENSCJAG00000004568	Callithrix_jacchus
ENSANAP00000018164	ENSANAG00000026933	Aotus_nancymaae
ENSTSYP00000007645	ENSTSYG00000008323	Carlito_syrichta
ENSMICP00000038472	ENSMICG00000013250	Microcebus_murinus
ENSMICP00000038767	ENSMICG00000028874	Microcebus_murinus
ENSPSMP00000026943	ENSPSMG00000018832	Prolemur_simus
