gopherus_agassizii ENSGAGG00000025437
chelonoidis_abingdonii ENSCABG00000003786
chrysemys_picta_bellii ENSCPBG00000022920
crocodylus_porosus ENSCPRG00005015557
lepidothrix_coronata ENSLCOG00000013353
serinus_canaria ENSSCAG00000006370
gallus_gallus ENSGALG00000048923
coturnix_japonica ENSCJPG00005010663
calidris_pygmaea ENSCPGG00000002401
calidris_pugnax ENSCPUG00000006396
anser_brachyrhynchus ENSABRG00000005441
anas_platyrhynchos_platyrhynchos ENSAPLG00000022557
parus_major ENSPMJG00000011676
junco_hyemalis ENSJHYG00000002825
lonchura_striata_domestica ENSLSDG00000014964
taeniopygia_guttata ENSTGUG00000000896
apteryx_haastii ENSAHAG00000000848
apteryx_rowi ENSARWG00000015855
anolis_carolinensis ENSACAG00000013968
pogona_vitticeps ENSPVIG00000023071
notechis_scutatus ENSNSUG00000005830
salvator_merianae ENSSMRG00000016350
phascolarctos_cinereus ENSPCIG00000011237
monodelphis_domestica ENSMODG00000005342
felis_catus ENSFCAG00000013723
panthera_pardus ENSPPRG00000006315
mustela_putorius_furo ENSMPUG00000008636
neovison_vison ENSNVIG00000004015
canis_lupus_familiaris ENSCAFG00000023991
canis_lupus_dingo ENSCAFG00020017132
equus_caballus ENSECAG00000033068
equus_asinus_asinus ENSEASG00005021649
pteropus_vampyrus ENSPVAG00000005634
myotis_lucifugus ENSMLUG00000014991
bos_mutus ENSBMUG00000004078
bos_taurus ENSBTAG00000025233
bison_bison_bison ENSBBBG00000018301
capra_hircus ENSCHIG00000019571
ovis_aries ENSOARG00000011332
propithecus_coquereli ENSPCOG00000017638
microcebus_murinus ENSMICG00000013103
prolemur_simus ENSPSMG00000024514
otolemur_garnettii ENSOGAG00000007079
cebus_capucinus ENSCCAG00000029254
callithrix_jacchus ENSCJAG00000038778
saimiri_boliviensis_boliviensis ENSSBOG00000020602
aotus_nancymaae ENSANAG00000019970
macaca_fascicularis ENSMFAG00000040214
macaca_nemestrina ENSMNEG00000008463
macaca_mulatta ENSMMUG00000015768
theropithecus_gelada ENSTGEG00000010572
chlorocebus_sabaeus ENSCSAG00000012288
piliocolobus_tephrosceles ENSPTEG00000033292
nomascus_leucogenys ENSNLEG00000001447
papio_anubis ENSPANG00000004275
mandrillus_leucophaeus ENSMLEG00000029637
rhinopithecus_roxellana ENSRROG00000032047
rhinopithecus_bieti ENSRBIG00000028498
colobus_angolensis_palliatus ENSCANG00000030649
cercocebus_atys ENSCATG00000013542
pan_paniscus ENSPPAG00000044065
gorilla_gorilla ENSGGOG00000002328
homo_sapiens ENSG00000099625
pan_troglodytes ENSPTRG00000010188
