chinchilla_lanigera ENSCLAG00000009394
cavia_porcellus ENSCPOG00000009982
octodon_degus ENSODEG00000008217
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006057
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011781
urocitellus_parryii ENSUPAG00010002713
spermophilus_dauricus ENSSDAG00000004957
otolemur_garnettii ENSOGAG00000004983
ochotona_princeps ENSOPRG00000009236
ochotona_princeps ENSOPRG00000012023
oryctolagus_cuniculus ENSOCUG00000012161
jaculus_jaculus ENSJJAG00000014631
homo_sapiens ENSG00000149651
pan_troglodytes ENSPTRG00000013560
gorilla_gorilla ENSGGOG00000025988
pongo_abelii ENSPPYG00000011067
nomascus_leucogenys ENSNLEG00000006766
macaca_fascicularis ENSMFAG00000030121
macaca_nemestrina ENSMNEG00000036513
macaca_mulatta ENSMMUG00000018248
cercocebus_atys ENSCATG00000029732
papio_anubis ENSPANG00000020554
mandrillus_leucophaeus ENSMLEG00000043557
chlorocebus_sabaeus ENSCSAG00000014479
rhinopithecus_roxellana ENSRROG00000044092
rhinopithecus_bieti ENSRBIG00000017963
colobus_angolensis_palliatus ENSCANG00000031850
saimiri_boliviensis_boliviensis ENSSBOG00000028317
callithrix_jacchus ENSCJAG00000017371
cebus_capucinus_imitator ENSCCAG00000036361
propithecus_coquereli ENSPCOG00000016575
microcebus_murinus ENSMICG00000004503
prolemur_simus ENSPSMG00000006906
carlito_syrichta ENSTSYG00000004579
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010103
cricetulus_griseus_crigri_1.0 ENSCGRG00000010075
peromyscus_maniculatus_bairdii ENSPEMG00000000022
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025581
mus_spicilegus ENSMSIG00000022297
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000017310
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024661
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026103
rattus_norvegicus ENSRNOG00000014794
tupaia_belangeri ENSTBEG00000011871
myotis_lucifugus ENSMLUG00000004326
pteropus_vampyrus ENSPVAG00000014899
bos_mutus ENSBMUG00000004590
bison_bison_bison ENSBBBG00000012584
ovis_aries ENSOARG00000006282
capra_hircus ENSCHIG00000015666
vicugna_pacos ENSVPAG00000006785
neovison_vison ENSNVIG00000010314
ailuropoda_melanoleuca ENSAMEG00000012503
canis_lupus_familiaris ENSCAFG00000009730
panthera_pardus ENSPPRG00000023638
panthera_tigris_altaica ENSPTIG00000010251
erinaceus_europaeus ENSEEUG00000002980
loxodonta_africana ENSLAFG00000008401
choloepus_hoffmanni ENSCHOG00000003270
echinops_telfairi ENSETEG00000015053
dasypus_novemcinctus ENSDNOG00000015722
