,ENSPTET00000000195_ENSPTEG00000000169,ENSPTET00000015767_ENSPTEG00000011797,ENSPTET00000013731_ENSPTEG00000010246,ENSCINT00000019340_ENSCING00000009503,Y47G6A.10.1_WBGene00004978,YER017C_mRNA_YER017C
ENSPTET00000000195_ENSPTEG00000000169,1.0,0.69,0.15,0.23,0.34,0.64
ENSPTET00000015767_ENSPTEG00000011797,0.69,1.0,0.14,0.21,0.33,0.62
ENSPTET00000013731_ENSPTEG00000010246,0.15,0.14,1.0,0.26,0.19,0.19
ENSCINT00000019340_ENSCING00000009503,0.23,0.21,0.26,1.0,0.33,0.27
Y47G6A.10.1_WBGene00004978,0.34,0.33,0.19,0.33,1.0,0.39
YER017C_mRNA_YER017C,0.64,0.62,0.19,0.27,0.39,1.0
