chelonoidis_abingdonii ENSCABG00000023155
gopherus_agassizii ENSGAGG00000001196
chrysemys_picta_bellii ENSCPBG00000026798
pelodiscus_sinensis ENSPSIG00000015276
dromaius_novaehollandiae ENSDNVG00000006742
apteryx_haastii ENSAHAG00000006757
gallus_gallus ENSGALG00000004837
meleagris_gallopavo ENSMGAG00000005029
anas_platyrhynchos_platyrhynchos ENSAPLG00000011167
lonchura_striata_domestica ENSLSDG00000001804
taeniopygia_guttata ENSTGUG00000005606
serinus_canaria ENSSCAG00000013647
zonotrichia_albicollis ENSZALG00000004837
junco_hyemalis ENSJHYG00000001240
parus_major ENSPMJG00000004371
cyanistes_caeruleus ENSCCEG00000005185
ficedula_albicollis ENSFALG00000004928
manacus_vitellinus ENSMVIG00005007212
calidris_pygmaea ENSCPGG00000005655
calidris_pugnax ENSCPUG00000005755
anolis_carolinensis ENSACAG00000001750
pogona_vitticeps ENSPVIG00000001584
notechis_scutatus ENSNSUG00000004657
salvator_merianae ENSSMRG00000019895
sphenodon_punctatus ENSSPUG00000013650
notamacropus_eugenii ENSMEUG00000001540
notamacropus_eugenii ENSMEUG00000001302
phascolarctos_cinereus ENSPCIG00000018360
sarcophilus_harrisii ENSSHAG00000011610
monodelphis_domestica ENSMODG00000017851
loxodonta_africana ENSLAFG00000004497
procavia_capensis ENSPCAG00000008840
echinops_telfairi ENSETEG00000007936
choloepus_hoffmanni ENSCHOG00000012594
dasypus_novemcinctus ENSDNOG00000009668
castor_canadensis ENSCCNG00000025150
dipodomys_ordii ENSDORG00000007431
cricetulus_griseus_crigri-picr ENSCGRG00015020831
cricetulus_griseus_crigri_1.0 ENSCGRG00000012036
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014353
mesocricetus_auratus ENSMAUG00000008369
peromyscus_maniculatus_bairdii ENSPEMG00000020949
microtus_ochrogaster ENSMOCG00000018052
mus_spicilegus ENSMSIG00000028435
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000023572
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025094
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024178
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025620
rattus_norvegicus ENSRNOG00000011379
meriones_unguiculatus ENSMUGG00000006129
nannospalax_galili ENSNGAG00000011087
octodon_degus ENSODEG00000017025
octodon_degus ENSODEG00000007366
chinchilla_lanigera ENSCLAG00000010434
cavia_porcellus ENSCPOG00000003385
cavia_aperea ENSCAPG00000012067
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018093
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005840
fukomys_damarensis ENSFDAG00000000726
ictidomys_tridecemlineatus ENSSTOG00000001030
urocitellus_parryii ENSUPAG00010012188
spermophilus_dauricus ENSSDAG00000016205
marmota_marmota_marmota ENSMMMG00000018926
oryctolagus_cuniculus ENSOCUG00000000548
ochotona_princeps ENSOPRG00000014998
gorilla_gorilla ENSGGOG00000028557
gorilla_gorilla ENSGGOG00000006546
pan_paniscus ENSPPAG00000034126
pan_troglodytes ENSPTRG00000006987
homo_sapiens ENSG00000166946
pongo_abelii ENSPPYG00000006406
nomascus_leucogenys ENSNLEG00000004738
macaca_mulatta ENSMMUG00000022253
macaca_nemestrina ENSMNEG00000026131
macaca_fascicularis ENSMFAG00000031199
papio_anubis ENSPANG00000018494
theropithecus_gelada ENSTGEG00000005361
mandrillus_leucophaeus ENSMLEG00000040688
chlorocebus_sabaeus ENSCSAG00000008900
cercocebus_atys ENSCATG00000042425
piliocolobus_tephrosceles ENSPTEG00000015466
piliocolobus_tephrosceles ENSPTEG00000021155
colobus_angolensis_palliatus ENSCANG00000028010
rhinopithecus_bieti ENSRBIG00000035998
rhinopithecus_roxellana ENSRROG00000039051
cebus_capucinus_imitator ENSCCAG00000026005
callithrix_jacchus ENSCJAG00000002983
saimiri_boliviensis_boliviensis ENSSBOG00000019422
aotus_nancymaae ENSANAG00000030777
carlito_syrichta ENSTSYG00000012417
microcebus_murinus ENSMICG00000009950
prolemur_simus ENSPSMG00000007920
propithecus_coquereli ENSPCOG00000019674
otolemur_garnettii ENSOGAG00000011162
tupaia_belangeri ENSTBEG00000017011
ailuropoda_melanoleuca ENSAMEG00000015637
ursus_maritimus ENSUMAG00000009558
neovison_vison ENSNVIG00000019814
mustela_putorius_furo ENSMPUG00000010063
canis_lupus_dingo ENSCAFG00020003722
canis_lupus_familiaris ENSCAFG00000011930
vulpes_vulpes ENSVVUG00000009638
panthera_tigris_altaica ENSPTIG00000001712
panthera_pardus ENSPPRG00000025046
