chelonoidis_abingdonii ENSCABG00000011295
gopherus_agassizii ENSGAGG00000003284
chrysemys_picta_bellii ENSCPBG00000011952
pelodiscus_sinensis ENSPSIG00000008784
crocodylus_porosus ENSCPRG00005007182
anolis_carolinensis ENSACAG00000004900
salvator_merianae ENSSMRG00000014534
pogona_vitticeps ENSPVIG00000002030
notechis_scutatus ENSNSUG00000020102
sphenodon_punctatus ENSSPUG00000014212
junco_hyemalis ENSJHYG00000014036
zonotrichia_albicollis ENSZALG00000013539
serinus_canaria ENSSCAG00000004351
lonchura_striata_domestica ENSLSDG00000003509
taeniopygia_guttata ENSTGUG00000009070
ficedula_albicollis ENSFALG00000007750
parus_major ENSPMJG00000017309
cyanistes_caeruleus ENSCCEG00000021242
lepidothrix_coronata ENSLCOG00000003949
manacus_vitellinus ENSMVIG00005006807
calidris_pygmaea ENSCPGG00000019216
calidris_pugnax ENSCPUG00000013118
melopsittacus_undulatus ENSMUNG00000014441
anser_brachyrhynchus ENSABRG00000018639
anas_platyrhynchos_platyrhynchos ENSAPLG00000014135
meleagris_gallopavo ENSMGAG00000016545
coturnix_japonica ENSCJPG00005015687
numida_meleagris ENSNMEG00000022723
apteryx_owenii ENSAOWG00000009226
apteryx_haastii ENSAHAG00000015034
apteryx_rowi ENSARWG00000006535
dromaius_novaehollandiae ENSDNVG00000007106
ornithorhynchus_anatinus ENSOANG00000007379
ornithorhynchus_anatinus ENSOANG00000031700
chinchilla_lanigera ENSCLAG00000010366
octodon_degus ENSODEG00000012203
cavia_porcellus ENSCPOG00000004772
cavia_aperea ENSCAPG00000012392
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017717
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013801
fukomys_damarensis ENSFDAG00000003430
urocitellus_parryii ENSUPAG00010008413
spermophilus_dauricus ENSSDAG00000017304
cricetulus_griseus_crigri_1.0 ENSCGRG00000002825
cricetulus_griseus_crigri-picr ENSCGRG00015000604
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013787
mesocricetus_auratus ENSMAUG00000000908
microtus_ochrogaster ENSMOCG00000003996
peromyscus_maniculatus_bairdii ENSPEMG00000018347
mus_spicilegus ENSMSIG00000029119
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028661
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000032754
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027661
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024243
rattus_norvegicus ENSRNOG00000001383
meriones_unguiculatus ENSMUGG00000015091
nannospalax_galili ENSNGAG00000020511
jaculus_jaculus ENSJJAG00000019835
ochotona_princeps ENSOPRG00000012094
oryctolagus_cuniculus ENSOCUG00000003827
cercocebus_atys ENSCATG00000031511
mandrillus_leucophaeus ENSMLEG00000038939
papio_anubis ENSPANG00000018414
theropithecus_gelada ENSTGEG00000020776
macaca_nemestrina ENSMNEG00000041316
macaca_mulatta ENSMMUG00000006723
chlorocebus_sabaeus ENSCSAG00000002409
rhinopithecus_roxellana ENSRROG00000031980
rhinopithecus_bieti ENSRBIG00000029229
