,ENSXETT00000036088_ENSXETG00000016642,ENSXETT00000022984_ENSXETG00000016602,ENSXETT00000005229_ENSXETG00000010593,ENSPCIT00000024902_ENSPCIG00000015381,ENSPCIT00000067680_ENSPCIG00000015381,ENSVURT00010032844_ENSVURG00010022068,ENSMEUT00000003249_ENSMEUG00000003247,ENSMODT00000018646_ENSMODG00000014656,ENSSHAT00000006346_ENSSHAG00000005479,ENSDNOT00000035800_ENSDNOG00000040703,ENSLAFT00000008225_ENSLAFG00000008225,ENSPCAT00000011031_ENSPCAG00000011106
ENSXETT00000036088_ENSXETG00000016642,1.0,0.85,0.36,0.44,0.44,0.43,0.4,0.46,0.41,0.39,0.4,0.37
ENSXETT00000022984_ENSXETG00000016602,0.85,1.0,0.34,0.4,0.4,0.4,0.36,0.41,0.38,0.35,0.37,0.32
ENSXETT00000005229_ENSXETG00000010593,0.36,0.34,1.0,0.51,0.51,0.51,0.52,0.51,0.52,0.53,0.5,0.5
ENSPCIT00000024902_ENSPCIG00000015381,0.44,0.4,0.51,1.0,0.95,0.89,0.88,0.82,0.86,0.65,0.65,0.64
ENSPCIT00000067680_ENSPCIG00000015381,0.44,0.4,0.51,0.95,1.0,0.89,0.88,0.82,0.86,0.65,0.65,0.64
ENSVURT00010032844_ENSVURG00010022068,0.43,0.4,0.51,0.89,0.89,1.0,0.88,0.81,0.84,0.64,0.67,0.64
ENSMEUT00000003249_ENSMEUG00000003247,0.4,0.36,0.52,0.88,0.88,0.88,1.0,0.82,0.86,0.64,0.65,0.65
ENSMODT00000018646_ENSMODG00000014656,0.46,0.41,0.51,0.82,0.82,0.81,0.82,1.0,0.79,0.62,0.63,0.63
ENSSHAT00000006346_ENSSHAG00000005479,0.41,0.38,0.52,0.86,0.86,0.84,0.86,0.79,1.0,0.68,0.65,0.67
ENSDNOT00000035800_ENSDNOG00000040703,0.39,0.35,0.53,0.65,0.65,0.64,0.64,0.62,0.68,1.0,0.73,0.74
ENSLAFT00000008225_ENSLAFG00000008225,0.4,0.37,0.5,0.65,0.65,0.67,0.65,0.63,0.65,0.73,1.0,0.81
ENSPCAT00000011031_ENSPCAG00000011106,0.37,0.32,0.5,0.64,0.64,0.64,0.65,0.63,0.67,0.74,0.81,1.0
