phascolarctos_cinereus ENSPCIG00000008500
notamacropus_eugenii ENSMEUG00000016320
sarcophilus_harrisii ENSSHAG00000008919
monodelphis_domestica ENSMODG00000001626
ornithorhynchus_anatinus ENSOANG00000022117
sorex_araneus ENSSARG00000000990
erinaceus_europaeus ENSEEUG00000004587
chinchilla_lanigera ENSCLAG00000008810
octodon_degus ENSODEG00000005200
cavia_porcellus ENSCPOG00000003120
cavia_aperea ENSCAPG00000016772
heterocephalus_glaber_female ENSHGLG00000018729
heterocephalus_glaber_male ENSHGLG00100015426
fukomys_damarensis ENSFDAG00000008606
ictidomys_tridecemlineatus ENSSTOG00000007697
urocitellus_parryii ENSUPAG00010017618
spermophilus_dauricus ENSSDAG00000008688
marmota_marmota_marmota ENSMMMG00000021724
mus_spicilegus ENSMSIG00000003463
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025011
mus_musculus ENSMUSG00000057378
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024095
mus_pahari MGP_PahariEiJ_G0025538
rattus_norvegicus ENSRNOG00000006645
meriones_unguiculatus ENSMUGG00000007424
cricetulus_griseus_chok1gshd ENSCGRG00001020790
cricetulus_griseus_crigri ENSCGRG00000010023
cricetulus_griseus_crigri-picr ENSCGRG00015005587
mesocricetus_auratus ENSMAUG00000021512
peromyscus_maniculatus_bairdii ENSPEMG00000010685
microtus_ochrogaster ENSMOCG00000014217
nannospalax_galili ENSNGAG00000019371
jaculus_jaculus ENSJJAG00000015590
castor_canadensis ENSCCNG00000001433
dipodomys_ordii ENSDORG00000015668
oryctolagus_cuniculus ENSOCUG00000011459
ochotona_princeps ENSOPRG00000012411
tupaia_belangeri ENSTBEG00000003808
pan_troglodytes ENSPTRG00000006872
pan_paniscus ENSPPAG00000030728
homo_sapiens ENSG00000198838
gorilla_gorilla ENSGGOG00000009119
pongo_abelii ENSPPYG00000006305
nomascus_leucogenys ENSNLEG00000010690
rhinopithecus_roxellana ENSRROG00000038635
rhinopithecus_bieti ENSRBIG00000043251
colobus_angolensis_palliatus ENSCANG00000031960
piliocolobus_tephrosceles ENSPTEG00000023517
theropithecus_gelada ENSTGEG00000025258
papio_anubis ENSPANG00000019876
mandrillus_leucophaeus ENSMLEG00000043245
cercocebus_atys ENSCATG00000031383
macaca_fascicularis ENSMFAG00000036819
macaca_mulatta ENSMMUG00000005270
macaca_nemestrina ENSMNEG00000030269
chlorocebus_sabaeus ENSCSAG00000007004
callithrix_jacchus ENSCJAG00000035611
saimiri_boliviensis_boliviensis ENSSBOG00000033211
aotus_nancymaae ENSANAG00000028782
cebus_capucinus ENSCCAG00000029728
carlito_syrichta ENSTSYG00000010807
prolemur_simus ENSPSMG00000007202
microcebus_murinus ENSMICG00000005736
propithecus_coquereli ENSPCOG00000023335
otolemur_garnettii ENSOGAG00000011146
carlito_syrichta ENSTSYG00000032669
loxodonta_africana ENSLAFG00000005626
procavia_capensis ENSPCAG00000013636
echinops_telfairi ENSETEG00000012432
choloepus_hoffmanni ENSCHOG00000001326
dasypus_novemcinctus ENSDNOG00000011402
pteropus_vampyrus ENSPVAG00000003806
myotis_lucifugus ENSMLUG00000004511
equus_caballus ENSECAG00000013267
equus_asinus_asinus ENSEASG00005017016
bos_mutus ENSBMUG00000016013
bison_bison_bison ENSBBBG00000001764
ovis_aries ENSOARG00000019941
capra_hircus ENSCHIG00000023789
tursiops_truncatus ENSTTRG00000007229
sus_scrofa ENSSSCG00000033958
vicugna_pacos ENSVPAG00000007152
bos_taurus ENSBTAG00000053901
aotus_nancymaae ENSANAG00000006241
ursus_americanus ENSUAMG00000001213
ursus_maritimus ENSUMAG00000016094
ailuropoda_melanoleuca ENSAMEG00000015734
mustela_putorius_furo ENSMPUG00000008052
neovison_vison ENSNVIG00000013899
canis_lupus_familiaris ENSCAFG00000008056
canis_lupus_dingo ENSCAFG00020008970
vulpes_vulpes ENSVVUG00000025463
panthera_pardus ENSPPRG00000007525
panthera_tigris_altaica ENSPTIG00000016829
felis_catus ENSFCAG00000000742
ornithorhynchus_anatinus ENSOANG00000005882
ornithorhynchus_anatinus ENSOANG00000021438
ornithorhynchus_anatinus ENSOANG00000009508
equus_asinus_asinus ENSEASG00005016889
danio_rerio ENSDARG00000112343
danio_rerio ENSDARG00000115424
hippocampus_comes ENSHCOG00000005355
hippocampus_comes ENSHCOG00000005365
labrus_bergylta ENSLBEG00000014184
gasterosteus_aculeatus ENSGACG00000007942
mastacembelus_armatus ENSMAMG00000002144
monopterus_albus ENSMALG00000021726
anabas_testudineus ENSATEG00000021581
seriola_dumerili ENSSDUG00000006149
seriola_lalandi_dorsalis ENSSLDG00000022993
scophthalmus_maximus ENSSMAG00000019451
amphiprion_percula ENSAPEG00000007227
amphiprion_ocellaris ENSAOCG00000018837
acanthochromis_polyacanthus ENSAPOG00000024166
stegastes_partitus ENSSPAG00000015597
amphilophus_citrinellus ENSACIG00000010014
amphilophus_citrinellus ENSACIG00000009989
maylandia_zebra ENSMZEG00005003819
haplochromis_burtoni ENSHBUG00000012223
astatotilapia_calliptera ENSACLG00000026604
pundamilia_nyererei ENSPNYG00000002051
neolamprologus_brichardi ENSNBRG00000001583
oreochromis_niloticus ENSONIG00000005692
fundulus_heteroclitus ENSFHEG00000015250
cyprinodon_variegatus ENSCVAG00000000463
poecilia_formosa ENSPFOG00000016822
poecilia_latipinna ENSPLAG00000006716
poecilia_mexicana ENSPMEG00000013219
poecilia_mexicana ENSPMEG00000013215
xiphophorus_maculatus ENSXMAG00000028505
xiphophorus_maculatus ENSXMAG00000026108
poecilia_reticulata ENSPREG00000010552
poecilia_reticulata ENSPREG00000010540
gambusia_affinis ENSGAFG00000003351
gambusia_affinis ENSGAFG00000003340
xiphophorus_couchianus ENSXCOG00000001409
kryptolebias_marmoratus ENSKMAG00000021456
mola_mola ENSMMOG00000015516
cynoglossus_semilaevis ENSCSEG00000003572
takifugu_rubripes ENSTRUG00000023444
takifugu_rubripes ENSTRUG00000025735
tetraodon_nigroviridis ENSTNIG00000012216
oryzias_latipes_asm223469v1 ENSORLG00015013985
oryzias_latipes_asm223469v1 ENSORLG00015013963
oryzias_latipes ENSORLG00020015957
oryzias_latipes ENSORLG00020015969
oryzias_latipes ENSORLG00000024234
oryzias_latipes ENSORLG00000030009
gadus_morhua ENSGMOG00000014933
esox_lucius ENSELUG00000019476
oryzias_melastigma ENSOMEG00000002048
oryzias_melastigma ENSOMEG00000002040
periophthalmus_magnuspinnatus ENSPMGG00000020950
periophthalmus_magnuspinnatus ENSPMGG00000020954
pygocentrus_nattereri ENSPNAG00000023840
astyanax_mexicanus ENSAMXG00000004818
ictalurus_punctatus ENSIPUG00000023575
danio_rerio ENSDARG00000071331
periophthalmus_magnuspinnatus ENSPMGG00000015694
periophthalmus_magnuspinnatus ENSPMGG00000015701
takifugu_rubripes ENSTRUG00000025630
tetraodon_nigroviridis ENSTNIG00000017445
gasterosteus_aculeatus ENSGACG00000006040
labrus_bergylta ENSLBEG00000026698
cynoglossus_semilaevis ENSCSEG00000000170
mastacembelus_armatus ENSMAMG00000007152
mastacembelus_armatus ENSMAMG00000007337
monopterus_albus ENSMALG00000015403
anabas_testudineus ENSATEG00000003297
seriola_lalandi_dorsalis ENSSLDG00000022159
seriola_dumerili ENSSDUG00000004974
scophthalmus_maximus ENSSMAG00000005898
amphiprion_ocellaris ENSAOCG00000003422
amphiprion_ocellaris ENSAOCG00000019653
amphiprion_percula ENSAPEG00000001208
acanthochromis_polyacanthus ENSAPOG00000018823
stegastes_partitus ENSSPAG00000019718
stegastes_partitus ENSSPAG00000010930
maylandia_zebra ENSMZEG00005009788
astatotilapia_calliptera ENSACLG00000001994
haplochromis_burtoni ENSHBUG00000017298
pundamilia_nyererei ENSPNYG00000022281
neolamprologus_brichardi ENSNBRG00000002142
oreochromis_niloticus ENSONIG00000012087
