ENSBSLP00000003843	ENSBSLG00000002036	Betta_splendens
ENSCVAP00000018702	ENSCVAG00000021992	Cyprinodon_variegatus
ENSHBUP00000007846	ENSHBUG00000009343	Haplochromis_burtoni
ENSPREP00000005684	ENSPREG00000003945	Poecilia_reticulata
ENSATEP00000006191	ENSATEG00000004380	Anabas_testudineus
ENSCGOP00000000726	ENSCGOG00000000456	Cottoperca_gobio
ENSCSEP00000018822	ENSCSEG00000012048	Cynoglossus_semilaevis
ENSMZEP00005019908	ENSMZEG00005014951	Maylandia_zebra
ENSNBRP00000003331	ENSNBRG00000002660	Neolamprologus_brichardi
ENSELUP00000001082	ENSELUG00000002613	Esox_lucius	ENSELUT00000017975
ENSORLP00000012258	ENSORLG00000009771	Oryzias_latipes_ASM223467v1
ENSELUP00000009295	ENSELUG00000009856	Esox_lucius
ENSATEP00000006226	ENSATEG00000004390	Anabas_testudineus
ENSMALP00000013970	ENSMALG00000009844	Monopterus_albus
ENSPMEP00000031631	ENSPMEG00000018881	Poecilia_mexicana
ENSLCAP00010060140	ENSLCAG00010027981	Lates_calcarifer
ENSLCAP00010060141	ENSLCAG00010027982	Lates_calcarifer
ENSSLDP00000005375	ENSSLDG00000004292	Seriola_lalandi_dorsalis
ENSPREP00000005695	ENSPREG00000003968	Poecilia_reticulata
ENSHCOP00000024954	ENSHCOG00000014714	Hippocampus_comes
ENSXCOP00000022415	ENSXCOG00000016748	Xiphophorus_couchianus
ENSNBRP00000003345	ENSNBRG00000002695	Neolamprologus_brichardi
ENSCGOP00000000734	ENSCGOG00000000466	Cottoperca_gobio
ENSMZEP00005019919	ENSMZEG00005014958	Maylandia_zebra
ENSFHEP00000005892	ENSFHEG00000006877	Fundulus_heteroclitus
ENSKMAP00000015647	ENSKMAG00000011714	Kryptolebias_marmoratus
ENSACLP00000006796	ENSACLG00000004586	Astatotilapia_calliptera
ENSPNAP00000021747	ENSPNAG00000028883	Pygocentrus_nattereri
ENSSFOP00015037736	ENSSFOG00015024022	Scleropages_formosus
ENSORLP00020027178	ENSORLG00020010025	Oryzias_latipes_ASM223471v1
ENSFHEP00000024976	ENSFHEG00000006882	Fundulus_heteroclitus
ENSONIP00000008703	ENSONIG00000006898	Oreochromis_niloticus
ENSXMAP00000038493	ENSXMAG00000029905	Xiphophorus_maculatus
ENSHHUP00000088938	ENSHHUG00000051365	Hucho_hucho	ENSHHUT00000091700
ENSPMEP00000016238	ENSPMEG00000018874	Poecilia_mexicana
ENSGMOP00000011786	ENSGMOG00000011018	Gadus_morhua
ENSHCOP00000024952	ENSHCOG00000014708	Hippocampus_comes
ENSKMAP00000015633	ENSKMAG00000011697	Kryptolebias_marmoratus
ENSPMEP00000016236	ENSPMEG00000018865	Poecilia_mexicana
ENSSPAP00000027972	ENSSPAG00000021081	Stegastes_partitus
ENSAMXP00000040137	ENSAMXG00000030922	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSORLP00000012271	ENSORLG00000009780	Oryzias_latipes_ASM223467v1
ENSSDUP00000022118	ENSSDUG00000016094	Seriola_dumerili
ENSOMEP00000024856	ENSOMEG00000005752	Oryzias_melastigma
ENSORLP00000012279	ENSORLG00000009786	Oryzias_latipes_ASM223467v1
ENSLOCP00000001936	ENSLOCG00000001684	Lepisosteus_oculatus
ENSGAFP00000013735	ENSGAFG00000009267	Gambusia_affinis
ENSNBRP00000003361	ENSNBRG00000002715	Neolamprologus_brichardi
ENSXMAP00000006801	ENSXMAG00000006792	Xiphophorus_maculatus
ENSLBEP00000029001	ENSLBEG00000021974	Labrus_bergylta
ENSAPEP00000026808	ENSAPEG00000019036	Amphiprion_percula
ENSSMAP00000015323	ENSSMAG00000009398	Scophthalmus_maximus
ENSHHUP00000036037	ENSHHUG00000022663	Hucho_hucho
ENSAMXP00005013576	ENSAMXG00005007293	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAOCP00000002184	ENSAOCG00000005275	Amphiprion_ocellaris
ENSTRUP00000053661	ENSTRUG00000021525	Takifugu_rubripes
ENSMMOP00000024030	ENSMMOG00000018289	Mola_mola
ENSPNYP00000026555	ENSPNYG00000020027	Pundamilia_nyererei
ENSORLP00015000180	ENSORLG00015023123	Oryzias_latipes_ASM223469v1
ENSGAFP00000013746	ENSGAFG00000009276	Gambusia_affinis
ENSPMEP00000016258	ENSPMEG00000018891	Poecilia_mexicana
ENSSDUP00000022133	ENSSDUG00000016112	Seriola_dumerili
ENSGAFP00000013743	ENSGAFG00000009275	Gambusia_affinis
ENSOMEP00000004834	ENSOMEG00000005811	Oryzias_melastigma
ENSHHUP00000047939	ENSHHUG00000029103	Hucho_hucho	ENSHHUT00000049685
ENSACLP00000006866	ENSACLG00000004622	Astatotilapia_calliptera
ENSPFOP00000022349	ENSPFOG00000018287	Poecilia_formosa
ENSXMAP00000030207	ENSXMAG00000022336	Xiphophorus_maculatus
ENSAOCP00000002191	ENSAOCG00000005281	Amphiprion_ocellaris
ENSAMXP00005013547	ENSAMXG00005007279	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSXMAP00000021739	ENSXMAG00000023825	Xiphophorus_maculatus
ENSORLP00015021744	ENSORLG00015023120	Oryzias_latipes_ASM223469v1
ENSPRNP00000050394	ENSPRNG00000023959	Parambassis_ranga
ENSPRNP00000050398	ENSPRNG00000023962	Parambassis_ranga
ENSHHUP00000063313	ENSHHUG00000037414	Hucho_hucho
ENSAMXP00005013522	ENSAMXG00005007267	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
