equus_caballus ENSECAG00000012206
equus_asinus_asinus ENSEASG00005022396
ursus_americanus ENSUAMG00000008472
ursus_americanus ENSUAMG00000024362
ursus_maritimus ENSUMAG00000022436
ailuropoda_melanoleuca ENSAMEG00000000301
mustela_putorius_furo ENSMPUG00000001315
neovison_vison ENSNVIG00000001533
canis_lupus_familiaris ENSCAFG00000030125
canis_lupus_dingo ENSCAFG00020006553
vulpes_vulpes ENSVVUG00000016853
panthera_tigris_altaica ENSPTIG00000021638
panthera_pardus ENSPPRG00000024012
felis_catus ENSFCAG00000024394
ovis_aries ENSOARG00000008657
capra_hircus ENSCHIG00000013612
bos_mutus ENSBMUG00000026667
bos_taurus ENSBTAG00000009072
bison_bison_bison ENSBBBG00000019973
tursiops_truncatus ENSTTRG00000015484
sus_scrofa ENSSSCG00000005971
vicugna_pacos ENSVPAG00000006529
myotis_lucifugus ENSMLUG00000000608
pteropus_vampyrus ENSPVAG00000005897
castor_canadensis ENSCCNG00000024357
nannospalax_galili ENSNGAG00000011211
spermophilus_dauricus ENSSDAG00000023438
spermophilus_dauricus ENSSDAG00000023442
spermophilus_dauricus ENSSDAG00000024171
ictidomys_tridecemlineatus ENSSTOG00000013236
marmota_marmota_marmota ENSMMMG00000001899
chinchilla_lanigera ENSCLAG00000002623
cavia_porcellus ENSCPOG00000031932
heterocephalus_glaber_female ENSHGLG00000011462
heterocephalus_glaber_male ENSHGLG00100018936
ochotona_princeps ENSOPRG00000004949
tupaia_belangeri ENSTBEG00000002733
homo_sapiens ENSG00000180938
gorilla_gorilla ENSGGOG00000006964
pan_troglodytes ENSPTRG00000020571
pan_paniscus ENSPPAG00000043986
pongo_abelii ENSPPYG00000018871
nomascus_leucogenys ENSNLEG00000005528
macaca_fascicularis ENSMFAG00000031662
macaca_nemestrina ENSMNEG00000044566
cercocebus_atys ENSCATG00000030884
theropithecus_gelada ENSTGEG00000010475
papio_anubis ENSPANG00000024290
mandrillus_leucophaeus ENSMLEG00000000457
chlorocebus_sabaeus ENSCSAG00000010162
piliocolobus_tephrosceles ENSPTEG00000031375
colobus_angolensis_palliatus ENSCANG00000003922
rhinopithecus_bieti ENSRBIG00000038308
rhinopithecus_bieti ENSRBIG00000037789
rhinopithecus_roxellana ENSRROG00000027983
saimiri_boliviensis_boliviensis ENSSBOG00000035811
cebus_capucinus ENSCCAG00000034265
callithrix_jacchus ENSCJAG00000044611
aotus_nancymaae ENSANAG00000019228
carlito_syrichta ENSTSYG00000006409
prolemur_simus ENSPSMG00000021487
propithecus_coquereli ENSPCOG00000017792
microcebus_murinus ENSMICG00000017483
otolemur_garnettii ENSOGAG00000015777
choloepus_hoffmanni ENSCHOG00000006942
dasypus_novemcinctus ENSDNOG00000009854
sorex_araneus ENSSARG00000005346
phascolarctos_cinereus ENSPCIG00000020795
sarcophilus_harrisii ENSSHAG00000005229
monodelphis_domestica ENSMODG00000001814
