,ENSMLUT00000017608_ENSMLUG00000017604,ENSUMAT00000019797_ENSUMAG00000012291,ENSUAMT00000018125_ENSUAMG00000012894,ENSAMET00000008631_ENSAMEG00000007851
ENSMLUT00000017608_ENSMLUG00000017604,1.0,0.85,0.56,0.87
ENSUMAT00000019797_ENSUMAG00000012291,0.85,1.0,0.63,0.96
ENSUAMT00000018125_ENSUAMG00000012894,0.56,0.63,1.0,0.64
ENSAMET00000008631_ENSAMEG00000007851,0.87,0.96,0.64,1.0
