pygocentrus_nattereri ENSPNAG00000007651
astyanax_mexicanus ENSAMXG00000033339
danio_rerio ENSDARG00000097784
seriola_lalandi_dorsalis ENSSLDG00000002003
seriola_dumerili ENSSDUG00000007675
anabas_testudineus ENSATEG00000001622
maylandia_zebra ENSMZEG00005012896
astatotilapia_calliptera ENSACLG00000003201
haplochromis_burtoni ENSHBUG00000012597
neolamprologus_brichardi ENSNBRG00000007299
amphilophus_citrinellus ENSACIG00000008845
paramormyrops_kingsleyae ENSPKIG00000017493
lepisosteus_oculatus ENSLOCG00000016611
notamacropus_eugenii ENSMEUG00000016171
sarcophilus_harrisii ENSSHAG00000005843
monodelphis_domestica ENSMODG00000023355
tursiops_truncatus ENSTTRG00000004177
ovis_aries ENSOARG00000010591
vicugna_pacos ENSVPAG00000003670
ailuropoda_melanoleuca ENSAMEG00000008245
erinaceus_europaeus ENSEEUG00000014676
pteropus_vampyrus ENSPVAG00000000613
sorex_araneus ENSSARG00000007652
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015273
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016082
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0030691
meriones_unguiculatus ENSMUGG00000017648
castor_canadensis ENSCCNG00000030995
ochotona_princeps ENSOPRG00000013981
pongo_abelii ENSPPYG00000016902
echinops_telfairi ENSETEG00000006481
tupaia_belangeri ENSTBEG00000013409
procavia_capensis ENSPCAG00000009490
choloepus_hoffmanni ENSCHOG00000012075
pelodiscus_sinensis ENSPSIG00000008723
ciona_intestinalis ENSCING00000014171
