pogona_vitticeps ENSPVIG00000009802
anolis_carolinensis ENSACAG00000000871
notechis_scutatus ENSNSUG00000019180
salvator_merianae ENSSMRG00000005222
sphenodon_punctatus ENSSPUG00000006613
anser_brachyrhynchus ENSABRG00000002514
anas_platyrhynchos_platyrhynchos ENSAPLG00000009140
meleagris_gallopavo ENSMGAG00000004436
gallus_gallus ENSGALG00000008756
coturnix_japonica ENSCJPG00005011490
numida_meleagris ENSNMEG00000000334
calidris_pugnax ENSCPUG00000002826
calidris_pygmaea ENSCPGG00000000029
melopsittacus_undulatus ENSMUNG00000006820
taeniopygia_guttata ENSTGUG00000002380
taeniopygia_guttata ENSTGUG00000014486
lonchura_striata_domestica ENSLSDG00000000493
serinus_canaria ENSSCAG00000001096
junco_hyemalis ENSJHYG00000003584
zonotrichia_albicollis ENSZALG00000012453
parus_major ENSPMJG00000001665
cyanistes_caeruleus ENSCCEG00000012210
ficedula_albicollis ENSFALG00000013650
lepidothrix_coronata ENSLCOG00000013447
manacus_vitellinus ENSMVIG00005018448
apteryx_owenii ENSAOWG00000011869
apteryx_haastii ENSAHAG00000018476
apteryx_rowi ENSARWG00000005967
dromaius_novaehollandiae ENSDNVG00000014846
nothoprocta_perdicaria ENSNPEG00000016028
crocodylus_porosus ENSCPRG00005012755
gopherus_agassizii ENSGAGG00000018090
chelonoidis_abingdonii ENSCABG00000017446
chrysemys_picta_bellii ENSCPBG00000014461
pelodiscus_sinensis ENSPSIG00000010697
phascolarctos_cinereus ENSPCIG00000018623
notamacropus_eugenii ENSMEUG00000014339
sarcophilus_harrisii ENSSHAG00000001830
monodelphis_domestica ENSMODG00000003654
castor_canadensis ENSCCNG00000015789
dipodomys_ordii ENSDORG00000029923
cricetulus_griseus_chok1gshd ENSCGRG00001023663
cricetulus_griseus_crigri-picr ENSCGRG00015027922
cricetulus_griseus_crigri ENSCGRG00000009141
mesocricetus_auratus ENSMAUG00000011299
peromyscus_maniculatus_bairdii ENSPEMG00000022796
microtus_ochrogaster ENSMOCG00000018168
mus_musculus ENSMUSG00000020120
mus_spicilegus ENSMSIG00000001053
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016947
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016105
mus_pahari MGP_PahariEiJ_G0016786
rattus_norvegicus ENSRNOG00000005214
meriones_unguiculatus ENSMUGG00000019651
nannospalax_galili ENSNGAG00000020332
jaculus_jaculus ENSJJAG00000005757
chinchilla_lanigera ENSCLAG00000010835
octodon_degus ENSODEG00000011044
cavia_aperea ENSCAPG00000008910
cavia_porcellus ENSCPOG00000003525
heterocephalus_glaber_female ENSHGLG00000019154
heterocephalus_glaber_male ENSHGLG00100003064
fukomys_damarensis ENSFDAG00000008680
ictidomys_tridecemlineatus ENSSTOG00000014667
marmota_marmota_marmota ENSMMMG00000005592
spermophilus_dauricus ENSSDAG00000020241
urocitellus_parryii ENSUPAG00010010638
oryctolagus_cuniculus ENSOCUG00000006113
ochotona_princeps ENSOPRG00000009671
propithecus_coquereli ENSPCOG00000013510
prolemur_simus ENSPSMG00000000754
microcebus_murinus ENSMICG00000003728
gorilla_gorilla ENSGGOG00000026840
gorilla_gorilla ENSGGOG00000005831
homo_sapiens ENSG00000115956
pan_paniscus ENSPPAG00000036621
pan_troglodytes ENSPTRG00000012003
pongo_abelii ENSPPYG00000012350
nomascus_leucogenys ENSNLEG00000010002
macaca_fascicularis ENSMFAG00000041132
macaca_nemestrina ENSMNEG00000029803
macaca_mulatta ENSMMUG00000009195
cercocebus_atys ENSCATG00000037750
papio_anubis ENSPANG00000005755
mandrillus_leucophaeus ENSMLEG00000039341
theropithecus_gelada ENSTGEG00000010944
chlorocebus_sabaeus ENSCSAG00000014878
rhinopithecus_bieti ENSRBIG00000036643
rhinopithecus_roxellana ENSRROG00000035016
piliocolobus_tephrosceles ENSPTEG00000019830
colobus_angolensis_palliatus ENSCANG00000029149
cebus_capucinus ENSCCAG00000026558
saimiri_boliviensis_boliviensis ENSSBOG00000031071
callithrix_jacchus ENSCJAG00000006477
aotus_nancymaae ENSANAG00000032204
sorex_araneus ENSSARG00000004674
erinaceus_europaeus ENSEEUG00000000485
ursus_maritimus ENSUMAG00000021146
ursus_americanus ENSUAMG00000012673
ailuropoda_melanoleuca ENSAMEG00000004920
canis_lupus_familiaris ENSCAFG00000003260
canis_lupus_dingo ENSCAFG00020000109
vulpes_vulpes ENSVVUG00000027643
neovison_vison ENSNVIG00000018184
mustela_putorius_furo ENSMPUG00000006274
pteropus_vampyrus ENSPVAG00000000161
tursiops_truncatus ENSTTRG00000014006
sus_scrofa ENSSSCG00000008348
vicugna_pacos ENSVPAG00000012085
equus_caballus ENSECAG00000018996
equus_asinus_asinus ENSEASG00005007312
panthera_tigris_altaica ENSPTIG00000016072
panthera_pardus ENSPPRG00000014845
felis_catus ENSFCAG00000009426
myotis_lucifugus ENSMLUG00000016505
ovis_aries ENSOARG00000019902
capra_hircus ENSCHIG00000017674
bos_taurus ENSBTAG00000009658
bos_mutus ENSBMUG00000020268
bison_bison_bison ENSBBBG00000016507
carlito_syrichta ENSTSYG00000000221
otolemur_garnettii ENSOGAG00000016644
loxodonta_africana ENSLAFG00000005718
procavia_capensis ENSPCAG00000015816
echinops_telfairi ENSETEG00000010715
dasypus_novemcinctus ENSDNOG00000038949
ornithorhynchus_anatinus ENSOANG00000008390
ornithorhynchus_anatinus ENSOANG00000020756
taeniopygia_guttata ENSTGUG00000016432
xenopus_tropicalis ENSXETG00000017358
latimeria_chalumnae ENSLACG00000016147
oryzias_latipes ENSORLG00000006378
oryzias_latipes_asm223469v1 ENSORLG00015011852
oryzias_latipes ENSORLG00020007127
oryzias_melastigma ENSOMEG00000005838
cynoglossus_semilaevis ENSCSEG00000016369
mastacembelus_armatus ENSMAMG00000021143
monopterus_albus ENSMALG00000015516
anabas_testudineus ENSATEG00000004719
seriola_lalandi_dorsalis ENSSLDG00000025531
seriola_dumerili ENSSDUG00000011738
scophthalmus_maximus ENSSMAG00000020641
labrus_bergylta ENSLBEG00000002998
xiphophorus_maculatus ENSXMAG00000010640
xiphophorus_couchianus ENSXCOG00000000639
gambusia_affinis ENSGAFG00000010325
poecilia_formosa ENSPFOG00000015061
poecilia_formosa ENSPFOG00000015043
poecilia_latipinna ENSPLAG00000021659
poecilia_mexicana ENSPMEG00000019551
poecilia_reticulata ENSPREG00000015130
fundulus_heteroclitus ENSFHEG00000001928
cyprinodon_variegatus ENSCVAG00000016472
kryptolebias_marmoratus ENSKMAG00000019135
pundamilia_nyererei ENSPNYG00000006799
maylandia_zebra ENSMZEG00005027577
astatotilapia_calliptera ENSACLG00000014995
haplochromis_burtoni ENSHBUG00000019951
neolamprologus_brichardi ENSNBRG00000018038
oreochromis_niloticus ENSONIG00000000354
amphilophus_citrinellus ENSACIG00000002479
amphiprion_percula ENSAPEG00000010381
amphiprion_ocellaris ENSAOCG00000001900
acanthochromis_polyacanthus ENSAPOG00000006594
stegastes_partitus ENSSPAG00000008186
gasterosteus_aculeatus ENSGACG00000009115
mola_mola ENSMMOG00000010304
seriola_dumerili ENSSDUG00000011726
takifugu_rubripes ENSTRUG00000023070
tetraodon_nigroviridis ENSTNIG00000008619
periophthalmus_magnuspinnatus ENSPMGG00000022877
hippocampus_comes ENSHCOG00000018052
gadus_morhua ENSGMOG00000019204
esox_lucius ENSELUG00000001220
pygocentrus_nattereri ENSPNAG00000004768
astyanax_mexicanus ENSAMXG00000040893
ictalurus_punctatus ENSIPUG00000016759
danio_rerio ENSDARG00000104325
scleropages_formosus ENSSFOG00015010711
paramormyrops_kingsleyae ENSPKIG00000005025
scleropages_formosus ENSSFOG00015001005
paramormyrops_kingsleyae ENSPKIG00000004709
lepisosteus_oculatus ENSLOCG00000016011
choloepus_hoffmanni ENSCHOG00000004506
petromyzon_marinus ENSPMAG00000004881
