ENSPMAP00000007173	ENSPMAG00000006510	Petromyzon_marinus
ENSEBUP00000020897	ENSEBUG00000012912	Eptatretus_burgeri
ENSEBUP00000020812	ENSEBUG00000012862	Eptatretus_burgeri
ENSDNOP00000021708	ENSDNOG00000044049	Dasypus_novemcinctus	ENSDNOT00000037278
ENSEEUP00000005383	ENSEEUG00000005946	Erinaceus_europaeus
ENSLAFP00000026125	ENSLAFG00000007383	Loxodonta_africana
ENSPCAP00000014104	ENSPCAG00000015131	Procavia_capensis
ENSDORP00000022788	ENSDORG00000025486	Dipodomys_ordii
ENSCCNP00000013276	ENSCCNG00000013798	Castor_canadensis
MGP_SPRETEiJ_P0083972	MGP_SPRETEiJ_G0031083	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000049852	ENSMUSG00000049791	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000002053	ENSMSIG00000001959	Mus_spicilegus
MGP_CAROLIEiJ_P0080609	MGP_CAROLIEiJ_G0029973	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0017453	MGP_PahariEiJ_G0013193	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000023205	ENSRNOG00000016848	Rattus_norvegicus
ENSMUGP00000015479	ENSMUGG00000013325	Meriones_unguiculatus
ENSCGRP00015008147	ENSCGRG00015006337	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001017324	ENSCGRG00001017396	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000011529	ENSCGRG00000008407	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000000392	ENSMAUG00000000345	Mesocricetus_auratus
ENSPEMP00000000074	ENSPEMG00000000061	Peromyscus_maniculatus_bairdii
ENSMOCP00000003975	ENSMOCG00000003180	Microtus_ochrogaster
ENSNGAP00000009015	ENSNGAG00000011833	Nannospalax_galili
ENSJJAP00000004255	ENSJJAG00000008823	Jaculus_jaculus
ENSSTOP00000015378	ENSSTOG00000007437	Ictidomys_tridecemlineatus
ENSUPAP00010008321	ENSUPAG00010006688	Urocitellus_parryii
ENSSDAP00000014548	ENSSDAG00000013120	Spermophilus_dauricus
ENSMMMP00000005472	ENSMMMG00000004931	Marmota_marmota_marmota
ENSCLAP00000019307	ENSCLAG00000013230	Chinchilla_lanigera
ENSODEP00000006950	ENSODEG00000005182	Octodon_degus
ENSCPOP00000012942	ENSCPOG00000014369	Cavia_porcellus
ENSHGLP00000000842	ENSHGLG00000000698	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100020678	ENSHGLG00100015239	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000014026	ENSFDAG00000001031	Fukomys_damarensis
ENSOCUP00000043148	ENSOCUG00000006445	Oryctolagus_cuniculus
ENSOPRP00000012699	ENSOPRG00000013932	Ochotona_princeps
ENSPPAP00000034065	ENSPPAG00000039896	Pan_paniscus
ENSPTRP00000007133	ENSPTRG00000004148	Pan_troglodytes
ENSP00000434034	ENSG00000174804	Homo_sapiens
ENSGGOP00000031205	ENSGGOG00000037053	Gorilla_gorilla
ENSPPYP00000004289	ENSPPYG00000003750	Pongo_abelii
ENSNLEP00000035699	ENSNLEG00000034493	Nomascus_leucogenys
ENSCANP00000009127	ENSCANG00000027976	Colobus_angolensis_palliatus
