maylandia_zebra ENSMZEG00005024685
astatotilapia_calliptera ENSACLG00000013734
haplochromis_burtoni ENSHBUG00000002397
pundamilia_nyererei ENSPNYG00000007520
neolamprologus_brichardi ENSNBRG00000006202
amphilophus_citrinellus ENSACIG00000009006
amphiprion_percula ENSAPEG00000022171
amphiprion_ocellaris ENSAOCG00000024149
stegastes_partitus ENSSPAG00000013533
acanthochromis_polyacanthus ENSAPOG00000004980
seriola_lalandi_dorsalis ENSSLDG00000018024
seriola_dumerili ENSSDUG00000004445
labrus_bergylta ENSLBEG00000005791
labrus_bergylta ENSLBEG00000027226
gasterosteus_aculeatus ENSGACG00000013401
monopterus_albus ENSMALG00000021129
mastacembelus_armatus ENSMAMG00000020135
takifugu_rubripes ENSTRUG00000003169
tetraodon_nigroviridis ENSTNIG00000003191
mola_mola ENSMMOG00000009833
cynoglossus_semilaevis ENSCSEG00000014416
fundulus_heteroclitus ENSFHEG00000022176
cyprinodon_variegatus ENSCVAG00000009222
poecilia_formosa ENSPFOG00000013810
poecilia_mexicana ENSPMEG00000022350
poecilia_latipinna ENSPLAG00000005869
poecilia_reticulata ENSPREG00000017517
xiphophorus_maculatus ENSXMAG00000004683
xiphophorus_couchianus ENSXCOG00000010695
gambusia_affinis ENSGAFG00000015702
kryptolebias_marmoratus ENSKMAG00000009856
oryzias_latipes ENSORLG00000000602
oryzias_latipes ENSORLG00020021071
oryzias_latipes_asm223469v1 ENSORLG00015010098
oryzias_melastigma ENSOMEG00000020594
oryzias_melastigma ENSOMEG00000007874
oreochromis_niloticus ENSONIG00000001258
amphiprion_ocellaris ENSAOCG00000013808
scophthalmus_maximus ENSSMAG00000004416
anabas_testudineus ENSATEG00000003430
gadus_morhua ENSGMOG00000004979
scleropages_formosus ENSSFOG00015005464
paramormyrops_kingsleyae ENSPKIG00000006004
pygocentrus_nattereri ENSPNAG00000029574
astyanax_mexicanus ENSAMXG00000039486
danio_rerio ENSDARG00000033056
esox_lucius ENSELUG00000011680
lepisosteus_oculatus ENSLOCG00000014692
