	ENSUPAT00010028200	ENSMSIT00000010783	ENSMSIT00000010799
ENSUPAT00010028200	1.0	0.5538461538461539	0.5538461538461539
ENSMSIT00000010783	0.5538461538461539	1.0	1.0
ENSMSIT00000010799	0.5538461538461539	1.0	1.0
