mastacembelus_armatus ENSMAMG00000007574
monopterus_albus ENSMALG00000013501
anabas_testudineus ENSATEG00000008427
scophthalmus_maximus ENSSMAG00000005738
cynoglossus_semilaevis ENSCSEG00000006778
seriola_dumerili ENSSDUG00000015075
seriola_lalandi_dorsalis ENSSLDG00000025022
fundulus_heteroclitus ENSFHEG00000020361
cyprinodon_variegatus ENSCVAG00000011202
oryzias_latipes_asm223469v1 ENSORLG00015018741
astatotilapia_calliptera ENSACLG00000015406
haplochromis_burtoni ENSHBUG00000015460
maylandia_zebra ENSMZEG00005010558
pundamilia_nyererei ENSPNYG00000023915
neolamprologus_brichardi ENSNBRG00000003143
amphilophus_citrinellus ENSACIG00000010496
amphiprion_percula ENSAPEG00000012644
acanthochromis_polyacanthus ENSAPOG00000010458
stegastes_partitus ENSSPAG00000003557
mola_mola ENSMMOG00000002780
takifugu_rubripes ENSTRUG00000025669
hippocampus_comes ENSHCOG00000006654
periophthalmus_magnuspinnatus ENSPMGG00000018118
esox_lucius ENSELUG00000007896
pygocentrus_nattereri ENSPNAG00000025776
astyanax_mexicanus ENSAMXG00000029382
scleropages_formosus ENSSFOG00015011915
paramormyrops_kingsleyae ENSPKIG00000008496
