pan_troglodytes ENSPTRG00000043854
pan_paniscus ENSPPAG00000037259
homo_sapiens ENSG00000157637
gorilla_gorilla ENSGGOG00000008525
pongo_abelii ENSPPYG00000008731
nomascus_leucogenys ENSNLEG00000013374
piliocolobus_tephrosceles ENSPTEG00000031964
colobus_angolensis_palliatus ENSCANG00000040557
rhinopithecus_roxellana ENSRROG00000042478
rhinopithecus_bieti ENSRBIG00000039161
cercocebus_atys ENSCATG00000040753
mandrillus_leucophaeus ENSMLEG00000012627
papio_anubis ENSPANG00000019487
theropithecus_gelada ENSTGEG00000009607
macaca_fascicularis ENSMFAG00000040675
macaca_nemestrina ENSMNEG00000031117
macaca_mulatta ENSMMUG00000003292
chlorocebus_sabaeus ENSCSAG00000002283
callithrix_jacchus ENSCJAG00000000042
saimiri_boliviensis_boliviensis ENSSBOG00000024816
cebus_capucinus ENSCCAG00000015754
aotus_nancymaae ENSANAG00000032488
carlito_syrichta ENSTSYG00000001207
propithecus_coquereli ENSPCOG00000020266
prolemur_simus ENSPSMG00000004181
microcebus_murinus ENSMICG00000010970
otolemur_garnettii ENSOGAG00000013779
mus_spicilegus ENSMSIG00000014731
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018353
mus_musculus ENSMUSG00000061306
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017509
mus_pahari MGP_PahariEiJ_G0018635
rattus_norvegicus ENSRNOG00000004604
meriones_unguiculatus ENSMUGG00000001945
peromyscus_maniculatus_bairdii ENSPEMG00000008379
microtus_ochrogaster ENSMOCG00000022252
cricetulus_griseus_chok1gshd ENSCGRG00001010022
cricetulus_griseus_crigri ENSCGRG00000015910
cricetulus_griseus_crigri-picr ENSCGRG00015000741
mesocricetus_auratus ENSMAUG00000018952
nannospalax_galili ENSNGAG00000011784
castor_canadensis ENSCCNG00000000840
cavia_aperea ENSCAPG00000007468
cavia_porcellus ENSCPOG00000009528
chinchilla_lanigera ENSCLAG00000006098
octodon_degus ENSODEG00000009081
heterocephalus_glaber_female ENSHGLG00000004919
heterocephalus_glaber_male ENSHGLG00100005744
fukomys_damarensis ENSFDAG00000004938
urocitellus_parryii ENSUPAG00010019340
spermophilus_dauricus ENSSDAG00000015010
marmota_marmota_marmota ENSMMMG00000006531
dipodomys_ordii ENSDORG00000007301
jaculus_jaculus ENSJJAG00000015310
ictidomys_tridecemlineatus ENSSTOG00000001364
ochotona_princeps ENSOPRG00000006960
ovis_aries ENSOARG00000018707
capra_hircus ENSCHIG00000014662
bos_taurus ENSBTAG00000018271
bos_mutus ENSBMUG00000026434
bison_bison_bison ENSBBBG00000004104
tursiops_truncatus ENSTTRG00000017282
sus_scrofa ENSSSCG00000022317
equus_asinus_asinus ENSEASG00005005687
equus_caballus ENSECAG00000013118
ursus_americanus ENSUAMG00000016029
ursus_maritimus ENSUMAG00000015428
ailuropoda_melanoleuca ENSAMEG00000015434
neovison_vison ENSNVIG00000015824
mustela_putorius_furo ENSMPUG00000011685
canis_lupus_familiaris ENSCAFG00000005725
canis_lupus_dingo ENSCAFG00020008919
vulpes_vulpes ENSVVUG00000018930
panthera_pardus ENSPPRG00000013156
panthera_tigris_altaica ENSPTIG00000011271
felis_catus ENSFCAG00000007576
pteropus_vampyrus ENSPVAG00000010349
myotis_lucifugus ENSMLUG00000009685
loxodonta_africana ENSLAFG00000021889
procavia_capensis ENSPCAG00000000803
echinops_telfairi ENSETEG00000014140
phascolarctos_cinereus ENSPCIG00000029633
notamacropus_eugenii ENSMEUG00000011974
sarcophilus_harrisii ENSSHAG00000015864
monodelphis_domestica ENSMODG00000002629
ornithorhynchus_anatinus ENSOANG00000005997
dasypus_novemcinctus ENSDNOG00000019912
pogona_vitticeps ENSPVIG00000008246
anolis_carolinensis ENSACAG00000015300
notechis_scutatus ENSNSUG00000009606
salvator_merianae ENSSMRG00000004545
sphenodon_punctatus ENSSPUG00000014138
crocodylus_porosus ENSCPRG00005018357
gopherus_agassizii ENSGAGG00000001158
chelonoidis_abingdonii ENSCABG00000013002
chrysemys_picta_bellii ENSCPBG00000010435
pelodiscus_sinensis ENSPSIG00000016533
apteryx_haastii ENSAHAG00000009245
apteryx_owenii ENSAOWG00000014190
apteryx_rowi ENSARWG00000012983
dromaius_novaehollandiae ENSDNVG00000001756
nothoprocta_perdicaria ENSNPEG00000010424
coturnix_japonica ENSCJPG00005021240
gallus_gallus ENSGALG00000006880
meleagris_gallopavo ENSMGAG00000009583
numida_meleagris ENSNMEG00000003198
anser_brachyrhynchus ENSABRG00000003985
anas_platyrhynchos_platyrhynchos ENSAPLG00000005199
lepidothrix_coronata ENSLCOG00000010865
manacus_vitellinus ENSMVIG00005012825
lonchura_striata_domestica ENSLSDG00000003715
serinus_canaria ENSSCAG00000012932
parus_major ENSPMJG00000017034
ficedula_albicollis ENSFALG00000012607
junco_hyemalis ENSJHYG00000002277
taeniopygia_guttata ENSTGUG00000002960
zonotrichia_albicollis ENSZALG00000008785
cyanistes_caeruleus ENSCCEG00000017830
melopsittacus_undulatus ENSMUNG00000003409
calidris_pygmaea ENSCPGG00000019564
calidris_pugnax ENSCPUG00000010637
xenopus_tropicalis ENSXETG00000015401
latimeria_chalumnae ENSLACG00000011693
hippocampus_comes ENSHCOG00000013825
periophthalmus_magnuspinnatus ENSPMGG00000004148
cynoglossus_semilaevis ENSCSEG00000000412
amphiprion_ocellaris ENSAOCG00000004547
amphiprion_percula ENSAPEG00000000964
acanthochromis_polyacanthus ENSAPOG00000003075
stegastes_partitus ENSSPAG00000018440
xiphophorus_couchianus ENSXCOG00000000223
haplochromis_burtoni ENSHBUG00000022007
