,ENSEBUT00000002785_ENSEBUG00000001841,ENSEBUT00000018082_ENSEBUG00000010941,ENSEBUT00000018101_ENSEBUG00000010941,ENSNBRT00000007111_ENSNBRG00000005410
ENSEBUT00000002785_ENSEBUG00000001841,1.0,0.57,0.33,0.56
ENSEBUT00000018082_ENSEBUG00000010941,0.57,1.0,0.67,0.55
ENSEBUT00000018101_ENSEBUG00000010941,0.33,0.67,1.0,0.31
ENSNBRT00000007111_ENSNBRG00000005410,0.56,0.55,0.31,1.0
