chelonoidis_abingdonii ENSCABG00000004420
gopherus_agassizii ENSGAGG00000006350
chrysemys_picta ENSCPBG00000018439
pelodiscus_sinensis ENSPSIG00000007327
parus_major ENSPMJG00000013589
cyanistes_caeruleus ENSCCEG00000015096
zonotrichia_albicollis ENSZALG00000016120
junco_hyemalis ENSJHYG00000016267
ficedula_albicollis ENSFALG00000011539
lonchura_striata ENSLSDG00000015917
taeniopygia_guttata ENSTGUG00000011741
serinus_canaria ENSSCAG00000014040
lepidothrix_coronata ENSLCOG00000000249
manacus_vitellinus ENSMVIG00005017784
melopsittacus_undulatus ENSMUNG00000000246
calidris_pygmaea ENSCPGG00000002114
calidris_pugnax ENSCPUG00000002760
anas_platyrhynchos ENSAPLG00000013242
anser_brachyrhynchus ENSABRG00000008351
meleagris_gallopavo ENSMGAG00000013222
coturnix_japonica ENSCJPG00005009112
gallus_gallus ENSGALG00000019958
numida_meleagris ENSNMEG00000022080
dromaius_novaehollandiae ENSDNVG00000009723
apteryx_owenii ENSAOWG00000015320
nothoprocta_perdicaria ENSNPEG00000009796
anolis_carolinensis ENSACAG00000028316
pogona_vitticeps ENSPVIG00000013671
salvator_merianae ENSSMRG00000006362
latimeria_chalumnae ENSLACG00000007604
clupea_harengus ENSCHAG00000016109
denticeps_clupeoides ENSDCDG00000021239
hucho_hucho ENSHHUG00000004834
esox_lucius ENSELUG00000019604
astyanax_mexicanus ENSAMXG00000009147
astyanax_mexicanus ENSAMXG00005023324
pygocentrus_nattereri ENSPNAG00000022962
electrophorus_electricus ENSEEEG00000018411
monopterus_albus ENSMALG00000022097
mastacembelus_armatus ENSMAMG00000003386
anabas_testudineus ENSATEG00000018438
lates_calcarifer ENSLCAG00010013408
scophthalmus_maximus ENSSMAG00000001256
seriola_dumerili ENSSDUG00000004708
seriola_lalandi ENSSLDG00000023689
gasterosteus_aculeatus ENSGACG00000008061
cottoperca_gobio ENSCGOG00000014254
labrus_bergylta ENSLBEG00000012686
mola_mola ENSMMOG00000015695
tetraodon_nigroviridis ENSTNIG00000010746
larimichthys_crocea ENSLCRG00005017483
amphiprion_percula ENSAPEG00000008328
amphiprion_ocellaris ENSAOCG00000001999
acanthochromis_polyacanthus ENSAPOG00000009745
stegastes_partitus ENSSPAG00000014060
parambassis_ranga ENSPRNG00000021019
gouania_willdenowi ENSGWIG00000025352
fundulus_heteroclitus ENSFHEG00000020460
cyprinodon_variegatus ENSCVAG00000002688
xiphophorus_couchianus ENSXCOG00000001670
xiphophorus_maculatus ENSXMAG00000007963
gambusia_affinis ENSGAFG00000002420
poecilia_mexicana ENSPMEG00000011530
poecilia_latipinna ENSPLAG00000019853
poecilia_formosa ENSPFOG00000018241
poecilia_reticulata ENSPREG00000009924
kryptolebias_marmoratus ENSKMAG00000020092
oryzias_latipes ENSORLG00000029521
oryzias_latipes ENSORLG00020017875
oryzias_latipes ENSORLG00015013231
oryzias_melastigma ENSOMEG00000022348
astatotilapia_calliptera ENSACLG00000025971
maylandia_zebra ENSMZEG00005002568
haplochromis_burtoni ENSHBUG00000002637
pundamilia_nyererei ENSPNYG00000023461
neolamprologus_brichardi ENSNBRG00000000328
oreochromis_niloticus ENSONIG00000005819
amphilophus_citrinellus ENSACIG00000010007
cynoglossus_semilaevis ENSCSEG00000003878
betta_splendens ENSBSLG00000010632
periophthalmus_magnuspinnatus ENSPMGG00000016230
gadus_morhua ENSGMOG00000009540
scleropages_formosus ENSSFOG00015018157
paramormyrops_kingsleyae ENSPKIG00000012004
lepisosteus_oculatus ENSLOCG00000017282
erpetoichthys_calabaricus ENSECRG00000002427
callorhinchus_milii ENSCMIG00000011429
