	ENSPPAT00000038711	ENSRBIT00000063769	ENSGGOT00000013503	ENSSBOT00000033428	ENSDORT00000028519	ENSMNET00000010460	ENSCCAT00000041841	ENSPPYT00000002339	ENSPCIT00000005416	ENSCJAT00000062873	ENSDORT00000031658	ENSMODT00000008204	ENSPTRT00000042678	ENSTGET00000021557	ENST00000361605	ENSCSAT00000017806	ENSMICT00000050700	ENSPCOT00000010821	ENSPANT00000044746	ENSMLET00000044389	ENSRROT00000050568	ENSPSMT00000037392	ENSMMUT00000021283	ENSANAT00000028563	ENSPTET00000029948	ENSCANT00000016342	ENSPTET00000029945	ENSMFAT00000031516	ENSCATT00000041763
ENSPPAT00000038711	1.0	0.949388805490028	0.9815569375938236	0.8999785821375027	0.8246217331499313	0.9386660947887626	0.9054256916148402	0.9613982414754448	0.5710816777041943	0.8989920651940809	0.8181818181818182	0.5195876288659794	0.9969989281886388	0.9397383658588891	0.9826292086639502	0.9345430978613092	0.720925205361003	0.7719709897610921	0.9341625562942312	0.9435985417113446	0.9500321681321038	0.8534946236559141	0.9393094574308384	0.9092772936955408	0.950889984988205	0.9450997212095218	0.950889984988205	0.9440274501393952	0.9412395453570662
ENSRBIT00000063769	0.949388805490028	1.0	0.9505801461108724	0.8821428571428571	0.8074534161490683	0.9713382507903056	0.8983669961323593	0.952581664910432	0.5729753139887397	0.8939936775553214	0.8102941176470588	0.5091377091377092	0.9491961414790996	0.9677696605070908	0.9503972514494309	0.9576271186440678	0.7328810684757261	0.7710818162795564	0.9621830683283196	0.9712199312714777	0.99527288354104	0.8572390572390572	0.9705882352941176	0.9035660472124558	0.981736140954018	0.9742599742599742	0.981736140954018	0.96986301369863	0.9733562526858616
ENSGGOT00000013503	0.9815569375938236	0.9505801461108724	1.0	0.8948382951381452	0.8343685300207039	0.9402407566638004	0.9112018920662224	0.959148570199957	0.5768635257686353	0.9047516663083208	0.8309037900874635	0.5220645161290323	0.9813504823151126	0.9415179531283596	0.9832510199699376	0.9325988334413481	0.7202766969303934	0.773037542662116	0.9359277574715116	0.9443728522336771	0.9512247529007306	0.8619528619528619	0.9396736796908544	0.909277820611668	0.9486132014620512	0.9405834405834406	0.9486132014620512	0.9458181036336272	0.9426176660219212
ENSSBOT00000033428	0.8999785821375027	0.8821428571428571	0.8948382951381452	1.0	0.8173734610123119	0.8817226890756302	0.948382951381452	0.8978991596638656	0.5825221717499459	0.9449579831932772	0.7707736389684814	0.5350877192982456	0.9001927607624759	0.8832726493895909	0.8911972585136003	0.8835485919966123	0.7010811956752173	0.7551789077212806	0.877704005140287	0.8843435425144569	0.8804883272649391	0.8488681757656458	0.8800599700149925	0.9461961961961962	0.8800599700149925	0.8742771471407154	0.8800599700149925	0.8842436974789916	0.8819875776397516
ENSDORT00000028519	0.8246217331499313	0.8074534161490683	0.8343685300207039	0.8173734610123119	1.0	0.8081435472739821	0.8378191856452726	0.8233264320220842	0.6906927921623512	0.8378191856452726	1.0	0.5578673602080624	0.8288659793814434	0.8095238095238095	0.8253968253968254	0.8132404181184669	0.7844067796610169	0.7984869325997249	0.800552104899931	0.8081435472739821	0.8095238095238095	0.8139214334941419	0.8081435472739821	0.8345534407027818	0.8046928916494134	0.799036476256022	0.8046928916494134	0.8081435472739821	0.8081435472739821
ENSMNET00000010460	0.9386660947887626	0.9713382507903056	0.9402407566638004	0.8817226890756302	0.8081435472739821	1.0	0.9036973344797936	0.9464473961627662	0.5697573656845754	0.8992199030149695	0.8117647058823529	0.508500772797527	0.9384780278670954	0.984737747205503	0.9396607257891346	0.9671610169491526	0.7320330718677125	0.7752667922159447	0.9791487532244196	0.9877577319587628	0.9686291362269016	0.8619528619528619	0.995276942893946	0.8997990959316926	0.9677558039552879	0.95988845988846	0.9677558039552879	0.994518237402488	0.9860305179454116
ENSCCAT00000041841	0.9054256916148402	0.8983669961323593	0.9112018920662224	0.948382951381452	0.8378191856452726	0.9036973344797936	1.0	0.9117647058823528	0.5845335696875692	0.9644158628081456	0.8149779735682819	0.5399121673986049	0.905251875669882	0.9042211270623528	0.906377496242216	0.8973860445020523	0.7150886294855167	0.7640784982935154	0.8986660929432013	0.9027718550106608	0.8962183068328321	0.8801346801346801	0.903529411764706	0.9562771669649706	0.9013933547695604	0.8916098807495741	0.9013933547695604	0.9068123393316196	0.9019987105093488
ENSPPYT00000002339	0.9613982414754448	0.952581664910432	0.959148570199957	0.8978991596638656	0.8233264320220842	0.9464473961627662	0.9117647058823528	1.0	0.5782844733984799	0.9068544995794784	0.8167155425219942	0.5168132436627004	0.9612004287245444	0.947075208913649	0.9583422804380504	0.9322033898305084	0.7161331354674582	0.7679430843272651	0.9416953528399312	0.94971110635566	0.9495058014611087	0.8572390572390572	0.9450267379679144	0.9170414792603698	0.947695605573419	0.939089549048942	0.947695605573419	0.9493591090565244	0.9477756286266924
ENSPCIT00000005416	0.5710816777041943	0.5729753139887397	0.5768635257686353	0.5825221717499459	0.6906927921623512	0.5697573656845754	0.5845335696875692	0.5782844733984799	1.0	0.587584111135229	0.7927927927927928	0.8286811779769526	0.5686231244483672	0.5615741764315719	0.569030262867241	0.5749348392701998	0.5243823845327604	0.548407917383821	0.5580623755806238	0.5586222124089203	0.5621824607908107	0.7182705718270572	0.5585963363495917	0.5884495317377731	0.5666887856668879	0.5608734009704455	0.5666887856668879	0.5687973997833152	0.5607600530269554
ENSCJAT00000062873	0.8989920651940809	0.8939936775553214	0.9047516663083208	0.9449579831932772	0.8378191856452726	0.8992199030149695	0.9644158628081456	0.9068544995794784	0.587584111135229	1.0	0.8149779735682819	0.5308705760785327	0.8988210075026796	0.9042211270623528	0.8999355808460382	0.8891949152542373	0.7184651261394954	0.7570621468926554	0.9003872633390706	0.9000641985876311	0.8897722389342501	0.8794612794612795	0.8954010695187166	0.95752123938031	0.8932475884244373	0.884804445394315	0.8932475884244373	0.9006093717167473	0.8996346443154953
ENSDORT00000031658	0.8181818181818182	0.8102941176470588	0.8309037900874635	0.7707736389684814	1.0	0.8117647058823529	0.8149779735682819	0.8167155425219942	0.7927927927927928	0.8149779735682819	1.0	0.0	0.8181818181818182	0.8117647058823529	0.8243831640058055	0.8161434977578476	0.7653061224489796	0.7720588235294118	0.7955882352941176	0.8117647058823529	0.8284457478005866	0.7779411764705882	0.8117647058823529	0.8345534407027818	0.8052708638360175	0.8052708638360175	0.8052708638360175	0.8117647058823529	0.8117647058823529
ENSMODT00000008204	0.5195876288659794	0.5091377091377092	0.5220645161290323	0.5350877192982456	0.5578673602080624	0.508500772797527	0.5399121673986049	0.5168132436627004	0.8286811779769526	0.5308705760785327	0.0	1.0	0.5167439464193715	0.509020618556701	0.5175348117586385	0.5096475430923592	0.4476923076923076	0.4881133029843197	0.5065704715279568	0.5	0.5066975785677486	0.5408560311284046	0.5056584362139918	0.5308483290488432	0.5141898864809081	0.5091283106196965	0.5141898864809081	0.5068281370780726	0.5024465619366469
ENSPTRT00000042678	0.9969989281886388	0.9491961414790996	0.9813504823151126	0.9001927607624759	0.8288659793814434	0.9384780278670954	0.905251875669882	0.9612004287245444	0.5686231244483672	0.8988210075026796	0.8181818181818182	0.5167439464193715	1.0	0.9395498392282958	0.9824222936763131	0.9371625998704384	0.7239515780371811	0.7749573378839592	0.9339764201500536	0.9434083601286174	0.94983922829582	0.857622565480188	0.9391211146838156	0.9075070458621574	0.9506966773847804	0.944908896034298	0.9506966773847804	0.9438370846730976	0.9410503751339764
