dromaius_novaehollandiae ENSDNVG00000000815
apteryx_haastii ENSAHAG00000005911
pogona_vitticeps ENSPVIG00000023209
loxodonta_africana ENSLAFG00000020529
procavia_capensis ENSPCAG00000006193
choloepus_hoffmanni ENSCHOG00000006222
canis_lupus_familiaris ENSCAFG00000004063
canis_lupus_dingo ENSCAFG00020026526
vulpes_vulpes ENSVVUG00000023344
ursus_maritimus ENSUMAG00000023839
ursus_americanus ENSUAMG00000005390
ailuropoda_melanoleuca ENSAMEG00000015183
neovison_vison ENSNVIG00000011237
panthera_pardus ENSPPRG00000010439
panthera_tigris_altaica ENSPTIG00000021843
felis_catus ENSFCAG00000010612
ovis_aries ENSOARG00000011522
capra_hircus ENSCHIG00000022423
bos_mutus ENSBMUG00000017115
vicugna_pacos ENSVPAG00000008723
sus_scrofa ENSSSCG00000003123
myotis_lucifugus ENSMLUG00000029403
myotis_lucifugus ENSMLUG00000028088
equus_asinus_asinus ENSEASG00005004403
equus_caballus ENSECAG00000011298
pan_troglodytes ENSPTRG00000011220
pan_troglodytes ENSPTRG00000049111
pan_paniscus ENSPPAG00000043793
homo_sapiens ENSG00000188334
gorilla_gorilla ENSGGOG00000000055
nomascus_leucogenys ENSNLEG00000001326
macaca_fascicularis ENSMFAG00000001647
macaca_mulatta ENSMMUG00000017948
macaca_nemestrina ENSMNEG00000029609
papio_anubis ENSPANG00000034085
chlorocebus_sabaeus ENSCSAG00000002916
rhinopithecus_roxellana ENSRROG00000045761
rhinopithecus_bieti ENSRBIG00000043547
colobus_angolensis_palliatus ENSCANG00000030161
theropithecus_gelada ENSTGEG00000024200
cercocebus_atys ENSCATG00000035095
piliocolobus_tephrosceles ENSPTEG00000039125
prolemur_simus ENSPSMG00000023887
mus_spicilegus ENSMSIG00000012761
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030286
mus_musculus ENSMUSG00000074378
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029208
mus_pahari MGP_PahariEiJ_G0021070
rattus_norvegicus ENSRNOG00000052287
meriones_unguiculatus ENSMUGG00000026222
microtus_ochrogaster ENSMOCG00000018647
peromyscus_maniculatus_bairdii ENSPEMG00000004881
cricetulus_griseus_crigri ENSCGRG00000017823
cricetulus_griseus_crigri-picr ENSCGRG00015017116
cricetulus_griseus_chok1gshd ENSCGRG00001011408
mesocricetus_auratus ENSMAUG00000000945
nannospalax_galili ENSNGAG00000024164
jaculus_jaculus ENSJJAG00000015234
castor_canadensis ENSCCNG00000019983
dipodomys_ordii ENSDORG00000000504
ictidomys_tridecemlineatus ENSSTOG00000034649
spermophilus_dauricus ENSSDAG00000014874
marmota_marmota_marmota ENSMMMG00000012744
ochotona_princeps ENSOPRG00000005859
ochotona_princeps ENSOPRG00000013952
oryctolagus_cuniculus ENSOCUG00000028145
tupaia_belangeri ENSTBEG00000007842
pteropus_vampyrus ENSPVAG00000001972
sus_scrofa ENSSSCG00000038052
