seriola_dumerili ENSSDUG00000000441
seriola_lalandi_dorsalis ENSSLDG00000000720
scophthalmus_maximus ENSSMAG00000015039
monopterus_albus ENSMALG00000011800
mastacembelus_armatus ENSMAMG00000022227
anabas_testudineus ENSATEG00000010697
labrus_bergylta ENSLBEG00000024035
gasterosteus_aculeatus ENSGACG00000010314
takifugu_rubripes ENSTRUG00000000661
tetraodon_nigroviridis ENSTNIG00000004622
mola_mola ENSMMOG00000017614
amphiprion_ocellaris ENSAOCG00000000833
amphiprion_ocellaris ENSAOCG00000004353
amphiprion_percula ENSAPEG00000018636
acanthochromis_polyacanthus ENSAPOG00000018898
stegastes_partitus ENSSPAG00000006041
maylandia_zebra ENSMZEG00005012089
pundamilia_nyererei ENSPNYG00000010730
astatotilapia_calliptera ENSACLG00000006616
haplochromis_burtoni ENSHBUG00000013369
neolamprologus_brichardi ENSNBRG00000021168
oreochromis_niloticus ENSONIG00000007541
amphilophus_citrinellus ENSACIG00000007160
fundulus_heteroclitus ENSFHEG00000017019
cyprinodon_variegatus ENSCVAG00000023315
poecilia_formosa ENSPFOG00000009090
poecilia_latipinna ENSPLAG00000006458
poecilia_mexicana ENSPMEG00000015269
poecilia_reticulata ENSPREG00000015675
xiphophorus_maculatus ENSXMAG00000017501
xiphophorus_couchianus ENSXCOG00000019409
gambusia_affinis ENSGAFG00000012842
kryptolebias_marmoratus ENSKMAG00000001495
oryzias_latipes_asm223469v1 ENSORLG00015017783
oryzias_latipes_asm223471v1 ENSORLG00020010535
oryzias_latipes_asm223467v1 ENSORLG00000001548
oryzias_melastigma ENSOMEG00000009654
cynoglossus_semilaevis ENSCSEG00000018270
hippocampus_comes ENSHCOG00000018676
periophthalmus_magnuspinnatus ENSPMGG00000008041
gadus_morhua ENSGMOG00000004407
esox_lucius ENSELUG00000016470
pygocentrus_nattereri ENSPNAG00000004229
astyanax_mexicanus ENSAMXG00000011486
ictalurus_punctatus ENSIPUG00000016619
danio_rerio ENSDARG00000033599
paramormyrops_kingsleyae ENSPKIG00000012877
