poecilia_latipinna ENSPLAG00000008761
poecilia_mexicana ENSPMEG00000010338
poecilia_reticulata ENSPREG00000020720
gambusia_affinis ENSGAFG00000018549
xiphophorus_maculatus ENSXMAG00000021770
xiphophorus_couchianus ENSXCOG00000019979
fundulus_heteroclitus ENSFHEG00000012045
cyprinodon_variegatus ENSCVAG00000010556
kryptolebias_marmoratus ENSKMAG00000001048
oryzias_latipes_asm223469v1 ENSORLG00015019374
oryzias_latipes_asm223471v1 ENSORLG00020020163
oryzias_latipes_asm223467v1 ENSORLG00000029883
oryzias_melastigma ENSOMEG00000020302
maylandia_zebra ENSMZEG00005000195
astatotilapia_calliptera ENSACLG00000024023
pundamilia_nyererei ENSPNYG00000016138
haplochromis_burtoni ENSHBUG00000011540
oreochromis_niloticus ENSONIG00000021043
amphilophus_citrinellus ENSACIG00000010823
periophthalmus_magnuspinnatus ENSPMGG00000014330
anabas_testudineus ENSATEG00000014378
takifugu_rubripes ENSTRUG00000001714
amphiprion_percula ENSAPEG00000003566
amphiprion_ocellaris ENSAOCG00000012521
acanthochromis_polyacanthus ENSAPOG00000022060
stegastes_partitus ENSSPAG00000011414
labrus_bergylta ENSLBEG00000020049
mastacembelus_armatus ENSMAMG00000015773
esox_lucius ENSELUG00000017962
