pygocentrus_nattereri ENSPNAG00000021652
astyanax_mexicanus ENSAMXG00000000993
ictalurus_punctatus ENSIPUG00000006104
danio_rerio ENSDARG00000030251
esox_lucius ENSELUG00000013177
paramormyrops_kingsleyae ENSPKIG00000004368
scleropages_formosus ENSSFOG00015023227
pogona_vitticeps ENSPVIG00000018830
notechis_scutatus ENSNSUG00000019019
salvator_merianae ENSSMRG00000006517
sphenodon_punctatus ENSSPUG00000008001
meleagris_gallopavo ENSMGAG00000007117
gallus_gallus ENSGALG00000005651
coturnix_japonica ENSCJPG00005014726
numida_meleagris ENSNMEG00000018786
anser_brachyrhynchus ENSABRG00000013928
anas_platyrhynchos_platyrhynchos ENSAPLG00000012341
calidris_pygmaea ENSCPGG00000018146
calidris_pugnax ENSCPUG00000009562
parus_major ENSPMJG00000013947
cyanistes_caeruleus ENSCCEG00000007452
taeniopygia_guttata ENSTGUG00000004250
lonchura_striata_domestica ENSLSDG00000016067
serinus_canaria ENSSCAG00000006714
zonotrichia_albicollis ENSZALG00000013873
junco_hyemalis ENSJHYG00000004349
ficedula_albicollis ENSFALG00000006693
manacus_vitellinus ENSMVIG00005012986
lepidothrix_coronata ENSLCOG00000014603
melopsittacus_undulatus ENSMUNG00000014684
apteryx_haastii ENSAHAG00000016958
apteryx_owenii ENSAOWG00000006234
apteryx_rowi ENSARWG00000010022
dromaius_novaehollandiae ENSDNVG00000010641
nothoprocta_perdicaria ENSNPEG00000000908
crocodylus_porosus ENSCPRG00005006359
gopherus_agassizii ENSGAGG00000014171
chelonoidis_abingdonii ENSCABG00000011870
chrysemys_picta_bellii ENSCPBG00000023624
pelodiscus_sinensis ENSPSIG00000013941
phascolarctos_cinereus ENSPCIG00000013535
notamacropus_eugenii ENSMEUG00000011300
monodelphis_domestica ENSMODG00000004755
sarcophilus_harrisii ENSSHAG00000005024
vicugna_pacos ENSVPAG00000007602
erinaceus_europaeus ENSEEUG00000010625
loxodonta_africana ENSLAFG00000014020
procavia_capensis ENSPCAG00000013693
prolemur_simus ENSPSMG00000007630
propithecus_coquereli ENSPCOG00000018884
otolemur_garnettii ENSOGAG00000009367
pan_troglodytes ENSPTRG00000008420
pan_paniscus ENSPPAG00000035707
homo_sapiens ENSG00000135686
gorilla_gorilla ENSGGOG00000012990
pongo_abelii ENSPPYG00000007608
nomascus_leucogenys ENSNLEG00000011244
macaca_fascicularis ENSMFAG00000045556
macaca_mulatta ENSMMUG00000011243
macaca_nemestrina ENSMNEG00000029443
theropithecus_gelada ENSTGEG00000018520
papio_anubis ENSPANG00000001078
cercocebus_atys ENSCATG00000034305
mandrillus_leucophaeus ENSMLEG00000033841
chlorocebus_sabaeus ENSCSAG00000003184
rhinopithecus_bieti ENSRBIG00000038474
rhinopithecus_roxellana ENSRROG00000031015
piliocolobus_tephrosceles ENSPTEG00000009447
colobus_angolensis_palliatus ENSCANG00000041939
saimiri_boliviensis_boliviensis ENSSBOG00000033614
callithrix_jacchus ENSCJAG00000004060
cebus_capucinus_imitator ENSCCAG00000029345
aotus_nancymaae ENSANAG00000037280
castor_canadensis ENSCCNG00000009717
dipodomys_ordii ENSDORG00000010709
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032748
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000031828
mus_spicilegus ENSMSIG00000018763
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031630
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023228
rattus_norvegicus ENSRNOG00000016422
meriones_unguiculatus ENSMUGG00000008281
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012498
cricetulus_griseus_crigri_1.0 ENSCGRG00000015651
cricetulus_griseus_crigri-picr ENSCGRG00015022655
mesocricetus_auratus ENSMAUG00000009405
