poecilia_formosa ENSPFOG00000011881
poecilia_reticulata ENSPREG00000022561
oryzias_latipes_asm223467v1 ENSORLG00000010198
gasterosteus_aculeatus ENSGACG00000006039
cynoglossus_semilaevis ENSCSEG00000005110
tetraodon_nigroviridis ENSTNIG00000016579
gadus_morhua ENSGMOG00000004933
poecilia_latipinna ENSPLAG00000013158
poecilia_mexicana ENSPMEG00000023534
poecilia_reticulata ENSPREG00000013349
xiphophorus_maculatus ENSXMAG00000016267
kryptolebias_marmoratus ENSKMAG00000011590
anabas_testudineus ENSATEG00000007815
scophthalmus_maximus ENSSMAG00000008057
coturnix_japonica ENSCJPG00005007343
anser_brachyrhynchus ENSABRG00000001175
taeniopygia_guttata ENSTGUG00000012763
latimeria_chalumnae ENSLACG00000009578
lepisosteus_oculatus ENSLOCG00000017043
ciona_savignyi ENSCSAVG00000006483
ciona_savignyi ENSCSAVG00000002874
ciona_intestinalis ENSCING00000003472
ciona_savignyi ENSCSAVG00000004061
ciona_intestinalis ENSCING00000004361
