calidris_pugnax ENSCPUG00000010039
calidris_pygmaea ENSCPGG00000012230
parus_major ENSPMJG00000003761
cyanistes_caeruleus ENSCCEG00000009718
zonotrichia_albicollis ENSZALG00000013285
junco_hyemalis ENSJHYG00000008400
ficedula_albicollis ENSFALG00000006889
lonchura_striata_domestica ENSLSDG00000011886
manacus_vitellinus ENSMVIG00005015982
lepidothrix_coronata ENSLCOG00000001955
melopsittacus_undulatus ENSMUNG00000016219
anser_brachyrhynchus ENSABRG00000002107
gallus_gallus ENSGALG00000036847
apteryx_owenii ENSAOWG00000002632
crocodylus_porosus ENSCPRG00005010048
gopherus_agassizii ENSGAGG00000021494
chelonoidis_abingdonii ENSCABG00000001398
chrysemys_picta_bellii ENSCPBG00000025588
pelodiscus_sinensis ENSPSIG00000012537
pogona_vitticeps ENSPVIG00000008277
