scophthalmus_maximus ENSSMAG00000003505
mola_mola ENSMMOG00000021417
amphiprion_ocellaris ENSAOCG00000010994
amphiprion_percula ENSAPEG00000012390
acanthochromis_polyacanthus ENSAPOG00000007531
stegastes_partitus ENSSPAG00000002072
poecilia_latipinna ENSPLAG00000006391
poecilia_reticulata ENSPREG00000000365
poecilia_mexicana ENSPMEG00000015297
amphilophus_citrinellus ENSACIG00000018753
anabas_testudineus ENSATEG00000017850
anabas_testudineus ENSATEG00000017905
seriola_lalandi_dorsalis ENSSLDG00000016748
seriola_dumerili ENSSDUG00000003270
hippocampus_comes ENSHCOG00000020653
takifugu_rubripes ENSTRUG00000025000
pygocentrus_nattereri ENSPNAG00000011745
astyanax_mexicanus ENSAMXG00000011050
ictalurus_punctatus ENSIPUG00000007499
