procavia_capensis ENSPCAG00000001324
echinops_telfairi ENSETEG00000003572
pan_troglodytes ENSPTRG00000010064
pan_paniscus ENSPPAG00000031874
gorilla_gorilla ENSGGOG00000005394
nomascus_leucogenys ENSNLEG00000031514
piliocolobus_tephrosceles ENSPTEG00000018383
colobus_angolensis_palliatus ENSCANG00000040542
rhinopithecus_roxellana ENSRROG00000007462
rhinopithecus_bieti ENSRBIG00000029578
papio_anubis ENSPANG00000006445
cercocebus_atys ENSCATG00000041633
macaca_nemestrina ENSMNEG00000031762
macaca_mulatta ENSMMUG00000047740
macaca_fascicularis ENSMFAG00000044835
mandrillus_leucophaeus ENSMLEG00000040305
theropithecus_gelada ENSTGEG00000000798
microcebus_murinus ENSMICG00000043881
tursiops_truncatus ENSTTRG00000000126
vicugna_pacos ENSVPAG00000000892
pteropus_vampyrus ENSPVAG00000015558
