pogona_vitticeps ENSPVIG00000008802
notechis_scutatus ENSNSUG00000000039
salvator_merianae ENSSMRG00000011026
sphenodon_punctatus ENSSPUG00000017036
apteryx_haastii ENSAHAG00000009033
apteryx_owenii ENSAOWG00000018571
apteryx_rowi ENSARWG00000013876
nothoprocta_perdicaria ENSNPEG00000008330
dromaius_novaehollandiae ENSDNVG00000011705
gallus_gallus ENSGALG00000011322
coturnix_japonica ENSCJPG00005012813
numida_meleagris ENSNMEG00000009916
anser_brachyrhynchus ENSABRG00000004468
anas_platyrhynchos_platyrhynchos ENSAPLG00000026328
lepidothrix_coronata ENSLCOG00000013002
melopsittacus_undulatus ENSMUNG00000000348
calidris_pugnax ENSCPUG00000010662
calidris_pygmaea ENSCPGG00000001196
crocodylus_porosus ENSCPRG00005004170
gopherus_agassizii ENSGAGG00000008088
chelonoidis_abingdonii ENSCABG00000001155
chrysemys_picta_bellii ENSCPBG00000022609
pelodiscus_sinensis ENSPSIG00000006298
notamacropus_eugenii ENSMEUG00000007979
phascolarctos_cinereus ENSPCIG00000026845
sarcophilus_harrisii ENSSHAG00000016553
sarcophilus_harrisii ENSSHAG00000016727
monodelphis_domestica ENSMODG00000014978
loxodonta_africana ENSLAFG00000007538
procavia_capensis ENSPCAG00000001435
echinops_telfairi ENSETEG00000017523
choloepus_hoffmanni ENSCHOG00000002271
dasypus_novemcinctus ENSDNOG00000031050
pteropus_vampyrus ENSPVAG00000009987
myotis_lucifugus ENSMLUG00000001441
sus_scrofa ENSSSCG00000011217
vicugna_pacos ENSVPAG00000009873
ovis_aries ENSOARG00000013919
capra_hircus ENSCHIG00000003691
bos_mutus ENSBMUG00000023404
bison_bison_bison ENSBBBG00000019654
tursiops_truncatus ENSTTRG00000010746
equus_asinus_asinus ENSEASG00005006003
equus_caballus ENSECAG00000020927
neovison_vison ENSNVIG00000011536
mustela_putorius_furo ENSMPUG00000012071
ursus_americanus ENSUAMG00000027547
ursus_maritimus ENSUMAG00000019592
canis_lupus_familiaris ENSCAFG00000005667
canis_lupus_dingo ENSCAFG00020024785
vulpes_vulpes ENSVVUG00000028110
panthera_pardus ENSPPRG00000007741
panthera_tigris_altaica ENSPTIG00000014024
felis_catus ENSFCAG00000003130
erinaceus_europaeus ENSEEUG00000002393
pan_troglodytes ENSPTRG00000014703
pan_paniscus ENSPPAG00000034616
homo_sapiens ENSG00000163491
gorilla_gorilla ENSGGOG00000002819
nomascus_leucogenys ENSNLEG00000003860
colobus_angolensis_palliatus ENSCANG00000037403
piliocolobus_tephrosceles ENSPTEG00000033089
rhinopithecus_roxellana ENSRROG00000017949
rhinopithecus_bieti ENSRBIG00000038842
cercocebus_atys ENSCATG00000041855
mandrillus_leucophaeus ENSMLEG00000036201
theropithecus_gelada ENSTGEG00000019517
papio_anubis ENSPANG00000009079
macaca_fascicularis ENSMFAG00000039437
macaca_nemestrina ENSMNEG00000009822
macaca_mulatta ENSMMUG00000019324
cebus_capucinus ENSCCAG00000036698
saimiri_boliviensis_boliviensis ENSSBOG00000030568
callithrix_jacchus ENSCJAG00000004112
aotus_nancymaae ENSANAG00000020680
carlito_syrichta ENSTSYG00000008515
propithecus_coquereli ENSPCOG00000016215
prolemur_simus ENSPSMG00000012674
microcebus_murinus ENSMICG00000048883
otolemur_garnettii ENSOGAG00000014838
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019841
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018965
mus_spicilegus ENSMSIG00000014628
mus_musculus ENSMUSG00000042567
mus_pahari MGP_PahariEiJ_G0029979
rattus_norvegicus ENSRNOG00000005883
meriones_unguiculatus ENSMUGG00000011908
cricetulus_griseus_chok1gshd ENSCGRG00001023436
cricetulus_griseus_crigri ENSCGRG00000013312
cricetulus_griseus_crigri-picr ENSCGRG00015016167
peromyscus_maniculatus_bairdii ENSPEMG00000002287
microtus_ochrogaster ENSMOCG00000020582
