,ENSPCIT00000000489_ENSPCIG00000000317,ENSVURT00010020032_ENSVURG00010013472,ENSMEUT00000012865_ENSMEUG00000012838,ENSSHAT00000015425_ENSSHAG00000013043,ENSMODT00000052542_ENSMODG00000040530,ENSPTRT00000034541_ENSPTRG00000018712,ENSPPAT00000042550_ENSPPAG00000033109,ENSGGOT00000010570_ENSGGOG00000010529,ENST00000325144_ENSG00000181472,ENSPPYT00000019909_ENSPPYG00000017107,ENSNLET00000019608_ENSNLEG00000015384,ENSRBIT00000037852_ENSRBIG00000031111,ENSRROT00000059871_ENSRROG00000041204
ENSPCIT00000000489_ENSPCIG00000000317,1.0,0.87,0.44,0.86,0.86,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
ENSVURT00010020032_ENSVURG00010013472,0.87,1.0,0.44,0.86,0.86,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
ENSMEUT00000012865_ENSMEUG00000012838,0.44,0.44,1.0,0.44,0.44,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
ENSSHAT00000015425_ENSSHAG00000013043,0.86,0.86,0.44,1.0,0.86,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
ENSMODT00000052542_ENSMODG00000040530,0.86,0.86,0.44,0.86,1.0,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
ENSPTRT00000034541_ENSPTRG00000018712,0.82,0.82,0.42,0.82,0.83,1.0,0.87,0.87,0.87,0.87,0.87,0.87,0.87
ENSPPAT00000042550_ENSPPAG00000033109,0.82,0.82,0.42,0.82,0.83,0.87,1.0,0.87,0.87,0.87,0.87,0.87,0.87
ENSGGOT00000010570_ENSGGOG00000010529,0.82,0.82,0.42,0.82,0.83,0.87,0.87,1.0,0.87,0.87,0.87,0.87,0.87
ENST00000325144_ENSG00000181472,0.82,0.82,0.42,0.82,0.83,0.87,0.87,0.87,1.0,0.87,0.87,0.87,0.87
ENSPPYT00000019909_ENSPPYG00000017107,0.82,0.82,0.42,0.82,0.83,0.87,0.87,0.87,0.87,1.0,0.87,0.87,0.87
ENSNLET00000019608_ENSNLEG00000015384,0.82,0.82,0.42,0.82,0.83,0.87,0.87,0.87,0.87,0.87,1.0,0.87,0.87
ENSRBIT00000037852_ENSRBIG00000031111,0.82,0.82,0.42,0.82,0.83,0.87,0.87,0.87,0.87,0.87,0.87,1.0,0.87
ENSRROT00000059871_ENSRROG00000041204,0.82,0.82,0.42,0.82,0.83,0.87,0.87,0.87,0.87,0.87,0.87,0.87,1.0
