sorex_araneus ENSSARG00000011787
erinaceus_europaeus ENSEEUG00000005790
ochotona_princeps ENSOPRG00000005350
oryctolagus_cuniculus ENSOCUG00000022132
bos_mutus ENSBMUG00000015565
bos_taurus ENSBTAG00000016125
bison_bison_bison ENSBBBG00000010587
capra_hircus ENSCHIG00000027112
ovis_aries ENSOARG00000012598
sus_scrofa ENSSSCG00000003159
equus_asinus_asinus ENSEASG00005004916
equus_caballus ENSECAG00000010567
ursus_maritimus ENSUMAG00000001461
ursus_americanus ENSUAMG00000010662
ailuropoda_melanoleuca ENSAMEG00000014494
mustela_putorius_furo ENSMPUG00000003267
neovison_vison ENSNVIG00000012821
canis_lupus_familiaris ENSCAFG00000003836
canis_lupus_dingo ENSCAFG00020025474
vulpes_vulpes ENSVVUG00000022983
panthera_pardus ENSPPRG00000005177
panthera_tigris_altaica ENSPTIG00000017753
felis_catus ENSFCAG00000043177
pteropus_vampyrus ENSPVAG00000009577
castor_canadensis ENSCCNG00000022149
dipodomys_ordii ENSDORG00000013271
mus_spicilegus ENSMSIG00000019503
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030813
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000038201
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029715
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0012940
rattus_norvegicus ENSRNOG00000020779
meriones_unguiculatus ENSMUGG00000021727
meriones_unguiculatus ENSMUGG00000021826
cricetulus_griseus_crigri-picr ENSCGRG00015017459
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019753
cricetulus_griseus_crigri_1.0 ENSCGRG00000018657
mesocricetus_auratus ENSMAUG00000017889
peromyscus_maniculatus_bairdii ENSPEMG00000016285
microtus_ochrogaster ENSMOCG00000011754
nannospalax_galili ENSNGAG00000021341
jaculus_jaculus ENSJJAG00000005071
urocitellus_parryii ENSUPAG00010013187
ictidomys_tridecemlineatus ENSSTOG00000014373
spermophilus_dauricus ENSSDAG00000004134
marmota_marmota_marmota ENSMMMG00000011226
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007442
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001973
fukomys_damarensis ENSFDAG00000016491
chinchilla_lanigera ENSCLAG00000008161
cavia_porcellus ENSCPOG00000038217
octodon_degus ENSODEG00000017454
piliocolobus_tephrosceles ENSPTEG00000039551
colobus_angolensis_palliatus ENSCANG00000027947
rhinopithecus_bieti ENSRBIG00000027291
rhinopithecus_roxellana ENSRROG00000045480
macaca_mulatta ENSMMUG00000040800
macaca_fascicularis ENSMFAG00000000156
macaca_nemestrina ENSMNEG00000036415
theropithecus_gelada ENSTGEG00000025714
papio_anubis ENSPANG00000010667
cercocebus_atys ENSCATG00000024223
mandrillus_leucophaeus ENSMLEG00000042236
chlorocebus_sabaeus ENSCSAG00000002762
gorilla_gorilla ENSGGOG00000013743
homo_sapiens ENSG00000104848
pan_troglodytes ENSPTRG00000047906
pongo_abelii ENSPPYG00000010233
cebus_capucinus_imitator ENSCCAG00000019873
callithrix_jacchus ENSCJAG00000000212
aotus_nancymaae ENSANAG00000034348
carlito_syrichta ENSTSYG00000030390
propithecus_coquereli ENSPCOG00000025966
microcebus_murinus ENSMICG00000034320
prolemur_simus ENSPSMG00000001138
otolemur_garnettii ENSOGAG00000001135
tupaia_belangeri ENSTBEG00000006191
loxodonta_africana ENSLAFG00000029641
dasypus_novemcinctus ENSDNOG00000044822
phascolarctos_cinereus ENSPCIG00000007299
notamacropus_eugenii ENSMEUG00000004822
monodelphis_domestica ENSMODG00000013776
sarcophilus_harrisii ENSSHAG00000002893
ornithorhynchus_anatinus ENSOANG00000005212
lepidothrix_coronata ENSLCOG00000002790
calidris_pygmaea ENSCPGG00000007506
