,ENSDCDT00000009105_ENSDCDG00000004221,ENSDCDT00000009107_ENSDCDG00000004221,ENSCHAT00000024254_ENSCHAG00000011129,ENSCHAT00000024268_ENSCHAG00000011129,ENSAMXT00000021694_ENSAMXG00000021070,ENSIPUT00000027553_ENSIPUG00000017907
ENSDCDT00000009105_ENSDCDG00000004221,1.0,0.52,0.15,0.22,0.17,0.12
ENSDCDT00000009107_ENSDCDG00000004221,0.52,1.0,0.13,0.2,0.14,0.13
ENSCHAT00000024254_ENSCHAG00000011129,0.15,0.13,1.0,0.54,0.39,0.23
ENSCHAT00000024268_ENSCHAG00000011129,0.22,0.2,0.54,1.0,0.31,0.16
ENSAMXT00000021694_ENSAMXG00000021070,0.17,0.14,0.39,0.31,1.0,0.24
ENSIPUT00000027553_ENSIPUG00000017907,0.12,0.13,0.23,0.16,0.24,1.0
