ENSPANP00000002333	ENSPANG00000004505	Papio_anubis
ENSVURP00010024706	ENSVURG00010018935	Vombatus_ursinus
ENSSHAP00000015271	ENSSHAG00000013021	Sarcophilus_harrisii
ENSECAP00000003970	ENSECAG00000005722	Equus_caballus
ENSHGLP00000020025	ENSHGLG00000014340	Heterocephalus_glaber_HetGla_female_1.0
ENSCSAP00000017409	ENSCSAG00000000597	Chlorocebus_sabaeus
ENSNVIP00000008641	ENSNVIG00000006850	Neovison_vison
ENSBMUP00000018740	ENSBMUG00000014200	Bos_mutus
ENSPTEP00000024556	ENSPTEG00000025019	Piliocolobus_tephrosceles
ENSFDAP00000013735	ENSFDAG00000000564	Fukomys_damarensis
ENSBIXP00000004381	ENSBIXG00000010740	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCGRP00015027815	ENSCGRG00015021097	Cricetulus_griseus_CriGri-PICR
ENSP00000396304	ENSG00000228607	Homo_sapiens
ENSMMMP00000026660	ENSMMMG00000023330	Marmota_marmota_marmota
ENSPPRP00000026871	ENSPPRG00000017919	Panthera_pardus
ENSUMAP00000004779	ENSUMAG00000003831	Ursus_maritimus
ENSCAFP00020005064	ENSCAFG00020004160	Canis_lupus_dingo
ENSBTAP00000050435	ENSBTAG00000039149	Bos_taurus
ENSMMUP00000077526	ENSMMUG00000053754	Macaca_mulatta
ENSPEMP00000028868	ENSPEMG00000025300	Peromyscus_maniculatus_bairdii
ENSCAFP00000032712	ENSCAFG00000024048	Canis_lupus_familiaris
ENSCGRP00001001189	ENSCGRG00001000915	Cricetulus_griseus_CHOK1GS_HDv1
ENSNLEP00000042783	ENSNLEG00000007312	Nomascus_leucogenys
ENSAMEP00000020450	ENSAMEG00000019404	Ailuropoda_melanoleuca
ENSCGRP00000026159	ENSCGRG00000019205	Cricetulus_griseus_CriGri_1.0
ENSPTIP00000003866	ENSPTIG00000006516	Panthera_tigris_altaica
ENSMUGP00000027230	ENSMUGG00000022678	Meriones_unguiculatus	ENSMUGT00000031198
ENSPPAP00000001725	ENSPPAG00000007965	Pan_paniscus
ENSSDAP00000025335	ENSSDAG00000023030	Spermophilus_dauricus
ENSMPUP00000019606	ENSMPUG00000019734	Mustela_putorius_furo
ENSBIXP00005040001	ENSBIXG00005007227	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMODP00000017730	ENSMODG00000014183	Monodelphis_domestica
ENSHGLP00100003522	ENSHGLG00100002682	Heterocephalus_glaber_HetGla_1.0
ENSPSMP00000032755	ENSPSMG00000022639	Prolemur_simus
ENSOARP00000018263	ENSOARG00000017014	Ovis_aries
ENSOGAP00000015919	ENSOGAG00000024445	Otolemur_garnettii
ENSUAMP00000023015	ENSUAMG00000018032	Ursus_americanus
ENSSTOP00000020256	ENSSTOG00000021123	Ictidomys_tridecemlineatus
ENSOCUP00000020464	ENSOCUG00000025517	Oryctolagus_cuniculus
ENSEASP00005009383	ENSEASG00005006703	Equus_asinus_asinus
ENSVVUP00000022024	ENSVVUG00000016173	Vulpes_vulpes
ENSPTRP00000061178	ENSPTRG00000041604	Pan_troglodytes
ENSDNOP00000018526	ENSDNOG00000032955	Dasypus_novemcinctus
ENSTGEP00000024925	ENSTGEG00000020127	Theropithecus_gelada
ENSUPAP00010026560	ENSUPAG00010020995	Urocitellus_parryii
ENSBBBP00000001977	ENSBBBG00000011089	Bison_bison_bison
ENSFCAP00000022620	ENSFCAG00000026496	Felis_catus
ENSSSCP00000015976	ENSSSCG00000015051	Sus_scrofa_strain_reference
ENSRNOP00000071515	ENSRNOG00000057454	Rattus_norvegicus	ENSRNOT00000077145
ENSMSIP00000015240	ENSMSIG00000013079	Mus_spicilegus	ENSMSIT00000019343
