ENSGAGP00000034596	ENSGAGG00000024592	Gopherus_agassizii
ENSCPBP00000000574	ENSCPBG00000000505	Chrysemys_picta_bellii
ENSPSIP00000014617	ENSPSIG00000013096	Pelodiscus_sinensis
ENSARWP00000017326	ENSARWG00000011921	Apteryx_rowi
ENSAHAP00000011779	ENSAHAG00000008532	Apteryx_haastii
ENSCPGP00000013642	ENSCPGG00000009662	Calidris_pygmaea
ENSCPUP00000012230	ENSCPUG00000008661	Calidris_pugnax
ENSMVIP00005021256	ENSMVIG00005014956	Manacus_vitellinus
ENSMVIP00005000939	ENSMVIG00005000763	Manacus_vitellinus
ENSLCOP00000003994	ENSLCOG00000003031	Lepidothrix_coronata
ENSSCAP00000007408	ENSSCAG00000005724	Serinus_canaria
ENSJHYP00000022672	ENSJHYG00000017101	Junco_hyemalis
ENSGALP00000049794	ENSGALG00000030457	Gallus_gallus
ENSCJPP00005001872	ENSCJPG00005001953	Coturnix_japonica
ENSNMEP00000014347	ENSNMEG00000012916	Numida_meleagris
ENSAPLP00000001587	ENSAPLG00000002165	Anas_platyrhynchos_platyrhynchos
ENSABRP00000003210	ENSABRG00000003013	Anser_brachyrhynchus
ENSCPRP00005019082	ENSCPRG00005013344	Crocodylus_porosus
ENSACAP00000004486	ENSACAG00000004621	Anolis_carolinensis
ENSPVIP00000033339	ENSPVIG00000024376	Pogona_vitticeps
ENSNSUP00000000922	ENSNSUG00000000858	Notechis_scutatus
ENSSMRP00000024046	ENSSMRG00000018658	Salvator_merianae
ENSPEMP00000008342	ENSPEMG00000010023	Peromyscus_maniculatus_bairdii
ENSMOCP00000004511	ENSMOCG00000003773	Microtus_ochrogaster
ENSCGRP00000024956	ENSCGRG00000018076	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001017939	ENSCGRG00001017842	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015018609	ENSCGRG00015014334	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000025578	ENSMAUG00000022068	Mesocricetus_auratus
MGP_SPRETEiJ_P0056640	MGP_SPRETEiJ_G0025202	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000021049	ENSMSIG00000017878	Mus_spicilegus
ENSMUSP00000044253	ENSMUSG00000037938	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0054531	MGP_CAROLIEiJ_G0024282	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000001258	ENSMSIG00000001239	Mus_spicilegus
MGP_PahariEiJ_P0065509	MGP_PahariEiJ_G0025727	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000024942	ENSRNOG00000018491	Rattus_norvegicus
ENSMUGP00000026579	ENSMUGG00000022145	Meriones_unguiculatus
ENSNGAP00000009339	ENSNGAG00000012063	Nannospalax_galili
ENSJJAP00000019700	ENSJJAG00000020591	Jaculus_jaculus
ENSCCNP00000032511	ENSCCNG00000030827	Castor_canadensis
ENSDORP00000017277	ENSDORG00000024096	Dipodomys_ordii
ENSCLAP00000007821	ENSCLAG00000005483	Chinchilla_lanigera
ENSODEP00000007603	ENSODEG00000005670	Octodon_degus
ENSCPOP00000022404	ENSCPOG00000034205	Cavia_porcellus
ENSCAPP00000018412	ENSCAPG00000017818	Cavia_aperea
ENSHGLP00100012357	ENSHGLG00100009148	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000017721	ENSHGLG00000012670	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000015824	ENSFDAG00000003958	Fukomys_damarensis
ENSSTOP00000007330	ENSSTOG00000008190	Ictidomys_tridecemlineatus
ENSMMMP00000002732	ENSMMMG00000002505	Marmota_marmota_marmota
ENSUPAP00010012010	ENSUPAG00010009752	Urocitellus_parryii
