,ENSMFAT00000046195_ENSMFAG00000012840,ENSMNET00000052287_ENSMNEG00000037392,ENSMLET00000003082_ENSMLEG00000002795,ENSPANT00000036239_ENSPANG00000034673,ENSTGET00000026463_ENSTGEG00000017924,ENSPTET00000027093_ENSPTEG00000019907,ENSPTRT00000100619_ENSPTRG00000048703,ENSPPAT00000042823_ENSPPAG00000033232,ENSGGOT00000050765_ENSGGOG00000037200,ENSNLET00000056823_ENSNLEG00000031032
ENSMFAT00000046195_ENSMFAG00000012840,1.0,1.0,0.99,1.0,0.99,0.98,0.64,0.64,0.64,0.65
ENSMNET00000052287_ENSMNEG00000037392,1.0,1.0,0.99,0.99,0.99,0.98,0.63,0.63,0.63,0.65
ENSMLET00000003082_ENSMLEG00000002795,0.99,0.99,1.0,1.0,0.99,0.98,0.64,0.64,0.64,0.65
ENSPANT00000036239_ENSPANG00000034673,1.0,0.99,1.0,1.0,1.0,0.98,0.64,0.64,0.64,0.65
ENSTGET00000026463_ENSTGEG00000017924,0.99,0.99,0.99,1.0,1.0,0.98,0.63,0.63,0.64,0.65
ENSPTET00000027093_ENSPTEG00000019907,0.98,0.98,0.98,0.98,0.98,1.0,0.63,0.63,0.63,0.65
ENSPTRT00000100619_ENSPTRG00000048703,0.64,0.63,0.64,0.64,0.63,0.63,1.0,0.99,0.99,0.92
ENSPPAT00000042823_ENSPPAG00000033232,0.64,0.63,0.64,0.64,0.63,0.63,0.99,1.0,0.99,0.92
ENSGGOT00000050765_ENSGGOG00000037200,0.64,0.63,0.64,0.64,0.64,0.63,0.99,0.99,1.0,0.92
ENSNLET00000056823_ENSNLEG00000031032,0.65,0.65,0.65,0.65,0.65,0.65,0.92,0.92,0.92,1.0
