pogona_vitticeps ENSPVIG00000023285
anolis_carolinensis ENSACAG00000017844
notechis_scutatus ENSNSUG00000013896
salvator_merianae ENSSMRG00000002433
sphenodon_punctatus ENSSPUG00000017932
apteryx_owenii ENSAOWG00000011811
apteryx_haastii ENSAHAG00000011643
apteryx_rowi ENSARWG00000010469
dromaius_novaehollandiae ENSDNVG00000007089
nothoprocta_perdicaria ENSNPEG00000007185
meleagris_gallopavo ENSMGAG00000001398
coturnix_japonica ENSCJPG00005016031
gallus_gallus ENSGALG00000000955
numida_meleagris ENSNMEG00000004487
anser_brachyrhynchus ENSABRG00000002037
anas_platyrhynchos_platyrhynchos ENSAPLG00000021290
calidris_pugnax ENSCPUG00000016336
calidris_pygmaea ENSCPGG00000001962
lepidothrix_coronata ENSLCOG00000001143
manacus_vitellinus ENSMVIG00005005689
zonotrichia_albicollis ENSZALG00000012226
junco_hyemalis ENSJHYG00000004429
cyanistes_caeruleus ENSCCEG00000015369
taeniopygia_guttata ENSTGUG00000000971
serinus_canaria ENSSCAG00000007892
parus_major ENSPMJG00000018426
melopsittacus_undulatus ENSMUNG00000007461
lonchura_striata_domestica ENSLSDG00000016569
crocodylus_porosus ENSCPRG00005003410
chrysemys_picta_bellii ENSCPBG00000024943
chelonoidis_abingdonii ENSCABG00000009856
pelodiscus_sinensis ENSPSIG00000003749
cricetulus_griseus_crigri-picr ENSCGRG00015016336
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020116
mesocricetus_auratus ENSMAUG00000007829
microtus_ochrogaster ENSMOCG00000001826
peromyscus_maniculatus_bairdii ENSPEMG00000017489
mus_spicilegus ENSMSIG00000026400
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028857
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027567
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026586
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028919
rattus_norvegicus ENSRNOG00000008564
nannospalax_galili ENSNGAG00000011488
jaculus_jaculus ENSJJAG00000002275
castor_canadensis ENSCCNG00000026711
dipodomys_ordii ENSDORG00000009464
spermophilus_dauricus ENSSDAG00000019635
urocitellus_parryii ENSUPAG00010021173
ictidomys_tridecemlineatus ENSSTOG00000014234
marmota_marmota_marmota ENSMMMG00000013607
chinchilla_lanigera ENSCLAG00000014379
octodon_degus ENSODEG00000003675
cavia_porcellus ENSCPOG00000020198
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011121
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014896
fukomys_damarensis ENSFDAG00000015960
ochotona_princeps ENSOPRG00000002159
homo_sapiens ENSG00000186501
gorilla_gorilla ENSGGOG00000000040
pan_paniscus ENSPPAG00000027696
pan_troglodytes ENSPTRG00000000402
pongo_abelii ENSPPYG00000001667
nomascus_leucogenys ENSNLEG00000009516
rhinopithecus_roxellana ENSRROG00000032428
rhinopithecus_bieti ENSRBIG00000043541
piliocolobus_tephrosceles ENSPTEG00000011959
colobus_angolensis_palliatus ENSCANG00000017248
macaca_fascicularis ENSMFAG00000003393
macaca_mulatta ENSMMUG00000004767
macaca_nemestrina ENSMNEG00000038995
mandrillus_leucophaeus ENSMLEG00000031793
chlorocebus_sabaeus ENSCSAG00000000990
cercocebus_atys ENSCATG00000044475
theropithecus_gelada ENSTGEG00000008206
papio_anubis ENSPANG00000018881
callithrix_jacchus ENSCJAG00000009112
saimiri_boliviensis_boliviensis ENSSBOG00000031879
aotus_nancymaae ENSANAG00000029313
carlito_syrichta ENSTSYG00000033362
propithecus_coquereli ENSPCOG00000015289
prolemur_simus ENSPSMG00000010644
microcebus_murinus ENSMICG00000015726
otolemur_garnettii ENSOGAG00000015081
ursus_americanus ENSUAMG00000008658
ursus_maritimus ENSUMAG00000011485
panthera_tigris_altaica ENSPTIG00000014570
bos_taurus ENSBTAG00000010249
sorex_araneus ENSSARG00000011684
meriones_unguiculatus ENSMUGG00000020507
cricetulus_griseus_crigri_1.0 ENSCGRG00000016288
cavia_aperea ENSCAPG00000008127
loxodonta_africana ENSLAFG00000006037
procavia_capensis ENSPCAG00000007630
dasypus_novemcinctus ENSDNOG00000043003
mustela_putorius_furo ENSMPUG00000015642
neovison_vison ENSNVIG00000023737
ailuropoda_melanoleuca ENSAMEG00000010882
canis_lupus_dingo ENSCAFG00020022297
canis_lupus_familiaris ENSCAFG00000012178
vulpes_vulpes ENSVVUG00000012088
felis_catus ENSFCAG00000027299
panthera_pardus ENSPPRG00000000473
equus_asinus_asinus ENSEASG00005008694
myotis_lucifugus ENSMLUG00000004145
pteropus_vampyrus ENSPVAG00000008472
sus_scrofa ENSSSCG00000023636
tursiops_truncatus ENSTTRG00000015450
bison_bison_bison ENSBBBG00000013753
bos_taurus ENSBTAG00000050795
bos_mutus ENSBMUG00000016948
capra_hircus ENSCHIG00000018082
ovis_aries ENSOARG00000003660
echinops_telfairi ENSETEG00000005531
oryctolagus_cuniculus ENSOCUG00000007371
phascolarctos_cinereus ENSPCIG00000024842
notamacropus_eugenii ENSMEUG00000010364
monodelphis_domestica ENSMODG00000014449
sarcophilus_harrisii ENSSHAG00000001770
xenopus_tropicalis ENSXETG00000020673
latimeria_chalumnae ENSLACG00000014459
scleropages_formosus ENSSFOG00015020359
paramormyrops_kingsleyae ENSPKIG00000014015
poecilia_formosa ENSPFOG00000012425
poecilia_mexicana ENSPMEG00000017739
poecilia_latipinna ENSPLAG00000020723
poecilia_reticulata ENSPREG00000014948
xiphophorus_maculatus ENSXMAG00000027879
xiphophorus_couchianus ENSXCOG00000003514
gambusia_affinis ENSGAFG00000000418
fundulus_heteroclitus ENSFHEG00000005057
cyprinodon_variegatus ENSCVAG00000014744
kryptolebias_marmoratus ENSKMAG00000011442
kryptolebias_marmoratus ENSKMAG00000012794
mola_mola ENSMMOG00000014448
amphiprion_ocellaris ENSAOCG00000006000
amphiprion_percula ENSAPEG00000004818
acanthochromis_polyacanthus ENSAPOG00000008922
stegastes_partitus ENSSPAG00000000772
labrus_bergylta ENSLBEG00000005072
mastacembelus_armatus ENSMAMG00000003181
seriola_dumerili ENSSDUG00000001733
seriola_lalandi_dorsalis ENSSLDG00000017165
scophthalmus_maximus ENSSMAG00000020474
hippocampus_comes ENSHCOG00000020997
oryzias_latipes_asm223471v1 ENSORLG00020020470
oryzias_latipes_asm223469v1 ENSORLG00015008693
oryzias_latipes_asm223467v1 ENSORLG00000027050
gasterosteus_aculeatus ENSGACG00000008144
maylandia_zebra ENSMZEG00005016824
maylandia_zebra ENSMZEG00005021427
haplochromis_burtoni ENSHBUG00000009921
pundamilia_nyererei ENSPNYG00000005628
astatotilapia_calliptera ENSACLG00000009927
neolamprologus_brichardi ENSNBRG00000021859
oreochromis_niloticus ENSONIG00000007626
amphilophus_citrinellus ENSACIG00000002906
cynoglossus_semilaevis ENSCSEG00000009466
takifugu_rubripes ENSTRUG00000002180
tetraodon_nigroviridis ENSTNIG00000009809
periophthalmus_magnuspinnatus ENSPMGG00000016645
anabas_testudineus ENSATEG00000010107
monopterus_albus ENSMALG00000016496
gadus_morhua ENSGMOG00000000239
anabas_testudineus ENSATEG00000010082
oryzias_melastigma ENSOMEG00000011552
esox_lucius ENSELUG00000011465
astyanax_mexicanus ENSAMXG00000043746
pygocentrus_nattereri ENSPNAG00000025085
ictalurus_punctatus ENSIPUG00000009613
danio_rerio ENSDARG00000104097
astyanax_mexicanus ENSAMXG00000043867
pygocentrus_nattereri ENSPNAG00000028267
ictalurus_punctatus ENSIPUG00000006015
danio_rerio ENSDARG00000069589
oryzias_latipes_asm223469v1 ENSORLG00015008486
oryzias_latipes_asm223469v1 ENSORLG00015008618
oryzias_latipes_asm223471v1 ENSORLG00020022613
oryzias_latipes_asm223467v1 ENSORLG00000004480
oryzias_melastigma ENSOMEG00000011094
kryptolebias_marmoratus ENSKMAG00000020767
haplochromis_burtoni ENSHBUG00000020475
pundamilia_nyererei ENSPNYG00000005103
astatotilapia_calliptera ENSACLG00000012836
maylandia_zebra ENSMZEG00005019760
neolamprologus_brichardi ENSNBRG00000022351
oreochromis_niloticus ENSONIG00000006776
amphilophus_citrinellus ENSACIG00000010606
xiphophorus_maculatus ENSXMAG00000028549
xiphophorus_couchianus ENSXCOG00000016130
gambusia_affinis ENSGAFG00000002429
poecilia_formosa ENSPFOG00000024525
poecilia_latipinna ENSPLAG00000023674
poecilia_mexicana ENSPMEG00000010241
poecilia_reticulata ENSPREG00000008949
fundulus_heteroclitus ENSFHEG00000000826
cyprinodon_variegatus ENSCVAG00000020041
hippocampus_comes ENSHCOG00000005706
cynoglossus_semilaevis ENSCSEG00000005261
takifugu_rubripes ENSTRUG00000013224
tetraodon_nigroviridis ENSTNIG00000009652
mola_mola ENSMMOG00000008960
monopterus_albus ENSMALG00000007639
mastacembelus_armatus ENSMAMG00000023979
anabas_testudineus ENSATEG00000023778
seriola_lalandi_dorsalis ENSSLDG00000016627
seriola_dumerili ENSSDUG00000017035
gasterosteus_aculeatus ENSGACG00000007178
scophthalmus_maximus ENSSMAG00000002110
labrus_bergylta ENSLBEG00000006974
amphiprion_ocellaris ENSAOCG00000002414
amphiprion_percula ENSAPEG00000018960
acanthochromis_polyacanthus ENSAPOG00000001224
stegastes_partitus ENSSPAG00000013111
periophthalmus_magnuspinnatus ENSPMGG00000001690
gadus_morhua ENSGMOG00000000961
scleropages_formosus ENSSFOG00015008042
paramormyrops_kingsleyae ENSPKIG00000014416
lepisosteus_oculatus ENSLOCG00000003943
eptatretus_burgeri ENSEBUG00000008659
ciona_intestinalis ENSCING00000005451
drosophila_melanogaster FBgn0032000
caenorhabditis_elegans_strain_n2 WBGene00019221
