danio_rerio ENSDARG00000045487
astyanax_mexicanus ENSAMXG00000033866
gadus_morhua ENSGMOG00000001796
esox_lucius ENSELUG00000002525
ictalurus_punctatus ENSIPUG00000024494
stegastes_partitus ENSSPAG00000008089
fundulus_heteroclitus ENSFHEG00000021489
amphiprion_percula ENSAPEG00000021214
oreochromis_niloticus ENSONIG00000000006
cyprinodon_variegatus ENSCVAG00000016397
xiphophorus_maculatus ENSXMAG00000030077
xiphophorus_couchianus ENSXCOG00000013805
amphilophus_citrinellus ENSACIG00000013386
mastacembelus_armatus ENSMAMG00000015224
kryptolebias_marmoratus ENSKMAG00000012230
gambusia_affinis ENSGAFG00000016659
oryzias_melastigma ENSOMEG00000003840
acanthochromis_polyacanthus ENSAPOG00000018869
anabas_testudineus ENSATEG00000023236
mola_mola ENSMMOG00000006885
oryzias_latipes ENSORLG00020009654
oryzias_latipes_asm223469v1 ENSORLG00015000252
periophthalmus_magnuspinnatus ENSPMGG00000001881
tetraodon_nigroviridis ENSTNIG00000012651
takifugu_rubripes ENSTRUG00000025247
pygocentrus_nattereri ENSPNAG00000002321
poecilia_mexicana ENSPMEG00000019624
poecilia_formosa ENSPFOG00000017508
poecilia_latipinna ENSPLAG00000011432
poecilia_reticulata ENSPREG00000022479
oryzias_latipes ENSORLG00000016271
seriola_dumerili ENSSDUG00000018274
seriola_lalandi_dorsalis ENSSLDG00000019014
monopterus_albus ENSMALG00000011119
microtus_ochrogaster ENSMOCG00000011128
microtus_ochrogaster ENSMOCG00000019458
microtus_ochrogaster ENSMOCG00000005888
cricetulus_griseus_crigri-picr ENSCGRG00015006770
cricetulus_griseus_chok1gshd ENSCGRG00001015054
cricetulus_griseus_crigri ENSCGRG00000011228
nannospalax_galili ENSNGAG00000022095
heterocephalus_glaber_male ENSHGLG00100009311
heterocephalus_glaber_female ENSHGLG00000014055
marmota_marmota_marmota ENSMMMG00000020887
spermophilus_dauricus ENSSDAG00000000109
ictidomys_tridecemlineatus ENSSTOG00000006794
nomascus_leucogenys ENSNLEG00000033793
nomascus_leucogenys ENSNLEG00000030396
macaca_fascicularis ENSMFAG00000039487
macaca_mulatta ENSMMUG00000048090
macaca_nemestrina ENSMNEG00000028528
mandrillus_leucophaeus ENSMLEG00000034982
papio_anubis ENSPANG00000035696
theropithecus_gelada ENSTGEG00000003583
rhinopithecus_bieti ENSRBIG00000035831
rhinopithecus_roxellana ENSRROG00000032874
colobus_angolensis_palliatus ENSCANG00000000337
macaca_nemestrina ENSMNEG00000013932
neovison_vison ENSNVIG00000011407
felis_catus ENSFCAG00000036480
dipodomys_ordii ENSDORG00000005000
mus_spicilegus ENSMSIG00000028123
urocitellus_parryii ENSUPAG00010022580
nomascus_leucogenys ENSNLEG00000014388
saimiri_boliviensis_boliviensis ENSSBOG00000016662
bos_taurus ENSBTAG00000021093
sarcophilus_harrisii ENSSHAG00000009341
chrysemys_picta_bellii ENSCPBG00000000062
gopherus_agassizii ENSGAGG00000008791
pelodiscus_sinensis ENSPSIG00000016930
sphenodon_punctatus ENSSPUG00000006832
notechis_scutatus ENSNSUG00000000966
pogona_vitticeps ENSPVIG00000006753
anolis_carolinensis ENSACAG00000014176
salvator_merianae ENSSMRG00000010263
ficedula_albicollis ENSFALG00000010493
zonotrichia_albicollis ENSZALG00000009921
taeniopygia_guttata ENSTGUG00000007667
scleropages_formosus ENSSFOG00015006416
scleropages_formosus ENSSFOG00015019382
latimeria_chalumnae ENSLACG00000015556
gallus_gallus ENSGALG00000026490
meleagris_gallopavo ENSMGAG00000011060
junco_hyemalis ENSJHYG00000009683
