neovison_vison ENSNVIG00000020596
ursus_maritimus ENSUMAG00000000175
bos_mutus ENSBMUG00000024053
tupaia_belangeri ENSTBEG00000003809
echinops_telfairi ENSETEG00000013083
capra_hircus ENSCHIG00000017769
ovis_aries ENSOARG00000010509
bos_taurus ENSBTAG00000022989
bison_bison_bison ENSBBBG00000023692
myotis_lucifugus ENSMLUG00000001867
microcebus_murinus ENSMICG00000046366
otolemur_garnettii ENSOGAG00000030213
pan_paniscus ENSPPAG00000034687
pan_troglodytes ENSPTRG00000007475
gorilla_gorilla ENSGGOG00000005396
homo_sapiens ENSG00000185442
nomascus_leucogenys ENSNLEG00000012346
rhinopithecus_roxellana ENSRROG00000036237
rhinopithecus_bieti ENSRBIG00000042280
piliocolobus_tephrosceles ENSPTEG00000036101
macaca_fascicularis ENSMFAG00000002626
macaca_nemestrina ENSMNEG00000045033
cercocebus_atys ENSCATG00000037463
papio_anubis ENSPANG00000035457
chlorocebus_sabaeus ENSCSAG00000017009
cebus_capucinus_imitator ENSCCAG00000028052
callithrix_jacchus ENSCJAG00000020435
aotus_nancymaae ENSANAG00000028350
urocitellus_parryii ENSUPAG00010021912
marmota_marmota_marmota ENSMMMG00000020743
sus_scrofa ENSSSCG00000002265
tursiops_truncatus ENSTTRG00000001976
equus_asinus_asinus ENSEASG00005015435
equus_caballus ENSECAG00000036090
pteropus_vampyrus ENSPVAG00000016440
ursus_americanus ENSUAMG00000018380
ailuropoda_melanoleuca ENSAMEG00000010803
canis_lupus_dingo ENSCAFG00020019222
canis_lupus_familiaris ENSCAFG00000030859
panthera_pardus ENSPPRG00000000150
felis_catus ENSFCAG00000045406
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000078670
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030963
mus_spicilegus ENSMSIG00000026207
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029861
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013083
rattus_norvegicus ENSRNOG00000012369
meriones_unguiculatus ENSMUGG00000019531
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018170
cricetulus_griseus_crigri-picr ENSCGRG00015021855
mesocricetus_auratus ENSMAUG00000008228
microtus_ochrogaster ENSMOCG00000014947
peromyscus_maniculatus_bairdii ENSPEMG00000019302
jaculus_jaculus ENSJJAG00000000216
castor_canadensis ENSCCNG00000000067
chinchilla_lanigera ENSCLAG00000017030
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004472
octodon_degus ENSODEG00000015105
dasypus_novemcinctus ENSDNOG00000012584
loxodonta_africana ENSLAFG00000003629
phascolarctos_cinereus ENSPCIG00000022319
notamacropus_eugenii ENSMEUG00000014842
sarcophilus_harrisii ENSSHAG00000010778
monodelphis_domestica ENSMODG00000013173
gallus_gallus ENSGALG00000006887
coturnix_japonica ENSCJPG00005020408
numida_meleagris ENSNMEG00000023074
anas_platyrhynchos_platyrhynchos ENSAPLG00000028006
anser_brachyrhynchus ENSABRG00000021846
calidris_pugnax ENSCPUG00000018758
calidris_pygmaea ENSCPGG00000012626
taeniopygia_guttata ENSTGUG00000008537
lonchura_striata_domestica ENSLSDG00000008119
ficedula_albicollis ENSFALG00000010371
lepidothrix_coronata ENSLCOG00000014824
dromaius_novaehollandiae ENSDNVG00000005938
chrysemys_picta_bellii ENSCPBG00000018037
anolis_carolinensis ENSACAG00000000087
serinus_canaria ENSSCAG00000006353
