ursus_maritimus ENSUMAG00000003355
ursus_americanus ENSUAMG00000017980
vulpes_vulpes ENSVVUG00000013103
canis_lupus_dingo ENSCAFG00020027085
capra_hircus ENSCHIG00000018352
bos_taurus ENSBTAG00000011973
myotis_lucifugus ENSMLUG00000026575
tursiops_truncatus ENSTTRG00000016946
sus_scrofa ENSSSCG00000040393
bison_bison_bison ENSBBBG00000010531
bos_mutus ENSBMUG00000007469
ovis_aries ENSOARG00000000470
vicugna_pacos ENSVPAG00000010352
pteropus_vampyrus ENSPVAG00000015718
neovison_vison ENSNVIG00000012046
ailuropoda_melanoleuca ENSAMEG00000019722
panthera_pardus ENSPPRG00000019998
panthera_tigris_altaica ENSPTIG00000005268
felis_catus ENSFCAG00000002836
equus_asinus_asinus ENSEASG00005005567
equus_caballus ENSECAG00000002410
castor_canadensis ENSCCNG00000019232
dipodomys_ordii ENSDORG00000028180
marmota_marmota_marmota ENSMMMG00000016681
spermophilus_dauricus ENSSDAG00000006944
urocitellus_parryii ENSUPAG00010017485
ictidomys_tridecemlineatus ENSSTOG00000000944
oryctolagus_cuniculus ENSOCUG00000021289
ochotona_princeps ENSOPRG00000003995
pan_troglodytes ENSPTRG00000051571
pan_paniscus ENSPPAG00000021334
homo_sapiens ENSG00000163257
pongo_abelii ENSPPYG00000014629
chlorocebus_sabaeus ENSCSAG00000019695
theropithecus_gelada ENSTGEG00000027324
macaca_mulatta ENSMMUG00000018069
macaca_fascicularis ENSMFAG00000029339
macaca_nemestrina ENSMNEG00000024029
papio_anubis ENSPANG00000004496
mandrillus_leucophaeus ENSMLEG00000015340
cercocebus_atys ENSCATG00000014975
colobus_angolensis_palliatus ENSCANG00000037548
piliocolobus_tephrosceles ENSPTEG00000036824
rhinopithecus_bieti ENSRBIG00000003330
rhinopithecus_roxellana ENSRROG00000016796
cebus_capucinus ENSCCAG00000017582
callithrix_jacchus ENSCJAG00000042155
saimiri_boliviensis_boliviensis ENSSBOG00000013262
aotus_nancymaae ENSANAG00000003812
aotus_nancymaae ENSANAG00000024434
cebus_capucinus ENSCCAG00000028620
carlito_syrichta ENSTSYG00000030947
microcebus_murinus ENSMICG00000042496
prolemur_simus ENSPSMG00000024898
dasypus_novemcinctus ENSDNOG00000035551
dasypus_novemcinctus ENSDNOG00000032662
choloepus_hoffmanni ENSCHOG00000001294
