	ENSIPUT00000024496	ENSPKIT00000004044	ENSIPUT00000024528	ENSPKIT00000032867	ENSIPUT00000024611	ENSPKIT00000032904	ENSSFOT00015035017	ENSCHAT00000049246	ENSCHAT00000049262	ENSIPUT00000024565	ENSIPUT00000024581	ENSHHUT00000083269	ENSDART00000161753	ENSDART00000160711	ENSPNAT00000037256	ENSHHUT00000083288	ENSDCDT00000014588	ENSDCDT00000014606	ENSSFOT00015034970	ENSDART00000161289	ENSCHAT00000049457	ENSPKIT00000032895	ENSPKIT00000003981	ENSPKIT00000032915	ENSHHUT00000083476	ENSELUT00000032269	ENSCHAT00000049432	ENSHHUT00000083481	ENSDART00000162834	ENSDCDT00000014987	ENSSFOT00015035002	ENSCHAT00000049332	ENSSFOT00015034984	ENSPNAT00000037238	ENSHHUT00000083238	ENSCHAT00000049372	ENSDART00000159899	ENSEEET00000035044	ENSPNAT00000021936	ENSCHAT00000049303	ENSDCDT00000014602	ENSDCDT00000014613	ENSDCDT00000014803	ENSHHUT00000083468	ENSHHUT00000041931	ENSELUT00000032274	ENSPKIT00000032885	ENSSFOT00015002307	ENSCHAT00000049485	ENSAMXT00000048268	ENSHHUT00000083501	ENSPNAT00000022015	ENSDCDT00000014868	ENSCHAT00000049399	ENSPKIT00000004012	ENSHHUT00000083285	ENSAMXT00000033115
ENSIPUT00000024496	1.0	0.7929238985313751	1.0	0.7731984829329962	1.0	0.7907847372210223	0.8173076923076923	0.8282597666159309	0.8229218516674963	1.0	1.0	0.8097319003188851	0.8322802986789202	0.832042957042957	0.9032655576093652	0.8085664335664335	0.8265364732912119	0.8246753246753247	0.8173076923076923	0.8290250070244449	0.8253886010362694	0.7907847372210223	0.8003565062388592	0.7731984829329962	0.8194746771150776	0.8343949044585988	0.8282597666159309	0.8194746771150776	0.8290250070244449	0.8203538680098154	0.8173076923076923	0.8308776425368354	0.8176725235548765	0.8828170098133539	0.8085664335664335	0.8282597666159309	0.8322802986789202	0.8821897073662966	0.8938097634625063	0.8269622528460155	0.8221205921290168	0.8214019943443965	0.8246753246753247	0.7986695117359106	0.8334591194968554	0.8124525436598331	0.7907847372210223	0.5581481481481482	0.8244847823119967	0.8739393939393939	0.8095238095238095	0.8828170098133539	0.8246753246753247	0.8291304347826087	0.7996148754362741	0.8106580055335018	0.8136238951539165
ENSPKIT00000004044	0.7929238985313751	1.0	0.7929238985313751	0.780551741355636	0.7935578330893118	0.7958137548056387	0.8594750722089665	0.7909250438706442	0.7915260592425947	0.7912792158833878	0.7929238985313751	0.8042088438998402	0.808037622915776	0.8078426427940991	0.8439169139465875	0.8042088438998402	0.8137450199203188	0.8110814419225634	0.8594750722089665	0.808037622915776	0.7871634554038535	0.7958137548056387	1.0	0.780551741355636	0.8112018335482023	0.8787096774193548	0.7915260592425947	0.8112018335482023	0.808037622915776	0.8078101071975498	0.8594750722089665	0.7937389548093916	0.8594750722089665	0.7960687960687961	0.8051230537418382	0.7890759644703699	0.808037622915776	0.7652947719688543	0.8120321596894926	0.7890759644703699	0.8110814419225634	0.8079646017699115	0.8133182275931521	0.8043119847812302	0.8276530894984759	0.8257744733581165	0.7958137548056387	0.5603703703703704	0.7827780763030628	0.7944373401534527	0.8051230537418382	0.7960687960687961	0.8133182275931521	0.7851015155847869	1.0	0.8042088438998402	0.7157604955264969
ENSIPUT00000024528	1.0	0.7929238985313751	1.0	0.7731984829329962	1.0	0.7907847372210223	0.8176725235548765	0.8282597666159309	0.8282597666159309	1.0	1.0	0.8106580055335018	0.8322802986789202	0.8349885408708938	0.9032655576093652	0.8095238095238095	0.8265364732912119	0.8246753246753247	0.8176725235548765	0.8322802986789202	0.8253886010362694	0.7907847372210223	0.8003565062388592	0.7731984829329962	0.8194746771150776	0.8343949044585988	0.8282597666159309	0.8194746771150776	0.8322802986789202	0.8203538680098154	0.8176725235548765	0.8308776425368354	0.8176725235548765	0.8828170098133539	0.8095238095238095	0.8282597666159309	0.8322802986789202	0.8821897073662966	0.8938097634625063	0.8269622528460155	0.8221205921290168	0.8214019943443965	0.8246753246753247	0.7986695117359106	0.8334591194968554	0.8124525436598331	0.7907847372210223	0.5581481481481482	0.8244847823119967	0.8739393939393939	0.8095238095238095	0.8828170098133539	0.8246753246753247	0.8291304347826087	0.7996148754362741	0.8106580055335018	0.8136238951539165
ENSPKIT00000032867	0.7731984829329962	0.780551741355636	0.7731984829329962	1.0	0.7738560443716123	1.0	0.8036289841231945	0.7826191046205411	0.7832159484302256	0.7717261192243237	0.7731984829329962	0.7715870414723308	0.7877611140867702	0.7785603437984959	0.8108441158348737	0.7715870414723308	0.7758435993572577	0.7592335812429094	0.8036289841231945	0.7877611140867702	0.7804699866065993	1.0	0.7808284588754925	1.0	0.7881986737041549	0.7961290322580645	0.7832159484302256	0.7881986737041549	0.7877611140867702	0.7568646425547357	0.8036289841231945	0.7844058809351651	0.8036289841231945	0.8075498324219439	0.7768891011101826	0.7820496659523509	0.7877611140867702	0.7899874843554443	0.8045056320400501	0.7820496659523509	0.7592335812429094	0.7724376731301941	0.7610122955712069	0.7776169802219006	0.8005006257822278	0.8127956747015094	1.0	0.5685185185185185	0.7826531917615454	0.7804364183596689	0.7768891011101826	0.8075498324219439	0.7610122955712069	0.7907700636080659	0.7766292701374007	0.7715870414723308	0.7296025952960259
ENSIPUT00000024611	1.0	0.7935578330893118	1.0	0.7738560443716123	1.0	0.7907847372210223	0.81820490034277	0.8295354400100717	0.8287593271784495	1.0	1.0	0.8125074449076831	0.8322802986789202	0.8366935483870968	0.9066587395957194	0.811491935483871	0.8265364732912119	0.8251872540307224	0.8181703629032258	0.8336893065641464	0.8259072710835593	0.7907847372210223	0.8009394439507427	0.7738560443716123	0.8194746771150776	0.8459715639810427	0.8300276173738388	0.8210071942446043	0.8336893065641464	0.8208859129539017	0.8181703629032258	0.8326359832635983	0.8181703629032258	0.8841324200913242	0.811491935483871	0.8287593271784495	0.8322802986789202	0.8822067594433399	0.8938097634625063	0.8274378585086042	0.8226116178588574	0.8214019943443965	0.8251008064516129	0.80987812700449	0.8334591194968554	0.8124525436598331	0.7907847372210223	0.5558366461872064	0.8250340136054422	0.8743771704665559	0.811491935483871	0.8841324200913242	0.8207711442786071	0.8291304347826087	0.8001680268843014	0.8125074449076831	0.8136238951539165
ENSPKIT00000032904	0.7907847372210223	0.7958137548056387	0.7907847372210223	1.0	0.7907847372210223	1.0	0.8181079983759643	0.7907700636080659	0.7907700636080659	0.7880633373934226	0.7907847372210223	0.7828653707703384	0.7854919474895115	0.7854919474895115	0.8108441158348737	0.7828653707703384	0.7734470158343484	0.7722102231821454	0.8181079983759643	0.7854919474895115	0.7878200692041523	1.0	0.7953714981729598	1.0	0.7881986737041549	0.7961290322580645	0.7907700636080659	0.7881986737041549	0.7854919474895115	0.7683439576834395	0.8181079983759643	0.7922024623803009	0.8181079983759643	0.8075498324219439	0.7881986737041549	0.7899208063354931	0.7854919474895115	0.7899874843554443	0.8045056320400501	0.7899208063354931	0.7722102231821454	0.7724376731301941	0.7734470158343484	0.7881986737041549	0.8005006257822278	0.8127956747015094	1.0	0.5685185185185185	0.7907453507102065	0.7864592540215662	0.7881986737041549	0.8075498324219439	0.7734470158343484	0.7888515782404298	0.79150467962563	0.7828653707703384	0.7296025952960259
ENSSFOT00015035017	0.8173076923076923	0.8594750722089665	0.8176725235548765	0.8036289841231945	0.81820490034277	0.8181079983759643	1.0	0.8251018940302086	0.8234949636917309	0.8160298005287191	0.8173076923076923	0.8227108957634489	0.8132416396979504	0.8163265306122449	0.8040665434380776	0.8227108957634489	0.8283441208198491	0.8323596647193294	1.0	0.8109393579072532	0.8220948664796977	0.8181079983759643	0.8625660740028832	0.8036289841231945	0.8242820198720566	0.8709677419354839	0.8255827854154214	0.8242820198720566	0.8109393579072532	0.8279766252739226	1.0	0.8280231716147719	1.0	0.8322728879462707	0.8238683127572016	0.8238269887441507	0.8132416396979504	0.7971781305114638	0.8243583291394061	0.8238269887441507	0.8323596647193294	0.8253171615781403	0.8327727054300816	0.820385407829354	0.8208805031446541	0.8167006109979633	0.8181079983759643	0.5674074074074074	0.8218493852459017	0.8330061905480899	0.8210084033613445	0.8322728879462707	0.8327727054300816	0.8180212014134276	0.8561087122174245	0.8196596393192787	0.7644844517184942
ENSCHAT00000049246	0.8282597666159309	0.7909250438706442	0.8282597666159309	0.7826191046205411	0.8295354400100717	0.7907700636080659	0.8251018940302086	1.0	1.0	0.8324142891392952	0.8282597666159309	0.8344178480130142	0.8227780018824795	0.8238084730803178	0.8643707482993197	0.8344178480130142	0.8574694097082157	0.8578132927447996	0.8260150044130626	0.8189729133472239	1.0	0.7907700636080659	0.7941740589786622	0.7826191046205411	0.8453384071758631	0.8523178807947019	1.0	0.8398514851485148	0.8189729133472239	0.8575072886297376	0.8253067839777727	1.0	0.8260150044130626	0.8614202853111773	0.8360547219770521	1.0	0.8227780018824795	0.8148227253310552	0.8510317060895822	1.0	0.8578132927447996	0.8525525107803589	0.8615401588702559	0.8394882935071204	0.8389937106918239	0.823516085183507	0.7907700636080659	0.5181398416886543	0.9970456005138086	0.8463636363636363	0.8360547219770521	0.8614202853111773	0.8642046770085668	1.0	0.7919837645865043	0.8344178480130142	0.7756535947712418
ENSCHAT00000049262	0.8229218516674963	0.7915260592425947	0.8282597666159309	0.7832159484302256	0.8287593271784495	0.7907700636080659	0.8234949636917309	1.0	1.0	0.8324142891392952	0.8229218516674963	0.8362623762376238	0.8227780018824795	0.8211811670776095	0.8687116564417178	0.8362623762376238	0.8574694097082157	0.8582268875679777	0.8234949636917309	0.8151271577282909	1.0	0.7907700636080659	0.7947399880454273	0.7832159484302256	0.8453384071758631	0.868020304568528	1.0	0.8453384071758631	0.8151271577282909	0.8579043004239855	0.8234949636917309	1.0	0.8255827854154214	0.8621420996818664	0.8379011478097915	1.0	0.8227780018824795	0.8191220988900101	0.8510317060895822	1.0	0.8582268875679777	0.8525525107803589	0.8622833233711895	0.8394882935071204	0.8389937106918239	0.823516085183507	0.7907700636080659	0.5403703703703704	0.9970543032786884	0.8468971765061151	0.8410041841004184	0.8621420996818664	0.8622833233711895	1.0	0.7925888453269255	0.8395092955608954	0.7756535947712418
ENSIPUT00000024565	1.0	0.7912792158833878	1.0	0.7717261192243237	1.0	0.7880633373934226	0.8160298005287191	0.8324142891392952	0.8324142891392952	1.0	1.0	0.8095238095238095	0.8358449946178687	0.8380197068012497	0.9032655576093652	0.8095238095238095	0.8275026910656621	0.8246753246753247	0.8160298005287191	0.8358449946178687	0.8297872340425532	0.7880633373934226	0.7983657774573419	0.7717261192243237	0.8200734394124847	0.8343949044585988	0.8324142891392952	0.8200734394124847	0.8358449946178687	0.8215808062355376	0.8160298005287191	0.8349267820404211	0.8160298005287191	0.8856486390950866	0.8100216294160058	0.8282597666159309	0.8358449946178687	0.8821897073662966	0.8938097634625063	0.8282597666159309	0.8246753246753247	0.8227354946431056	0.8256428743090604	0.8002372479240807	0.8334591194968554	0.8105906313645621	0.7880633373934226	0.5581481481481482	0.8291586384071933	0.8739393939393939	0.8100216294160058	0.8856486390950866	0.8256428743090604	0.8337863549877684	0.8003565062388592	0.8095238095238095	0.804582651391162
