parus_major ENSPMJG00000012319
manacus_vitellinus ENSMVIG00005009847
saimiri_boliviensis_boliviensis ENSSBOG00000026812
aotus_nancymaae ENSANAG00000032188
cebus_capucinus_imitator ENSCCAG00000020162
saimiri_boliviensis_boliviensis ENSSBOG00000021183
aotus_nancymaae ENSANAG00000026536
papio_anubis ENSPANG00000011547
cercocebus_atys ENSCATG00000032170
piliocolobus_tephrosceles ENSPTEG00000030713
macaca_fascicularis ENSMFAG00000030058
macaca_nemestrina ENSMNEG00000041486
theropithecus_gelada ENSTGEG00000017474
cercocebus_atys ENSCATG00000007301
papio_anubis ENSPANG00000033239
rhinopithecus_roxellana ENSRROG00000039812
rhinopithecus_bieti ENSRBIG00000008706
theropithecus_gelada ENSTGEG00000015504
macaca_nemestrina ENSMNEG00000044241
colobus_angolensis_palliatus ENSCANG00000018202
piliocolobus_tephrosceles ENSPTEG00000015918
rhinopithecus_roxellana ENSRROG00000030309
cercocebus_atys ENSCATG00000038937
macaca_nemestrina ENSMNEG00000038622
theropithecus_gelada ENSTGEG00000027591
macaca_fascicularis ENSMFAG00000034682
piliocolobus_tephrosceles ENSPTEG00000004031
gorilla_gorilla ENSGGOG00000041519
pan_troglodytes ENSPTRG00000049283
nomascus_leucogenys ENSNLEG00000033470
microcebus_murinus ENSMICG00000044764
panthera_pardus ENSPPRG00000006690
felis_catus ENSFCAG00000038275
panthera_pardus ENSPPRG00000004343
panthera_pardus ENSPPRG00000022143
felis_catus ENSFCAG00000028002
choloepus_hoffmanni ENSCHOG00000008855
mus_spicilegus ENSMSIG00000011154
propithecus_coquereli ENSPCOG00000017716
