paramormyrops_kingsleyae ENSPKIG00000002063
scleropages_formosus ENSSFOG00015010990
tetraodon_nigroviridis ENSTNIG00000009307
tetraodon_nigroviridis ENSTNIG00000017272
takifugu_rubripes ENSTRUG00000020639
haplochromis_burtoni ENSHBUG00000015147
astatotilapia_calliptera ENSACLG00000004590
poecilia_reticulata ENSPREG00000001572
monopterus_albus ENSMALG00000000806
periophthalmus_magnuspinnatus ENSPMGG00000002605
xiphophorus_maculatus ENSXMAG00000023804
gambusia_affinis ENSGAFG00000017498
poecilia_formosa ENSPFOG00000018289
poecilia_latipinna ENSPLAG00000016595
poecilia_formosa ENSPFOG00000001006
poecilia_mexicana ENSPMEG00000006772
poecilia_mexicana ENSPMEG00000006782
fundulus_heteroclitus ENSFHEG00000011734
cyprinodon_variegatus ENSCVAG00000005685
oryzias_latipes_asm223469v1 ENSORLG00015005075
oryzias_latipes ENSORLG00000008899
oryzias_latipes ENSORLG00020007318
oryzias_melastigma ENSOMEG00000002422
cynoglossus_semilaevis ENSCSEG00000008579
maylandia_zebra ENSMZEG00005013035
pundamilia_nyererei ENSPNYG00000014972
neolamprologus_brichardi ENSNBRG00000009154
oreochromis_niloticus ENSONIG00000005724
amphilophus_citrinellus ENSACIG00000003054
kryptolebias_marmoratus ENSKMAG00000008866
amphiprion_ocellaris ENSAOCG00000016861
amphiprion_percula ENSAPEG00000013736
acanthochromis_polyacanthus ENSAPOG00000012207
stegastes_partitus ENSSPAG00000013662
seriola_lalandi_dorsalis ENSSLDG00000018486
seriola_dumerili ENSSDUG00000019208
scophthalmus_maximus ENSSMAG00000000698
mola_mola ENSMMOG00000016219
labrus_bergylta ENSLBEG00000024139
anabas_testudineus ENSATEG00000002128
mastacembelus_armatus ENSMAMG00000020895
gasterosteus_aculeatus ENSGACG00000015878
hippocampus_comes ENSHCOG00000004503
gadus_morhua ENSGMOG00000004172
esox_lucius ENSELUG00000011758
pygocentrus_nattereri ENSPNAG00000008389
astyanax_mexicanus ENSAMXG00000011824
ictalurus_punctatus ENSIPUG00000005264
danio_rerio ENSDARG00000061145
lepisosteus_oculatus ENSLOCG00000006794
myotis_lucifugus ENSMLUG00000005285
pteropus_vampyrus ENSPVAG00000016598
tursiops_truncatus ENSTTRG00000009218
sus_scrofa ENSSSCG00000024750
bos_mutus ENSBMUG00000003362
bos_taurus ENSBTAG00000018908
bison_bison_bison ENSBBBG00000001359
ovis_aries ENSOARG00000003135
capra_hircus ENSCHIG00000008683
panthera_pardus ENSPPRG00000003130
panthera_tigris_altaica ENSPTIG00000018440
felis_catus ENSFCAG00000003493
mustela_putorius_furo ENSMPUG00000006535
ursus_americanus ENSUAMG00000015978
ursus_maritimus ENSUMAG00000019610
ailuropoda_melanoleuca ENSAMEG00000017509
canis_lupus_dingo ENSCAFG00020018284
canis_lupus_familiaris ENSCAFG00000020348
vulpes_vulpes ENSVVUG00000012557
equus_caballus ENSECAG00000010839
erinaceus_europaeus ENSEEUG00000004050
sorex_araneus ENSSARG00000006304
pan_paniscus ENSPPAG00000031872
pan_troglodytes ENSPTRG00000008242
homo_sapiens ENSG00000141098
gorilla_gorilla ENSGGOG00000027976
pongo_abelii ENSPPYG00000007467
nomascus_leucogenys ENSNLEG00000004846
colobus_angolensis_palliatus ENSCANG00000031130
piliocolobus_tephrosceles ENSPTEG00000015583
rhinopithecus_bieti ENSRBIG00000033687
rhinopithecus_roxellana ENSRROG00000042550
macaca_nemestrina ENSMNEG00000034424
macaca_fascicularis ENSMFAG00000040849
chlorocebus_sabaeus ENSCSAG00000003945
theropithecus_gelada ENSTGEG00000006467
papio_anubis ENSPANG00000018429
mandrillus_leucophaeus ENSMLEG00000033144
cercocebus_atys ENSCATG00000030926
cebus_capucinus ENSCCAG00000037458
saimiri_boliviensis_boliviensis ENSSBOG00000000176
callithrix_jacchus ENSCJAG00000016078
callithrix_jacchus ENSCJAG00000048687
aotus_nancymaae ENSANAG00000030868
carlito_syrichta ENSTSYG00000037360
oryctolagus_cuniculus ENSOCUG00000009046
microcebus_murinus ENSMICG00000012208
propithecus_coquereli ENSPCOG00000025526
prolemur_simus ENSPSMG00000010085
otolemur_garnettii ENSOGAG00000024864
tupaia_belangeri ENSTBEG00000004143
castor_canadensis ENSCCNG00000014952
dipodomys_ordii ENSDORG00000000117
mus_musculus ENSMUSG00000013150
mus_spicilegus ENSMSIG00000016708
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032612
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031494
mus_pahari MGP_PahariEiJ_G0023094
rattus_norvegicus ENSRNOG00000017953
meriones_unguiculatus ENSMUGG00000016828
cricetulus_griseus_chok1gshd ENSCGRG00001001294
cricetulus_griseus_crigri-picr ENSCGRG00015007779
cricetulus_griseus_crigri ENSCGRG00000009313
mesocricetus_auratus ENSMAUG00000008117
peromyscus_maniculatus_bairdii ENSPEMG00000019083
microtus_ochrogaster ENSMOCG00000017638
nannospalax_galili ENSNGAG00000013521
jaculus_jaculus ENSJJAG00000021627
spermophilus_dauricus ENSSDAG00000017735
ictidomys_tridecemlineatus ENSSTOG00000025692
marmota_marmota_marmota ENSMMMG00000014932
octodon_degus ENSODEG00000015818
octodon_degus ENSODEG00000009525
chinchilla_lanigera ENSCLAG00000005850
cavia_aperea ENSCAPG00000010400
cavia_porcellus ENSCPOG00000039335
heterocephalus_glaber_female ENSHGLG00000011082
heterocephalus_glaber_male ENSHGLG00100016102
fukomys_damarensis ENSFDAG00000015290
equus_asinus_asinus ENSEASG00005012872
neovison_vison ENSNVIG00000009579
gorilla_gorilla ENSGGOG00000039173
gorilla_gorilla ENSGGOG00000036447
pan_paniscus ENSPPAG00000043084
pan_troglodytes ENSPTRG00000050062
macaca_mulatta ENSMMUG00000048687
mesocricetus_auratus ENSMAUG00000012584
nannospalax_galili ENSNGAG00000016821
procavia_capensis ENSPCAG00000009925
echinops_telfairi ENSETEG00000018260
loxodonta_africana ENSLAFG00000031426
dasypus_novemcinctus ENSDNOG00000023692
numida_meleagris ENSNMEG00000012847
coturnix_japonica ENSCJPG00005012030
nothoprocta_perdicaria ENSNPEG00000007631
crocodylus_porosus ENSCPRG00005000115
notechis_scutatus ENSNSUG00000012999
pogona_vitticeps ENSPVIG00000011792
phascolarctos_cinereus ENSPCIG00000017555
notamacropus_eugenii ENSMEUG00000003861
sarcophilus_harrisii ENSSHAG00000003095
monodelphis_domestica ENSMODG00000005668
ornithorhynchus_anatinus ENSOANG00000004601
anser_brachyrhynchus ENSABRG00000006804
anser_brachyrhynchus ENSABRG00000006811
