coturnix_japonica ENSCJPG00005004300
meleagris_gallopavo ENSMGAG00000013726
gallus_gallus ENSGALG00000015845
numida_meleagris ENSNMEG00000011543
anser_brachyrhynchus ENSABRG00000007926
calidris_pugnax ENSCPUG00000009935
calidris_pygmaea ENSCPGG00000016572
melopsittacus_undulatus ENSMUNG00000008302
lonchura_striata_domestica ENSLSDG00000013682
taeniopygia_guttata ENSTGUG00000012518
zonotrichia_albicollis ENSZALG00000016977
junco_hyemalis ENSJHYG00000015521
ficedula_albicollis ENSFALG00000002742
dromaius_novaehollandiae ENSDNVG00000017745
apteryx_rowi ENSARWG00000005202
serinus_canaria ENSSCAG00000003563
parus_major ENSPMJG00000003323
apteryx_owenii ENSAOWG00000018830
crocodylus_porosus ENSCPRG00005016601
gopherus_agassizii ENSGAGG00000005609
pogona_vitticeps ENSPVIG00000006302
anolis_carolinensis ENSACAG00000029363
notechis_scutatus ENSNSUG00000001521
sphenodon_punctatus ENSSPUG00000005407
peromyscus_maniculatus_bairdii ENSPEMG00000017225
microtus_ochrogaster ENSMOCG00000021609
cricetulus_griseus_crigri-picr ENSCGRG00015008810
cricetulus_griseus_crigri ENSCGRG00000009845
cricetulus_griseus_chok1gshd ENSCGRG00001003480
mesocricetus_auratus ENSMAUG00000004163
mus_musculus ENSMUSG00000047897
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033640
mus_spicilegus ENSMSIG00000019998
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032501
mus_pahari MGP_PahariEiJ_G0015368
rattus_norvegicus ENSRNOG00000010004
meriones_unguiculatus ENSMUGG00000012821
jaculus_jaculus ENSJJAG00000019746
heterocephalus_glaber_male ENSHGLG00100013995
heterocephalus_glaber_female ENSHGLG00000018563
fukomys_damarensis ENSFDAG00000011165
chinchilla_lanigera ENSCLAG00000012991
oryctolagus_cuniculus ENSOCUG00000007133
carlito_syrichta ENSTSYG00000030773
vicugna_pacos ENSVPAG00000006215
sus_scrofa ENSSSCG00000004451
bos_taurus ENSBTAG00000004795
bos_mutus ENSBMUG00000011074
bison_bison_bison ENSBBBG00000021945
capra_hircus ENSCHIG00000020687
ovis_aries ENSOARG00000013444
sorex_araneus ENSSARG00000012961
equus_caballus ENSECAG00000003305
equus_asinus_asinus ENSEASG00005005582
pteropus_vampyrus ENSPVAG00000003345
ailuropoda_melanoleuca ENSAMEG00000007137
ursus_americanus ENSUAMG00000000085
mustela_putorius_furo ENSMPUG00000005402
neovison_vison ENSNVIG00000003605
canis_lupus_dingo ENSCAFG00020015806
canis_lupus_familiaris ENSCAFG00000030430
vulpes_vulpes ENSVVUG00000019561
panthera_pardus ENSPPRG00000024924
panthera_tigris_altaica ENSPTIG00000019373
felis_catus ENSFCAG00000026612
myotis_lucifugus ENSMLUG00000026841
urocitellus_parryii ENSUPAG00010016566
ictidomys_tridecemlineatus ENSSTOG00000009356
spermophilus_dauricus ENSSDAG00000011709
castor_canadensis ENSCCNG00000012954
tupaia_belangeri ENSTBEG00000013541
otolemur_garnettii ENSOGAG00000012332
erinaceus_europaeus ENSEEUG00000014707
piliocolobus_tephrosceles ENSPTEG00000019479
colobus_angolensis_palliatus ENSCANG00000035763
rhinopithecus_bieti ENSRBIG00000028199
rhinopithecus_roxellana ENSRROG00000000049
macaca_fascicularis ENSMFAG00000041259
macaca_mulatta ENSMMUG00000029548
macaca_nemestrina ENSMNEG00000036034
chlorocebus_sabaeus ENSCSAG00000017383
cercocebus_atys ENSCATG00000032695
mandrillus_leucophaeus ENSMLEG00000033574
theropithecus_gelada ENSTGEG00000017759
papio_anubis ENSPANG00000015669
pan_troglodytes ENSPTRG00000029533
pan_paniscus ENSPPAG00000035307
homo_sapiens ENSG00000203877
gorilla_gorilla ENSGGOG00000022239
pongo_abelii ENSPPYG00000016810
nomascus_leucogenys ENSNLEG00000028264
cebus_capucinus ENSCCAG00000013240
callithrix_jacchus ENSCJAG00000015130
saimiri_boliviensis_boliviensis ENSSBOG00000034057
aotus_nancymaae ENSANAG00000022625
prolemur_simus ENSPSMG00000023977
propithecus_coquereli ENSPCOG00000025039
tursiops_truncatus ENSTTRG00000010537
dasypus_novemcinctus ENSDNOG00000015357
choloepus_hoffmanni ENSCHOG00000004263
loxodonta_africana ENSLAFG00000004959
echinops_telfairi ENSETEG00000002996
phascolarctos_cinereus ENSPCIG00000031112
notamacropus_eugenii ENSMEUG00000016181
sarcophilus_harrisii ENSSHAG00000008184
xenopus_tropicalis ENSXETG00000030057
latimeria_chalumnae ENSLACG00000011030
periophthalmus_magnuspinnatus ENSPMGG00000012437
takifugu_rubripes ENSTRUG00000021882
pygocentrus_nattereri ENSPNAG00000015532
astyanax_mexicanus ENSAMXG00000041207
ictalurus_punctatus ENSIPUG00000007439
danio_rerio ENSDARG00000054103
scophthalmus_maximus ENSSMAG00000003161
cynoglossus_semilaevis ENSCSEG00000007219
stegastes_partitus ENSSPAG00000001687
esox_lucius ENSELUG00000007377
paramormyrops_kingsleyae ENSPKIG00000008840
scleropages_formosus ENSSFOG00015009974
esox_lucius ENSELUG00000015710
lepisosteus_oculatus ENSLOCG00000016562
