notamacropus_eugenii ENSMEUG00000009189
phascolarctos_cinereus ENSPCIG00000029767
monodelphis_domestica ENSMODG00000011977
sarcophilus_harrisii ENSSHAG00000010334
capra_hircus ENSCHIG00000021297
ovis_aries ENSOARG00000007559
bos_mutus ENSBMUG00000000274
bos_taurus ENSBTAG00000006073
bison_bison_bison ENSBBBG00000019637
sus_scrofa ENSSSCG00000013762
ursus_americanus ENSUAMG00000007176
ailuropoda_melanoleuca ENSAMEG00000013040
neovison_vison ENSNVIG00000006307
mustela_putorius_furo ENSMPUG00000003251
canis_lupus_dingo ENSCAFG00020006719
canis_lupus_familiaris ENSCAFG00000016521
vulpes_vulpes ENSVVUG00000026761
equus_asinus_asinus ENSEASG00005015307
equus_caballus ENSECAG00000016452
myotis_lucifugus ENSMLUG00000012982
urocitellus_parryii ENSUPAG00010011723
ictidomys_tridecemlineatus ENSSTOG00000021014
marmota_marmota_marmota ENSMMMG00000021701
chinchilla_lanigera ENSCLAG00000013361
octodon_degus ENSODEG00000009051
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008104
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009883
fukomys_damarensis ENSFDAG00000012951
cavia_porcellus ENSCPOG00000021831
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020503
cricetulus_griseus_crigri-picr ENSCGRG00015016501
cricetulus_griseus_crigri_1.0 ENSCGRG00000008831
mesocricetus_auratus ENSMAUG00000010711
microtus_ochrogaster ENSMOCG00000019920
peromyscus_maniculatus_bairdii ENSPEMG00000018883
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000012889
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032411
mus_spicilegus ENSMSIG00000012995
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031293
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022899
rattus_norvegicus ENSRNOG00000006741
meriones_unguiculatus ENSMUGG00000014915
nannospalax_galili ENSNGAG00000000890
jaculus_jaculus ENSJJAG00000019479
castor_canadensis ENSCCNG00000020385
propithecus_coquereli ENSPCOG00000007369
prolemur_simus ENSPSMG00000000734
microcebus_murinus ENSMICG00000027429
otolemur_garnettii ENSOGAG00000007200
carlito_syrichta ENSTSYG00000032352
pan_paniscus ENSPPAG00000017952
pan_troglodytes ENSPTRG00000010572
gorilla_gorilla ENSGGOG00000004407
homo_sapiens ENSG00000132000
rhinopithecus_bieti ENSRBIG00000042216
rhinopithecus_roxellana ENSRROG00000036501
colobus_angolensis_palliatus ENSCANG00000038329
papio_anubis ENSPANG00000017712
mandrillus_leucophaeus ENSMLEG00000040267
macaca_fascicularis ENSMFAG00000043295
macaca_mulatta ENSMMUG00000008324
cercocebus_atys ENSCATG00000025145
chlorocebus_sabaeus ENSCSAG00000006396
cebus_capucinus_imitator ENSCCAG00000034546
aotus_nancymaae ENSANAG00000033018
theropithecus_gelada ENSTGEG00000006631
macaca_nemestrina ENSMNEG00000029074
piliocolobus_tephrosceles ENSPTEG00000000186
nomascus_leucogenys ENSNLEG00000013191
callithrix_jacchus ENSCJAG00000004297
saimiri_boliviensis_boliviensis ENSSBOG00000016931
sorex_araneus ENSSARG00000011333
sorex_araneus ENSSARG00000009107
procavia_capensis ENSPCAG00000014160
loxodonta_africana ENSLAFG00000027060
tupaia_belangeri ENSTBEG00000014504
pteropus_vampyrus ENSPVAG00000017547
tursiops_truncatus ENSTTRG00000008372
felis_catus ENSFCAG00000003720
panthera_pardus ENSPPRG00000010654
ochotona_princeps ENSOPRG00000007237
ornithorhynchus_anatinus ENSOANG00000022200
ornithorhynchus_anatinus ENSOANG00000003748
gopherus_agassizii ENSGAGG00000004369
chelonoidis_abingdonii ENSCABG00000004175
chrysemys_picta_bellii ENSCPBG00000023814
pelodiscus_sinensis ENSPSIG00000015794
anolis_carolinensis ENSACAG00000015752
pogona_vitticeps ENSPVIG00000009134
notechis_scutatus ENSNSUG00000013309
salvator_merianae ENSSMRG00000017021
latimeria_chalumnae ENSLACG00000014115
eptatretus_burgeri ENSEBUG00000012175
