paramormyrops_kingsleyae ENSPKIG00000022373
scleropages_formosus ENSSFOG00015000995
takifugu_rubripes ENSTRUG00000009126
tetraodon_nigroviridis ENSTNIG00000007471
mola_mola ENSMMOG00000007842
labrus_bergylta ENSLBEG00000023122
monopterus_albus ENSMALG00000001234
mastacembelus_armatus ENSMAMG00000021826
anabas_testudineus ENSATEG00000010500
seriola_lalandi_dorsalis ENSSLDG00000022986
seriola_dumerili ENSSDUG00000019028
xiphophorus_maculatus ENSXMAG00000018127
xiphophorus_couchianus ENSXCOG00000013339
gambusia_affinis ENSGAFG00000001390
poecilia_formosa ENSPFOG00000011707
poecilia_mexicana ENSPMEG00000016417
poecilia_latipinna ENSPLAG00000003989
poecilia_reticulata ENSPREG00000003712
cyprinodon_variegatus ENSCVAG00000013404
fundulus_heteroclitus ENSFHEG00000019645
kryptolebias_marmoratus ENSKMAG00000003252
oryzias_latipes_asm223469v1 ENSORLG00015018041
oryzias_latipes_asm223471v1 ENSORLG00020012441
oryzias_latipes_asm223467v1 ENSORLG00000004629
oryzias_melastigma ENSOMEG00000011805
amphiprion_percula ENSAPEG00000003259
amphiprion_ocellaris ENSAOCG00000005844
acanthochromis_polyacanthus ENSAPOG00000016675
stegastes_partitus ENSSPAG00000000193
pundamilia_nyererei ENSPNYG00000000954
haplochromis_burtoni ENSHBUG00000013398
astatotilapia_calliptera ENSACLG00000023665
maylandia_zebra ENSMZEG00005027380
neolamprologus_brichardi ENSNBRG00000013349
oreochromis_niloticus ENSONIG00000000915
amphilophus_citrinellus ENSACIG00000009550
gasterosteus_aculeatus ENSGACG00000010667
periophthalmus_magnuspinnatus ENSPMGG00000013220
hippocampus_comes ENSHCOG00000002122
cynoglossus_semilaevis ENSCSEG00000003883
gadus_morhua ENSGMOG00000008335
esox_lucius ENSELUG00000012850
astyanax_mexicanus ENSAMXG00000004239
pygocentrus_nattereri ENSPNAG00000002918
ictalurus_punctatus ENSIPUG00000009358
danio_rerio ENSDARG00000063059
lepisosteus_oculatus ENSLOCG00000016405
latimeria_chalumnae ENSLACG00000014900
xenopus_tropicalis ENSXETG00000009293
anolis_carolinensis ENSACAG00000015277
pogona_vitticeps ENSPVIG00000013687
salvator_merianae ENSSMRG00000018519
sphenodon_punctatus ENSSPUG00000005117
lepidothrix_coronata ENSLCOG00000010045
manacus_vitellinus ENSMVIG00005005595
taeniopygia_guttata ENSTGUG00000003716
lonchura_striata_domestica ENSLSDG00000010768
serinus_canaria ENSSCAG00000009643
zonotrichia_albicollis ENSZALG00000002654
junco_hyemalis ENSJHYG00000010829
parus_major ENSPMJG00000013801
cyanistes_caeruleus ENSCCEG00000011411
ficedula_albicollis ENSFALG00000012731
melopsittacus_undulatus ENSMUNG00000009787
calidris_pygmaea ENSCPGG00000000469
calidris_pugnax ENSCPUG00000001292
anser_brachyrhynchus ENSABRG00000005932
anas_platyrhynchos_platyrhynchos ENSAPLG00000009721
gallus_gallus ENSGALG00000009958
coturnix_japonica ENSCJPG00005010029
meleagris_gallopavo ENSMGAG00000010181
numida_meleagris ENSNMEG00000016067
apteryx_haastii ENSAHAG00000010777
apteryx_owenii ENSAOWG00000017968
apteryx_rowi ENSARWG00000007091
nothoprocta_perdicaria ENSNPEG00000013497
crocodylus_porosus ENSCPRG00005015433
gopherus_agassizii ENSGAGG00000020222
chelonoidis_abingdonii ENSCABG00000015577
chrysemys_picta_bellii ENSCPBG00000005417
pelodiscus_sinensis ENSPSIG00000007213
phascolarctos_cinereus ENSPCIG00000006869
notamacropus_eugenii ENSMEUG00000004406
sarcophilus_harrisii ENSSHAG00000018768
monodelphis_domestica ENSMODG00000000579
castor_canadensis ENSCCNG00000028030
dipodomys_ordii ENSDORG00000012232
mus_spicilegus ENSMSIG00000011323
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000024254
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022842
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021926
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020916
rattus_norvegicus ENSRNOG00000005420
meriones_unguiculatus ENSMUGG00000019676
peromyscus_maniculatus_bairdii ENSPEMG00000022497
microtus_ochrogaster ENSMOCG00000006071
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001003896
cricetulus_griseus_crigri-picr ENSCGRG00015022519
cricetulus_griseus_crigri_1.0 ENSCGRG00000010710
mesocricetus_auratus ENSMAUG00000004668
nannospalax_galili ENSNGAG00000022447
jaculus_jaculus ENSJJAG00000005932
urocitellus_parryii ENSUPAG00010020814
ictidomys_tridecemlineatus ENSSTOG00000011177
spermophilus_dauricus ENSSDAG00000011473
marmota_marmota_marmota ENSMMMG00000016223
chinchilla_lanigera ENSCLAG00000005006
octodon_degus ENSODEG00000012555
cavia_aperea ENSCAPG00000016248
cavia_porcellus ENSCPOG00000000203
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006737
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016760
fukomys_damarensis ENSFDAG00000007465
oryctolagus_cuniculus ENSOCUG00000015038
ochotona_princeps ENSOPRG00000016763
tupaia_belangeri ENSTBEG00000010839
pan_paniscus ENSPPAG00000008092
pan_troglodytes ENSPTRG00000011879
homo_sapiens ENSG00000143921
gorilla_gorilla ENSGGOG00000000622
pongo_abelii ENSPPYG00000012452
nomascus_leucogenys ENSNLEG00000016774
colobus_angolensis_palliatus ENSCANG00000034919
piliocolobus_tephrosceles ENSPTEG00000034420
rhinopithecus_roxellana ENSRROG00000044948
rhinopithecus_bieti ENSRBIG00000024223
papio_anubis ENSPANG00000018837
theropithecus_gelada ENSTGEG00000001253
macaca_mulatta ENSMMUG00000008081
macaca_nemestrina ENSMNEG00000027676
macaca_fascicularis ENSMFAG00000045442
mandrillus_leucophaeus ENSMLEG00000028413
chlorocebus_sabaeus ENSCSAG00000012997
cebus_capucinus_imitator ENSCCAG00000009978
saimiri_boliviensis_boliviensis ENSSBOG00000015810
callithrix_jacchus ENSCJAG00000000833
aotus_nancymaae ENSANAG00000033135
carlito_syrichta ENSTSYG00000013196
propithecus_coquereli ENSPCOG00000021771
microcebus_murinus ENSMICG00000010470
prolemur_simus ENSPSMG00000007486
otolemur_garnettii ENSOGAG00000012795
bos_taurus ENSBTAG00000016366
bos_mutus ENSBMUG00000006668
bison_bison_bison ENSBBBG00000006880
ovis_aries ENSOARG00000006677
capra_hircus ENSCHIG00000022042
tursiops_truncatus ENSTTRG00000006399
sus_scrofa ENSSSCG00000008453
ursus_maritimus ENSUMAG00000012741
ursus_americanus ENSUAMG00000022939
ailuropoda_melanoleuca ENSAMEG00000005811
neovison_vison ENSNVIG00000016453
mustela_putorius_furo ENSMPUG00000011787
canis_lupus_familiaris ENSCAFG00000002518
canis_lupus_dingo ENSCAFG00020025785
vulpes_vulpes ENSVVUG00000001551
panthera_pardus ENSPPRG00000007063
panthera_tigris_altaica ENSPTIG00000020720
felis_catus ENSFCAG00000013467
pteropus_vampyrus ENSPVAG00000002006
myotis_lucifugus ENSMLUG00000010543
equus_asinus_asinus ENSEASG00005004971
equus_caballus ENSECAG00000024537
dasypus_novemcinctus ENSDNOG00000049689
procavia_capensis ENSPCAG00000001375
loxodonta_africana ENSLAFG00000008607
echinops_telfairi ENSETEG00000006654
ornithorhynchus_anatinus ENSOANG00000004114
saccharomyces_cerevisiae_strain_s288c YOL075C
