junco_hyemalis ENSJHYG00000000940
zonotrichia_albicollis ENSZALG00000004134
serinus_canaria ENSSCAG00000013381
lonchura_striata_domestica ENSLSDG00000014874
cyanistes_caeruleus ENSCCEG00000010760
parus_major ENSPMJG00000012495
manacus_vitellinus ENSMVIG00005002689
melopsittacus_undulatus ENSMUNG00000010637
calidris_pygmaea ENSCPGG00000016254
calidris_pugnax ENSCPUG00000004548
anas_platyrhynchos_platyrhynchos ENSAPLG00000019338
dromaius_novaehollandiae ENSDNVG00000006731
gopherus_agassizii ENSGAGG00000013902
latimeria_chalumnae ENSLACG00000022350
paramormyrops_kingsleyae ENSPKIG00000023176
