,ENSCINT00000023257_ENSCING00000012290,ENSCSAVT00000000997_ENSCSAVG00000000554,ENSCABT00000004651_ENSCABG00000003230,ENSCABT00000004652_ENSCABG00000003230,ENSGAGT00000036886_ENSGAGG00000023273,ENSGAGT00000036887_ENSGAGG00000023273
ENSCINT00000023257_ENSCING00000012290,1.0,0.59,0.24,0.24,0.23,0.23
ENSCSAVT00000000997_ENSCSAVG00000000554,0.59,1.0,0.27,0.27,0.27,0.27
ENSCABT00000004651_ENSCABG00000003230,0.24,0.27,1.0,1.0,0.83,0.96
ENSCABT00000004652_ENSCABG00000003230,0.24,0.27,1.0,1.0,0.83,0.96
ENSGAGT00000036886_ENSGAGG00000023273,0.23,0.27,0.83,0.83,1.0,0.88
ENSGAGT00000036887_ENSGAGG00000023273,0.23,0.27,0.96,0.96,0.88,1.0
