pygocentrus_nattereri ENSPNAG00000010504
astyanax_mexicanus ENSAMXG00000005504
ictalurus_punctatus ENSIPUG00000003942
danio_rerio ENSDARG00000027234
esox_lucius ENSELUG00000006549
gasterosteus_aculeatus ENSGACG00000001380
hippocampus_comes ENSHCOG00000018209
xiphophorus_maculatus ENSXMAG00000014828
xiphophorus_couchianus ENSXCOG00000018323
gambusia_affinis ENSGAFG00000004027
poecilia_formosa ENSPFOG00000005522
poecilia_mexicana ENSPMEG00000016414
poecilia_latipinna ENSPLAG00000001175
poecilia_reticulata ENSPREG00000001049
fundulus_heteroclitus ENSFHEG00000015201
cyprinodon_variegatus ENSCVAG00000017425
kryptolebias_marmoratus ENSKMAG00000013713
astatotilapia_calliptera ENSACLG00000017749
pundamilia_nyererei ENSPNYG00000006688
maylandia_zebra ENSMZEG00005019395
haplochromis_burtoni ENSHBUG00000003780
neolamprologus_brichardi ENSNBRG00000011564
oreochromis_niloticus ENSONIG00000015723
amphilophus_citrinellus ENSACIG00000006343
amphiprion_ocellaris ENSAOCG00000018253
amphiprion_percula ENSAPEG00000022715
acanthochromis_polyacanthus ENSAPOG00000015933
stegastes_partitus ENSSPAG00000002560
mola_mola ENSMMOG00000019460
mola_mola ENSMMOG00000019456
takifugu_rubripes ENSTRUG00000015770
tetraodon_nigroviridis ENSTNIG00000015672
labrus_bergylta ENSLBEG00000014454
monopterus_albus ENSMALG00000017836
mastacembelus_armatus ENSMAMG00000020483
anabas_testudineus ENSATEG00000001773
seriola_dumerili ENSSDUG00000013830
seriola_lalandi_dorsalis ENSSLDG00000019181
scophthalmus_maximus ENSSMAG00000007655
oryzias_latipes_asm223469v1 ENSORLG00015012520
oryzias_latipes ENSORLG00020009380
oryzias_latipes ENSORLG00000013017
oryzias_melastigma ENSOMEG00000009527
periophthalmus_magnuspinnatus ENSPMGG00000010399
hippocampus_comes ENSHCOG00000000485
cynoglossus_semilaevis ENSCSEG00000009003
cynoglossus_semilaevis ENSCSEG00000008937
gadus_morhua ENSGMOG00000015823
scleropages_formosus ENSSFOG00015001101
paramormyrops_kingsleyae ENSPKIG00000002129
lepisosteus_oculatus ENSLOCG00000010875
anser_brachyrhynchus ENSABRG00000017286
anas_platyrhynchos_platyrhynchos ENSAPLG00000002720
gallus_gallus ENSGALG00000017134
meleagris_gallopavo ENSMGAG00000015130
coturnix_japonica ENSCJPG00005001414
numida_meleagris ENSNMEG00000019454
lepidothrix_coronata ENSLCOG00000005963
manacus_vitellinus ENSMVIG00005013400
junco_hyemalis ENSJHYG00000005882
zonotrichia_albicollis ENSZALG00000011958
serinus_canaria ENSSCAG00000005273
taeniopygia_guttata ENSTGUG00000011321
taeniopygia_guttata ENSTGUG00000014418
lonchura_striata_domestica ENSLSDG00000007897
ficedula_albicollis ENSFALG00000008742
cyanistes_caeruleus ENSCCEG00000023857
parus_major ENSPMJG00000017602
melopsittacus_undulatus ENSMUNG00000003723
calidris_pygmaea ENSCPGG00000003716
calidris_pugnax ENSCPUG00000014741
dromaius_novaehollandiae ENSDNVG00000016360
apteryx_haastii ENSAHAG00000019393
apteryx_rowi ENSARWG00000013232
apteryx_owenii ENSAOWG00000002420
nothoprocta_perdicaria ENSNPEG00000006700
dromaius_novaehollandiae ENSDNVG00000009016
crocodylus_porosus ENSCPRG00005013106
gopherus_agassizii ENSGAGG00000025372
chelonoidis_abingdonii ENSCABG00000022267
chrysemys_picta_bellii ENSCPBG00000020763
pelodiscus_sinensis ENSPSIG00000006089
pogona_vitticeps ENSPVIG00000001211
anolis_carolinensis ENSACAG00000002321
notechis_scutatus ENSNSUG00000013458
salvator_merianae ENSSMRG00000015102
sphenodon_punctatus ENSSPUG00000014587
notamacropus_eugenii ENSMEUG00000013480
phascolarctos_cinereus ENSPCIG00000002888
monodelphis_domestica ENSMODG00000008196
sarcophilus_harrisii ENSSHAG00000001796
prolemur_simus ENSPSMG00000003916
propithecus_coquereli ENSPCOG00000017851
microcebus_murinus ENSMICG00000004618
otolemur_garnettii ENSOGAG00000006694
pan_troglodytes ENSPTRG00000005685
pan_paniscus ENSPPAG00000035569
homo_sapiens ENSG00000032742
gorilla_gorilla ENSGGOG00000015507
pongo_abelii ENSPPYG00000005193
nomascus_leucogenys ENSNLEG00000001522
macaca_mulatta ENSMMUG00000013367
macaca_nemestrina ENSMNEG00000035133
macaca_fascicularis ENSMFAG00000042564
cercocebus_atys ENSCATG00000032538
papio_anubis ENSPANG00000009591
mandrillus_leucophaeus ENSMLEG00000030134
chlorocebus_sabaeus ENSCSAG00000018115
piliocolobus_tephrosceles ENSPTEG00000011878
colobus_angolensis_palliatus ENSCANG00000038877
rhinopithecus_roxellana ENSRROG00000043952
rhinopithecus_bieti ENSRBIG00000030062
cebus_capucinus ENSCCAG00000032883
saimiri_boliviensis_boliviensis ENSSBOG00000020033
callithrix_jacchus ENSCJAG00000004815
carlito_syrichta ENSTSYG00000009557
heterocephalus_glaber_male ENSHGLG00100008106
heterocephalus_glaber_female ENSHGLG00000010561
fukomys_damarensis ENSFDAG00000014751
chinchilla_lanigera ENSCLAG00000003866
octodon_degus ENSODEG00000006548
cavia_porcellus ENSCPOG00000009162
cavia_aperea ENSCAPG00000015380
ictidomys_tridecemlineatus ENSSTOG00000015529
urocitellus_parryii ENSUPAG00010018942
marmota_marmota_marmota ENSMMMG00000008732
dipodomys_ordii ENSDORG00000001573
castor_canadensis ENSCCNG00000012564
mus_musculus ENSMUSG00000040040
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020243
mus_spicilegus ENSMSIG00000012986
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019349
mus_pahari MGP_PahariEiJ_G0030367
rattus_norvegicus ENSRNOG00000009278
meriones_unguiculatus ENSMUGG00000016237
peromyscus_maniculatus_bairdii ENSPEMG00000020287
microtus_ochrogaster ENSMOCG00000012844
cricetulus_griseus_crigri-picr ENSCGRG00015012876
cricetulus_griseus_chok1gshd ENSCGRG00001014835
cricetulus_griseus_crigri ENSCGRG00000014895
mesocricetus_auratus ENSMAUG00000013897
nannospalax_galili ENSNGAG00000018550
jaculus_jaculus ENSJJAG00000009240
tupaia_belangeri ENSTBEG00000006399
oryctolagus_cuniculus ENSOCUG00000003414
sorex_araneus ENSSARG00000007701
ochotona_princeps ENSOPRG00000010505
aotus_nancymaae ENSANAG00000034961
ursus_americanus ENSUAMG00000015666
equus_asinus_asinus ENSEASG00005022812
equus_caballus ENSECAG00000009365
myotis_lucifugus ENSMLUG00000013369
neovison_vison ENSNVIG00000020083
mustela_putorius_furo ENSMPUG00000000597
ursus_maritimus ENSUMAG00000014425
ailuropoda_melanoleuca ENSAMEG00000003252
canis_lupus_familiaris ENSCAFG00000007250
canis_lupus_dingo ENSCAFG00020000222
vulpes_vulpes ENSVVUG00000006528
panthera_pardus ENSPPRG00000012876
panthera_tigris_altaica ENSPTIG00000005904
felis_catus ENSFCAG00000000852
loxodonta_africana ENSLAFG00000006197
procavia_capensis ENSPCAG00000002076
dasypus_novemcinctus ENSDNOG00000016591
choloepus_hoffmanni ENSCHOG00000006184
erinaceus_europaeus ENSEEUG00000010066
pteropus_vampyrus ENSPVAG00000015039
ovis_aries ENSOARG00000013877
capra_hircus ENSCHIG00000020831
bos_mutus ENSBMUG00000019163
bos_taurus ENSBTAG00000014286
bison_bison_bison ENSBBBG00000013422
sus_scrofa ENSSSCG00000009270
tursiops_truncatus ENSTTRG00000006124
vicugna_pacos ENSVPAG00000000004
echinops_telfairi ENSETEG00000002029
ornithorhynchus_anatinus ENSOANG00000009025
xenopus_tropicalis ENSXETG00000031455
latimeria_chalumnae ENSLACG00000001572
petromyzon_marinus ENSPMAG00000005168
eptatretus_burgeri ENSEBUG00000009644
ciona_savignyi ENSCSAVG00000001386
ciona_intestinalis ENSCING00000002712
caenorhabditis_elegans_strain_n2 WBGene00003885
