scleropages_formosus ENSSFOG00015016347
paramormyrops_kingsleyae ENSPKIG00000012223
fundulus_heteroclitus ENSFHEG00000015870
fundulus_heteroclitus ENSFHEG00000015779
kryptolebias_marmoratus ENSKMAG00000005703
poecilia_reticulata ENSPREG00000020236
poecilia_reticulata ENSPREG00000020191
poecilia_formosa ENSPFOG00000012151
poecilia_latipinna ENSPLAG00000001558
gambusia_affinis ENSGAFG00000000786
cyprinodon_variegatus ENSCVAG00000020131
oryzias_latipes_asm223469v1 ENSORLG00015015781
oryzias_latipes ENSORLG00020002314
oryzias_latipes ENSORLG00000019677
haplochromis_burtoni ENSHBUG00000012687
haplochromis_burtoni ENSHBUG00000012731
maylandia_zebra ENSMZEG00005026795
astatotilapia_calliptera ENSACLG00000008703
oreochromis_niloticus ENSONIG00000014875
oryzias_melastigma ENSOMEG00000023031
amphilophus_citrinellus ENSACIG00000009327
mola_mola ENSMMOG00000010653
gasterosteus_aculeatus ENSGACG00000010405
anabas_testudineus ENSATEG00000024758
amphiprion_ocellaris ENSAOCG00000022511
amphiprion_percula ENSAPEG00000003268
acanthochromis_polyacanthus ENSAPOG00000004748
stegastes_partitus ENSSPAG00000000262
mastacembelus_armatus ENSMAMG00000007067
scophthalmus_maximus ENSSMAG00000017191
cynoglossus_semilaevis ENSCSEG00000008462
seriola_dumerili ENSSDUG00000006669
seriola_lalandi_dorsalis ENSSLDG00000000966
takifugu_rubripes ENSTRUG00000002499
tetraodon_nigroviridis ENSTNIG00000003743
tetraodon_nigroviridis ENSTNIG00000005945
periophthalmus_magnuspinnatus ENSPMGG00000021101
tetraodon_nigroviridis ENSTNIG00000005194
hippocampus_comes ENSHCOG00000005268
labrus_bergylta ENSLBEG00000005934
xiphophorus_maculatus ENSXMAG00000025744
xiphophorus_couchianus ENSXCOG00000016847
poecilia_mexicana ENSPMEG00000021921
oryzias_melastigma ENSOMEG00000023017
neolamprologus_brichardi ENSNBRG00000008804
monopterus_albus ENSMALG00000001759
gadus_morhua ENSGMOG00000004884
