cynoglossus_semilaevis ENSCSEG00000004266
labrus_bergylta ENSLBEG00000012329
seriola_dumerili ENSSDUG00000014263
scophthalmus_maximus ENSSMAG00000009048
gasterosteus_aculeatus ENSGACG00000001071
xiphophorus_maculatus ENSXMAG00000029485
gambusia_affinis ENSGAFG00000000766
poecilia_formosa ENSPFOG00000001173
poecilia_mexicana ENSPMEG00000021624
poecilia_reticulata ENSPREG00000005145
cyprinodon_variegatus ENSCVAG00000002886
oryzias_latipes_asm223471v1 ENSORLG00020005510
oryzias_latipes_asm223467v1 ENSORLG00000017329
oryzias_latipes_asm223469v1 ENSORLG00015004835
astatotilapia_calliptera ENSACLG00000012049
maylandia_zebra ENSMZEG00005019432
haplochromis_burtoni ENSHBUG00000003965
oreochromis_niloticus ENSONIG00000018015
acanthochromis_polyacanthus ENSAPOG00000007946
amphiprion_ocellaris ENSAOCG00000004630
stegastes_partitus ENSSPAG00000016379
monopterus_albus ENSMALG00000001011
gadus_morhua ENSGMOG00000019263
esox_lucius ENSELUG00000000453
ictalurus_punctatus ENSIPUG00000016931
pygocentrus_nattereri ENSPNAG00000020669
