petromyzon_marinus ENSPMAG00000001360
eptatretus_burgeri ENSEBUG00000001890
eptatretus_burgeri ENSEBUG00000015424
paramormyrops_kingsleyae ENSPKIG00000007708
scleropages_formosus ENSSFOG00015022952
xiphophorus_maculatus ENSXMAG00000018179
xiphophorus_couchianus ENSXCOG00000011412
gambusia_affinis ENSGAFG00000007390
poecilia_formosa ENSPFOG00000013726
poecilia_latipinna ENSPLAG00000004694
poecilia_mexicana ENSPMEG00000003362
poecilia_reticulata ENSPREG00000003882
fundulus_heteroclitus ENSFHEG00000004997
cyprinodon_variegatus ENSCVAG00000000216
oryzias_latipes_asm223471v1 ENSORLG00020012378
oryzias_latipes_asm223467v1 ENSORLG00000002654
oryzias_latipes_asm223469v1 ENSORLG00015011323
oryzias_melastigma ENSOMEG00000019569
tetraodon_nigroviridis ENSTNIG00000014150
takifugu_rubripes ENSTRUG00000006702
amphiprion_percula ENSAPEG00000012911
amphiprion_ocellaris ENSAOCG00000000952
acanthochromis_polyacanthus ENSAPOG00000001434
stegastes_partitus ENSSPAG00000002319
astatotilapia_calliptera ENSACLG00000009146
maylandia_zebra ENSMZEG00005012542
haplochromis_burtoni ENSHBUG00000001362
pundamilia_nyererei ENSPNYG00000005893
neolamprologus_brichardi ENSNBRG00000016920
oreochromis_niloticus ENSONIG00000009004
amphilophus_citrinellus ENSACIG00000024132
labrus_bergylta ENSLBEG00000016880
gasterosteus_aculeatus ENSGACG00000018114
mola_mola ENSMMOG00000006184
seriola_lalandi_dorsalis ENSSLDG00000006022
seriola_dumerili ENSSDUG00000004575
scophthalmus_maximus ENSSMAG00000010682
monopterus_albus ENSMALG00000005394
mastacembelus_armatus ENSMAMG00000004987
anabas_testudineus ENSATEG00000001011
hippocampus_comes ENSHCOG00000002350
cynoglossus_semilaevis ENSCSEG00000014417
periophthalmus_magnuspinnatus ENSPMGG00000013557
kryptolebias_marmoratus ENSKMAG00000013292
gadus_morhua ENSGMOG00000012950
esox_lucius ENSELUG00000009457
fundulus_heteroclitus ENSFHEG00000019413
cyprinodon_variegatus ENSCVAG00000006436
xiphophorus_maculatus ENSXMAG00000002642
gambusia_affinis ENSGAFG00000005944
poecilia_formosa ENSPFOG00000009890
poecilia_formosa ENSPFOG00000019561
poecilia_latipinna ENSPLAG00000000572
poecilia_mexicana ENSPMEG00000009504
oryzias_latipes_asm223469v1 ENSORLG00015008454
oryzias_latipes_asm223471v1 ENSORLG00020015715
oryzias_latipes_asm223467v1 ENSORLG00000018629
oryzias_melastigma ENSOMEG00000014381
amphilophus_citrinellus ENSACIG00000019453
amphiprion_percula ENSAPEG00000020901
amphiprion_ocellaris ENSAOCG00000004855
acanthochromis_polyacanthus ENSAPOG00000022061
stegastes_partitus ENSSPAG00000017868
maylandia_zebra ENSMZEG00005001067
astatotilapia_calliptera ENSACLG00000005218
haplochromis_burtoni ENSHBUG00000010012
pundamilia_nyererei ENSPNYG00000011674
neolamprologus_brichardi ENSNBRG00000008270
oreochromis_niloticus ENSONIG00000006293
gasterosteus_aculeatus ENSGACG00000000469
labrus_bergylta ENSLBEG00000009661
takifugu_rubripes ENSTRUG00000012899
tetraodon_nigroviridis ENSTNIG00000014009
monopterus_albus ENSMALG00000011349
mastacembelus_armatus ENSMAMG00000004881
anabas_testudineus ENSATEG00000010281
scophthalmus_maximus ENSSMAG00000017031
cynoglossus_semilaevis ENSCSEG00000013612
seriola_lalandi_dorsalis ENSSLDG00000013531
seriola_dumerili ENSSDUG00000006627
poecilia_reticulata ENSPREG00000007755
xiphophorus_couchianus ENSXCOG00000010747
kryptolebias_marmoratus ENSKMAG00000018068
mola_mola ENSMMOG00000006742
periophthalmus_magnuspinnatus ENSPMGG00000009915
gadus_morhua ENSGMOG00000002045
esox_lucius ENSELUG00000006546
pygocentrus_nattereri ENSPNAG00000009479
astyanax_mexicanus ENSAMXG00000001301
ictalurus_punctatus ENSIPUG00000001713
danio_rerio ENSDARG00000016871
lepidothrix_coronata ENSLCOG00000003238
latimeria_chalumnae ENSLACG00000013900
lepisosteus_oculatus ENSLOCG00000013577
anolis_carolinensis ENSACAG00000016067
pogona_vitticeps ENSPVIG00000016483
notechis_scutatus ENSNSUG00000008401
salvator_merianae ENSSMRG00000005320
sphenodon_punctatus ENSSPUG00000013927
chelonoidis_abingdonii ENSCABG00000011346
gopherus_agassizii ENSGAGG00000021867
chrysemys_picta_bellii ENSCPBG00000005734
pelodiscus_sinensis ENSPSIG00000002527
apteryx_owenii ENSAOWG00000009679
apteryx_rowi ENSARWG00000001756
apteryx_haastii ENSAHAG00000015059
nothoprocta_perdicaria ENSNPEG00000010020
dromaius_novaehollandiae ENSDNVG00000011547
anas_platyrhynchos_platyrhynchos ENSAPLG00000008102
anser_brachyrhynchus ENSABRG00000016203
gallus_gallus ENSGALG00000003882
meleagris_gallopavo ENSMGAG00000002887
coturnix_japonica ENSCJPG00005004573
numida_meleagris ENSNMEG00000006924
crocodylus_porosus ENSCPRG00005003138
calidris_pugnax ENSCPUG00000000450
calidris_pygmaea ENSCPGG00000011378
melopsittacus_undulatus ENSMUNG00000001580
junco_hyemalis ENSJHYG00000000031
zonotrichia_albicollis ENSZALG00000005204
serinus_canaria ENSSCAG00000007757
cyanistes_caeruleus ENSCCEG00000021719
lonchura_striata_domestica ENSLSDG00000007378
taeniopygia_guttata ENSTGUG00000002357
manacus_vitellinus ENSMVIG00005008178
manacus_vitellinus ENSMVIG00005003511
parus_major ENSPMJG00000000262
ficedula_albicollis ENSFALG00000000362
lepidothrix_coronata ENSLCOG00000011496
ornithorhynchus_anatinus ENSOANG00000010959
cricetulus_griseus_crigri-picr ENSCGRG00015004748
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010211
mesocricetus_auratus ENSMAUG00000006265
microtus_ochrogaster ENSMOCG00000015059
microtus_ochrogaster ENSMOCG00000007379
peromyscus_maniculatus_bairdii ENSPEMG00000018043
mus_spicilegus ENSMSIG00000025987
mus_spicilegus ENSMSIG00000022804
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000037935
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017953
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017109
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018238
rattus_norvegicus ENSRNOG00000010676
rattus_norvegicus ENSRNOG00000018377
meriones_unguiculatus ENSMUGG00000018928
nannospalax_galili ENSNGAG00000015419
nannospalax_galili ENSNGAG00000019496
jaculus_jaculus ENSJJAG00000023161
urocitellus_parryii ENSUPAG00010008422
marmota_marmota_marmota ENSMMMG00000007365
spermophilus_dauricus ENSSDAG00000007069
ictidomys_tridecemlineatus ENSSTOG00000002175
rhinopithecus_bieti ENSRBIG00000020427
rhinopithecus_roxellana ENSRROG00000033753
colobus_angolensis_palliatus ENSCANG00000036094
papio_anubis ENSPANG00000031240
mandrillus_leucophaeus ENSMLEG00000034634
macaca_nemestrina ENSMNEG00000041884
pan_troglodytes ENSPTRG00000047957
pan_paniscus ENSPPAG00000032889
gorilla_gorilla ENSGGOG00000024929
pongo_abelii ENSPPYG00000012585
pan_troglodytes ENSPTRG00000022902
pan_paniscus ENSPPAG00000037636
homo_sapiens ENSG00000073584
gorilla_gorilla ENSGGOG00000011803
pongo_abelii ENSPPYG00000008456
nomascus_leucogenys ENSNLEG00000001957
macaca_mulatta ENSMMUG00000004005
macaca_fascicularis ENSMFAG00000042285
macaca_nemestrina ENSMNEG00000010025
theropithecus_gelada ENSTGEG00000006850
mandrillus_leucophaeus ENSMLEG00000035376
cercocebus_atys ENSCATG00000033223
